omega,tau,t
0.8,0.808081,1.3288e+06
0.8,0.818182,1.32058e+06
0.8,0.828283,1.31378e+06
0.8,0.838384,1.28972e+06
0.8,0.848485,1.31106e+06
0.8,0.858586,1.29331e+06
0.8,0.868687,1.31144e+06
0.8,0.878788,1.31221e+06
0.8,0.888889,1.30876e+06
0.8,0.89899,1.37732e+06
0.8,0.909091,1.33456e+06
0.8,0.919192,1.33059e+06
0.8,0.929293,1.32545e+06
0.8,0.939394,1.35065e+06
0.8,0.949495,1.35615e+06
0.8,0.959596,1.33007e+06
0.8,0.969697,1.34305e+06
0.8,0.979798,1.35894e+06
0.8,0.989899,1.37571e+06
0.8,1,1.31633e+06
1,0,837250
1,0.010101,851224
1,0.020202,839074
1,0.030303,824246
1,0.040404,835356
1,0.0505051,821997
1,0.0606061,814859
1,0.0707071,824785
1,0.0808081,838959
1,0.0909091,836916
1,0.10101,837665
1,0.111111,869007
1,0.121212,910190
1,0.131313,912489
1,0.141414,936743
1,0.151515,965556
1,0.161616,982315
1,0.171717,1.00022e+06
1,0.181818,1.00901e+06
1,0.191919,1.02289e+06
1,0.20202,1.00708e+06
1,0.212121,1.07483e+06
1,0.222222,1.09699e+06
1,0.232323,1.03031e+06
1,0.242424,1.09873e+06
1,0.252525,1.14577e+06
1,0.262626,1.17208e+06
1,0.272727,1.11083e+06
1,0.282828,1.1734e+06
1,0.292929,1.20326e+06
1,0.30303,1.25343e+06
1,0.313131,1.22232e+06
1,0.323232,1.19951e+06
1,0.333333,1.18155e+06
1,0.343434,1.18379e+06
1,0.353535,1.27875e+06
1,0.363636,1.31387e+06
1,0.373737,1.27214e+06
1,0.383838,1.19536e+06
1,0.393939,1.28604e+06
1,0.40404,1.22859e+06
1,0.414141,1.31533e+06
1,0.424242,1.21665e+06
1,0.434343,1.322e+06
1,0.444444,1.23713e+06
1,0.454545,1.29253e+06
1,0.464646,1.2465e+06
1,0.474747,1.2487e+06
1,0.484848,1.23695e+06
1,0.494949,1.19487e+06
1,0.505051,1.17997e+06
1,0.515152,1.18852e+06
1,0.525253,1.18333e+06
1,0.535354,1.2462e+06
1,0.545455,1.17649e+06
1,0.555556,1.19531e+06
1,0.565657,1.191e+06
1,0.575758,1.18185e+06
1,0.585859,1.21315e+06
1,0.59596,1.20147e+06
1,0.606061,1.22953e+06
1,0.616162,1.21077e+06
1,0.626263,1.22787e+06
1,0.636364,1.22955e+06
1,0.646465,1.2394e+06
1,0.656566,1.23224e+06
1,0.666667,1.2498e+06
1,0.676768,1.21003e+06
1,0.686869,1.27052e+06
1,0.69697,1.27272e+06
1,0.707071,1.24431e+06
1,0.717172,1.21011e+06
1,0.727273,1.23203e+06
1,0.737374,1.24346e+06
1,0.747475,1.26063e+06
1,0.757576,1.22649e+06
1,0.767677,1.20098e+06
1,0.777778,1.2567e+06
1,0.787879,1.27447e+06
1,0.79798,1.24395e+06
1,0.808081,1.23379e+06
1,0.818182,1.2424e+06
1,0.828283,1.27386e+06
1,0.838384,1.27422e+06
1,0.848485,1.26119e+06
1,0.858586,1.24523e+06
1,0.868687,1.3098e+06
1,0.878788,1.26616e+06
1,0.888889,1.29616e+06
1,0.89899,1.23648e+06
1,0.909091,1.25136e+06
1,0.919192,1.22479e+06
1,0.929293,1.25318e+06
1,0.939394,1.21129e+06
1,0.949495,1.26251e+06
1,0.959596,1.26471e+06
1,0.969697,1.26927e+06
1,0.979798,1.22509e+06
1,0.989899,1.27371e+06
1,1,1.2595e+06
