omega,tau,firm,demand
0,1,2,0.389399
0.8,0,1,0.348823
0.8,0,2,0.349438
0.8,0.010101,1,0.345604
0.8,0.010101,2,0.348395
0.8,0.020202,1,0.346365
0.8,0.020202,2,0.345225
0.8,0.030303,1,0.346445
0.8,0.030303,2,0.346073
0.8,0.040404,1,0.348727
0.8,0.040404,2,0.347746
0.8,0.0505051,1,0.347013
0.8,0.0505051,2,0.348161
0.8,0.0606061,1,0.349801
0.8,0.0606061,2,0.350083
0.8,0.0707071,1,0.350256
0.8,0.0707071,2,0.350939
0.8,0.0808081,1,0.352198
0.8,0.0808081,2,0.349078
0.8,0.0909091,1,0.35053
0.8,0.0909091,2,0.35032
0.8,0.10101,1,0.350518
0.8,0.10101,2,0.350389
0.8,0.111111,1,0.349027
0.8,0.111111,2,0.347164
0.8,0.121212,1,0.348789
0.8,0.121212,2,0.345949
0.8,0.131313,1,0.342985
0.8,0.131313,2,0.354307
0.8,0.141414,1,0.346478
0.8,0.141414,2,0.353438
0.8,0.151515,1,0.347131
0.8,0.151515,2,0.349952
0.8,0.161616,1,0.343893
0.8,0.161616,2,0.352021
0.8,0.171717,1,0.349684
0.8,0.171717,2,0.345611
0.8,0.181818,1,0.34667
0.8,0.181818,2,0.347912
0.8,0.191919,1,0.344975
0.8,0.191919,2,0.352148
0.8,0.20202,1,0.352354
0.8,0.20202,2,0.347835
0.8,0.212121,1,0.350263
0.8,0.212121,2,0.347469
0.8,0.222222,1,0.34831
0.8,0.222222,2,0.35263
0.8,0.232323,1,0.347488
0.8,0.232323,2,0.34962
0.8,0.242424,1,0.34898
0.8,0.242424,2,0.350173
0.8,0.252525,1,0.352226
0.8,0.252525,2,0.348349
0.8,0.262626,1,0.347074
0.8,0.262626,2,0.353223
0.8,0.272727,1,0.350672
0.8,0.272727,2,0.349068
0.8,0.282828,1,0.352196
0.8,0.282828,2,0.351762
0.8,0.292929,1,0.350479
0.8,0.292929,2,0.35466
0.8,0.30303,1,0.356009
0.8,0.30303,2,0.351179
0.8,0.313131,1,0.349299
0.8,0.313131,2,0.351546
0.8,0.323232,1,0.355519
0.8,0.323232,2,0.352579
0.8,0.333333,1,0.349625
0.8,0.333333,2,0.35411
0.8,0.343434,1,0.352664
0.8,0.343434,2,0.350856
0.8,0.353535,1,0.347941
0.8,0.353535,2,0.354388
0.8,0.363636,1,0.351661
0.8,0.363636,2,0.356001
0.8,0.373737,1,0.355227
0.8,0.373737,2,0.358969
0.8,0.383838,1,0.351099
0.8,0.383838,2,0.360881
0.8,0.393939,1,0.355768
0.8,0.393939,2,0.357327
0.8,0.40404,1,0.351392
0.8,0.40404,2,0.35667
0.8,0.414141,1,0.34987
0.8,0.414141,2,0.362411
0.8,0.424242,1,0.349992
0.8,0.424242,2,0.362663
0.8,0.434343,1,0.356494
0.8,0.434343,2,0.359506
0.8,0.444444,1,0.355289
0.8,0.444444,2,0.359548
0.8,0.454545,1,0.354459
0.8,0.454545,2,0.362897
0.8,0.464646,1,0.358686
0.8,0.464646,2,0.356518
0.8,0.474747,1,0.35438
0.8,0.474747,2,0.36599
0.8,0.484848,1,0.357233
0.8,0.484848,2,0.363735
0.8,0.494949,1,0.359737
0.8,0.494949,2,0.364781
0.8,0.505051,1,0.368224
0.8,0.505051,2,0.354353
0.8,0.515152,1,0.36144
0.8,0.515152,2,0.364934
0.8,0.525253,1,0.370281
0.8,0.525253,2,0.352801
0.8,0.535354,1,0.362899
0.8,0.535354,2,0.3662
0.8,0.545455,1,0.365083
0.8,0.545455,2,0.362592
0.8,0.555556,1,0.359229
0.8,0.555556,2,0.367852
0.8,0.565657,1,0.367333
0.8,0.565657,2,0.360261
0.8,0.575758,1,0.368902
0.8,0.575758,2,0.363195
0.8,0.585859,1,0.362828
0.8,0.585859,2,0.367675
0.8,0.59596,1,0.369807
0.8,0.59596,2,0.363956
0.8,0.606061,1,0.365962
0.8,0.606061,2,0.368461
0.8,0.616162,1,0.371218
0.8,0.616162,2,0.364733
0.8,0.626263,1,0.369621
0.8,0.626263,2,0.366261
0.8,0.636364,1,0.363206
0.8,0.636364,2,0.371057
0.8,0.646465,1,0.372482
0.8,0.646465,2,0.366294
0.8,0.656566,1,0.368461
0.8,0.656566,2,0.371063
0.8,0.666667,1,0.369453
0.8,0.666667,2,0.371797
0.8,0.676768,1,0.371303
0.8,0.676768,2,0.371833
0.8,0.686869,1,0.367164
0.8,0.686869,2,0.373269
0.8,0.69697,1,0.367364
0.8,0.69697,2,0.376299
0.8,0.707071,1,0.371893
0.8,0.707071,2,0.372228
0.8,0.717172,1,0.370741
0.8,0.717172,2,0.375836
0.8,0.727273,1,0.371762
0.8,0.727273,2,0.37434
0.8,0.737374,1,0.373555
0.8,0.737374,2,0.373682
0.8,0.747475,1,0.374357
0.8,0.747475,2,0.372492
0.8,0.757576,1,0.374367
0.8,0.757576,2,0.374158
0.8,0.767677,1,0.380044
0.8,0.767677,2,0.371044
0.8,0.777778,1,0.374215
0.8,0.777778,2,0.375733
0.8,0.787879,1,0.374219
0.8,0.787879,2,0.375521
0.8,0.79798,1,0.376079
0.8,0.79798,2,0.376768
0.8,0.808081,1,0.374303
