omega,tau,action,Count
1,0.30303,2,0.515251
1,0.30303,3,0.157743
1,0.30303,4,0.164555
1,0.313131,1,0.161082
1,0.313131,2,0.53849
1,0.313131,3,0.138503
1,0.313131,4,0.161925
1,0.323232,1,0.114736
1,0.323232,2,0.634074
1,0.323232,3,0.124414
1,0.323232,4,0.126776
1,0.333333,1,0.120687
1,0.333333,2,0.595877
1,0.333333,3,0.134376
1,0.333333,4,0.14906
1,0.343434,1,0.130322
1,0.343434,2,0.627327
1,0.343434,3,0.10003
1,0.343434,4,0.142321
1,0.353535,1,0.140124
1,0.353535,2,0.60343
1,0.353535,3,0.119987
1,0.353535,4,0.13646
1,0.363636,1,0.155252
1,0.363636,2,0.56961
1,0.363636,3,0.11871
1,0.363636,4,0.156428
1,0.373737,1,0.116759
1,0.373737,2,0.663651
1,0.373737,3,0.0850804
1,0.373737,4,0.134509
1,0.383838,1,0.0982344
1,0.383838,2,0.725232
1,0.383838,3,0.0911166
1,0.383838,4,0.0854169
1,0.393939,1,0.138345
1,0.393939,2,0.632534
1,0.393939,3,0.100262
1,0.393939,4,0.128858
1,0.40404,1,0.0921099
1,0.40404,2,0.74907
1,0.40404,3,0.067605
1,0.40404,4,0.0912155
1,0.414141,1,0.0930294
1,0.414141,2,0.758459
1,0.414141,3,0.0567109
1,0.414141,4,0.091801
1,0.424242,1,0.122847
1,0.424242,2,0.68449
1,0.424242,3,0.0850121
1,0.424242,4,0.107651
1,0.434343,1,0.098668
1,0.434343,2,0.726391
1,0.434343,3,0.0671234
1,0.434343,4,0.107817
1,0.444444,1,0.0716859
1,0.444444,2,0.798005
1,0.444444,3,0.0671633
1,0.444444,4,0.0631461
1,0.454545,1,0.112783
1,0.454545,2,0.70779
1,0.454545,3,0.0600098
1,0.454545,4,0.119417
1,0.464646,1,0.0991284
1,0.464646,2,0.756339
1,0.464646,3,0.0430047
1,0.464646,4,0.101528
1,0.474747,1,0.0433964
1,0.474747,2,0.880127
1,0.474747,3,0.0311434
1,0.474747,4,0.0453331
1,0.484848,1,0.0490928
1,0.484848,2,0.861294
1,0.484848,3,0.0389151
1,0.484848,4,0.050698
1,0.494949,1,0.0609137
1,0.494949,2,0.844773
1,0.494949,3,0.035027
1,0.494949,4,0.0592868
1,0.505051,1,0.0617036
1,0.505051,2,0.846271
1,0.505051,3,0.0372609
1,0.505051,4,0.0547645
1,0.515152,1,0.0749063
1,0.515152,2,0.810912
1,0.515152,3,0.0416337
1,0.515152,4,0.0725482
1,0.525253,1,0.0938576
1,0.525253,2,0.808909
1,0.525253,3,0.0063679
1,0.525253,4,0.0908656
1,0.535354,1,0.0819228
1,0.535354,2,0.805
1,0.535354,3,0.0300669
1,0.535354,4,0.0830106
1,0.545455,1,0.0572179
1,0.545455,2,0.874627
1,0.545455,3,0.0120926
1,0.545455,4,0.0560623
1,0.555556,1,0.0509987
1,0.555556,2,0.840108
1,0.555556,3,0.0598333
1,0.555556,4,0.0490598
1,0.565657,1,0.0438572
1,0.565657,2,0.889388
1,0.565657,3,0.0237071
1,0.565657,4,0.0430476
1,0.575758,1,0.0463116
1,0.575758,2,0.883033
1,0.575758,3,0.0243402
1,0.575758,4,0.0463153
1,0.585859,1,0.0425748
1,0.585859,2,0.891349
1,0.585859,3,0.0201981
1,0.585859,4,0.045878
1,0.59596,1,0.0550031
1,0.59596,2,0.884717
1,0.59596,3,0.0084308
1,0.59596,4,0.0518489
1,0.606061,1,0.0227586
1,0.606061,2,0.936788
1,0.606061,3,0.0176606
1,0.606061,4,0.0227925
1,0.616162,1,0.0568171
1,0.616162,2,0.853772
1,0.616162,3,0.0302829
1,0.616162,4,0.0591279
1,0.626263,1,0.0557638
1,0.626263,2,0.858029
1,0.626263,3,0.0304785
1,0.626263,4,0.0557287
1,0.636364,1,0.0340052
1,0.636364,2,0.90964
1,0.636364,3,0.0217274
1,0.636364,4,0.0346273
1,0.646465,1,0.0424606
1,0.646465,2,0.898052
1,0.646465,3,0.0199206
1,0.646465,4,0.0395666
1,0.656566,1,0.0583695
1,0.656566,2,0.88184
1,0.656566,3,0.0069474
1,0.656566,4,0.0528433
1,0.666667,1,0.077679
1,0.666667,2,0.827824
1,0.666667,3,0.0167389
1,0.666667,4,0.0777583
1,0.676768,1,0.0487703
1,0.676768,2,0.888354
1,0.676768,3,0.014485
1,0.676768,4,0.0483906
1,0.686869,1,0.0498191
1,0.686869,2,0.890987
1,0.686869,3,0.0077673
1,0.686869,4,0.0514266
1,0.69697,1,0.0556308
1,0.69697,2,0.871185
1,0.69697,3,0.0177308
1,0.69697,4,0.0554533
1,0.707071,1,0.0356828
1,0.707071,2,0.907857
1,0.707071,3,0.0206842
1,0.707071,4,0.0357759
1,0.717172,1,0.051209
1,0.717172,2,0.881798
1,0.717172,3,0.0157622
1,0.717172,4,0.0512306
1,0.727273,1,0.0915731
1,0.727273,2,0.794979
1,0.727273,3,0.025202
1,0.727273,4,0.0882462
1,0.737374,1,0.0572374
1,0.737374,2,0.872995
1,0.737374,3,0.0125322
1,0.737374,4,0.0572357
1,0.747475,1,0.0579775
1,0.747475,2,0.862147
1,0.747475,3,0.0214499
1,0.747475,4,0.0584259
1,0.757576,1,0.0393044
1,0.757576,2,0.910551
1,0.757576,3,0.0108911
1,0.757576,4,0.0392531
1,0.767677,1,0.0383794
1,0.767677,2,0.916491
1,0.767677,3,0.0067527
1,0.767677,4,0.0383766
1,0.777778,1,0.0446528
1,0.777778,2,0.89696
1,0.777778,3,0.0136675
1,0.777778,4,0.0447195
1,0.787879,1,0.0484827
1,0.787879,2,0.898098
1,0.787879,3,0.0035303
1,0.787879,4,0.0498895
1,0.79798,1,0.0445582
1,0.79798,2,0.898313
1,0.79798,3,0.0101224
1,0.79798,4,0.0470064
1,0.808081,1,0.0567152
1,0.808081,2,0.881391
1,0.808081,3,0.0051747
1,0.808081,4,0.0567187
1,0.818182,1,0.0538517
1,0.818182,2,0.884853
1,0.818182,3,0.0060143
1,0.818182,4,0.0552809
1,0.828283,1,0.052352
1,0.828283,2,0.893281
1,0.828283,3,0.0020166
1,0.828283,4,0.0523502
1,0.838384,1,0.0517584
1,0.838384,2,0.885895
1,0.838384,3,0.0086222
1,0.838384,4,0.053724
1,0.848485,1,0.0480968
1,0.848485,2,0.890018
1,0.848485,3,0.0138231
1,0.848485,4,0.0480619
1,0.858586,1,0.0544228
1,0.858586,2,0.879911
1,0.858586,3,0.0112448
1,0.858586,4,0.0544212
1,0.868687,1,0.0576416
1,0.868687,2,0.882693
1,0.868687,3,0.0020214
1,0.868687,4,0.0576438
1,0.878788,1,0.0789732
1,0.878788,2,0.837632
1,0.878788,3,0.0044541
1,0.878788,4,0.0789403
1,0.888889,1,0.0782801
1,0.888889,2,0.841542
1,0.888889,3,0.0019019
1,0.888889,4,0.0782764
1,0.89899,1,0.0485983
1,0.89899,2,0.895909
1,0.89899,3,0.0069143
1,0.89899,4,0.0485786
1,0.909091,1,0.0502097
1,0.909091,2,0.888385
1,0.909091,3,0.0095345
1,0.909091,4,0.0518707
1,0.919192,1,0.0259127
1,0.919192,2,0.93731
1,0.919192,3,0.0125357
1,0.919192,4,0.0242413
1,0.929293,1,0.0424093
1,0.929293,2,0.904734
1,0.929293,3,0.0104458
1,0.929293,4,0.042411
1,0.939394,1,0.0401271
1,0.939394,2,0.914628
1,0.939394,3,0.0051207
1,0.939394,4,0.0401242
1,0.949495,1,0.0470135
1,0.949495,2,0.900633
1,0.949495,3,0.0033431
1,0.949495,4,0.0490103
1,0.959596,1,0.0328598
1,0.959596,2,0.929256
1,0.959596,3,0.0050234
1,0.959596,4,0.0328604
1,0.969697,1,0.0600488
1,0.969697,2,0.879865
1,0.969697,3,4.36e-05
1,0.969697,4,0.0600428
1,0.979798,1,0.0626292
1,0.979798,2,0.86981
1,0.979798,3,0.0048227
1,0.979798,4,0.0627379
1,0.989899,1,0.056179
1,0.989899,2,0.877228
1,0.989899,3,0.010412
1,0.989899,4,0.0561813
1,1,1,0.0514762
1,1,2,0.893391
1,1,3,0.0036526
1,1,4,0.0514802
