omega,tau,firm,profit
0,1,2,0.124606
0.8,0,1,0.115905
0.8,0,2,0.115825
0.8,0.010101,1,0.116656
0.8,0.010101,2,0.116956
0.8,0.020202,1,0.117434
0.8,0.020202,2,0.117189
0.8,0.030303,1,0.11735
0.8,0.030303,2,0.117406
0.8,0.040404,1,0.116949
0.8,0.040404,2,0.116722
0.8,0.0505051,1,0.117023
0.8,0.0505051,2,0.117368
0.8,0.0606061,1,0.116436
0.8,0.0606061,2,0.116434
0.8,0.0707071,1,0.116159
0.8,0.0707071,2,0.116166
0.8,0.0808081,1,0.116624
0.8,0.0808081,2,0.116114
0.8,0.0909091,1,0.116478
0.8,0.0909091,2,0.116393
0.8,0.10101,1,0.116636
0.8,0.10101,2,0.116697
0.8,0.111111,1,0.117313
0.8,0.111111,2,0.117366
0.8,0.121212,1,0.118175
0.8,0.121212,2,0.117088
0.8,0.131313,1,0.116993
0.8,0.131313,2,0.118342
0.8,0.141414,1,0.117338
0.8,0.141414,2,0.117761
0.8,0.151515,1,0.117892
0.8,0.151515,2,0.118073
0.8,0.161616,1,0.118072
0.8,0.161616,2,0.118762
0.8,0.171717,1,0.118765
0.8,0.171717,2,0.11926
0.8,0.181818,1,0.119614
0.8,0.181818,2,0.118325
0.8,0.191919,1,0.118912
0.8,0.191919,2,0.118771
0.8,0.20202,1,0.118684
0.8,0.20202,2,0.119363
0.8,0.212121,1,0.11957
0.8,0.212121,2,0.119249
0.8,0.222222,1,0.119217
0.8,0.222222,2,0.120011
0.8,0.232323,1,0.119875
0.8,0.232323,2,0.119654
0.8,0.242424,1,0.119794
0.8,0.242424,2,0.120536
0.8,0.252525,1,0.120861
0.8,0.252525,2,0.119344
0.8,0.262626,1,0.120255
0.8,0.262626,2,0.120256
0.8,0.272727,1,0.120487
0.8,0.272727,2,0.12093
0.8,0.282828,1,0.121208
0.8,0.282828,2,0.121399
0.8,0.292929,1,0.120541
0.8,0.292929,2,0.121541
0.8,0.30303,1,0.120593
0.8,0.30303,2,0.120743
0.8,0.313131,1,0.121931
0.8,0.313131,2,0.122276
0.8,0.323232,1,0.121941
0.8,0.323232,2,0.121951
0.8,0.333333,1,0.122552
0.8,0.333333,2,0.121992
0.8,0.343434,1,0.12322
0.8,0.343434,2,0.123252
0.8,0.353535,1,0.122932
0.8,0.353535,2,0.123227
0.8,0.363636,1,0.122377
0.8,0.363636,2,0.123112
0.8,0.373737,1,0.12191
0.8,0.373737,2,0.123186
0.8,0.383838,1,0.123472
0.8,0.383838,2,0.123109
0.8,0.393939,1,0.122951
0.8,0.393939,2,0.122556
0.8,0.40404,1,0.123996
0.8,0.40404,2,0.123891
0.8,0.414141,1,0.123946
0.8,0.414141,2,0.123867
0.8,0.424242,1,0.123647
0.8,0.424242,2,0.124372
0.8,0.434343,1,0.123375
0.8,0.434343,2,0.123126
0.8,0.444444,1,0.123669
0.8,0.444444,2,0.123545
0.8,0.454545,1,0.123015
0.8,0.454545,2,0.12426
0.8,0.464646,1,0.124564
0.8,0.464646,2,0.124223
0.8,0.474747,1,0.123935
0.8,0.474747,2,0.124606
0.8,0.484848,1,0.124007
0.8,0.484848,2,0.124178
0.8,0.494949,1,0.124832
0.8,0.494949,2,0.124478
0.8,0.505051,1,0.124429
0.8,0.505051,2,0.12498
0.8,0.515152,1,0.124342
0.8,0.515152,2,0.123632
0.8,0.525253,1,0.12417
0.8,0.525253,2,0.124966
0.8,0.535354,1,0.12464
0.8,0.535354,2,0.124891
0.8,0.545455,1,0.12564
0.8,0.545455,2,0.125612
0.8,0.555556,1,0.12545
0.8,0.555556,2,0.125043
0.8,0.565657,1,0.125614
0.8,0.565657,2,0.125978
0.8,0.575758,1,0.12553
0.8,0.575758,2,0.126124
0.8,0.585859,1,0.125995
0.8,0.585859,2,0.125322
0.8,0.59596,1,0.12566
0.8,0.59596,2,0.126929
