omega,a,cs
1,1.17172,0.26559
1,1.18182,0.2658
1,1.19192,0.264992
1,1.20202,0.265648
1,1.21212,0.268054
1,1.22222,0.269439
1,1.23232,0.268473
1,1.24242,0.269351
1,1.25253,0.271531
1,1.26263,0.270419
1,1.27273,0.269681
1,1.28283,0.272041
1,1.29293,0.271254
1,1.30303,0.270257
1,1.31313,0.271712
1,1.32323,0.272979
1,1.33333,0.270004
1,1.34343,0.271952
1,1.35354,0.272068
1,1.36364,0.273565
1,1.37374,0.274434
1,1.38384,0.274422
1,1.39394,0.272766
1,1.40404,0.274748
1,1.41414,0.273271
1,1.42424,0.272907
1,1.43434,0.272779
1,1.44444,0.275794
1,1.45455,0.27638
1,1.46465,0.279311
1,1.47475,0.27779
1,1.48485,0.277556
1,1.49495,0.28032
1,1.50505,0.283682
1,1.51515,0.284554
1,1.52525,0.279067
1,1.53535,0.281769
1,1.54545,0.283614
1,1.55556,0.285465
1,1.56566,0.28591
1,1.57576,0.282743
1,1.58586,0.282574
1,1.59596,0.285935
1,1.60606,0.287949
1,1.61616,0.290732
1,1.62626,0.284898
1,1.63636,0.294221
1,1.64646,0.290975
1,1.65657,0.291798
1,1.66667,0.297319
1,1.67677,0.297419
1,1.68687,0.301093
1,1.69697,0.297077
1,1.70707,0.300338
1,1.71717,0.301406
1,1.72727,0.303821
1,1.73737,0.308426
1,1.74747,0.302331
1,1.75758,0.311678
1,1.76768,0.30861
1,1.77778,0.305368
1,1.78788,0.304376
1,1.79798,0.30732
1,1.80808,0.311338
1,1.81818,0.310435
1,1.82828,0.317849
1,1.83838,0.31497
1,1.84848,0.311161
1,1.85859,0.312365
1,1.86869,0.318442
1,1.87879,0.319224
1,1.88889,0.318528
1,1.89899,0.322399
1,1.90909,0.317893
1,1.91919,0.321107
1,1.92929,0.318448
1,1.93939,0.32304
1,1.94949,0.324207
1,1.9596,0.325466
1,1.9697,0.328179
1,1.9798,0.326177
1,1.9899,0.326839
1,2,0.327591
