omega,a,action,Count
1,1.24242,4,0.0019607
1,1.25253,1,0.0014412
1,1.25253,2,0.99621
1,1.25253,3,0.0008953
1,1.25253,4,0.0014535
1,1.26263,1,0.0014652
1,1.26263,2,0.996158
1,1.26263,3,0.0006894
1,1.26263,4,0.0016875
1,1.27273,1,0.0018411
1,1.27273,2,0.99564
1,1.27273,3,0.0008953
1,1.27273,4,0.0016236
1,1.28283,1,0.0024377
1,1.28283,2,0.993797
1,1.28283,3,0.0012365
1,1.28283,4,0.002529
1,1.29293,1,0.0013153
1,1.29293,2,0.99645
1,1.29293,3,0.0006824
1,1.29293,4,0.0015526
1,1.30303,1,0.0017298
1,1.30303,2,0.995798
1,1.30303,3,0.0006916
1,1.30303,4,0.001781
1,1.31313,1,0.0016477
1,1.31313,2,0.99563
1,1.31313,3,0.0007963
1,1.31313,4,0.0019261
1,1.32323,1,0.0017829
1,1.32323,2,0.995623
1,1.32323,3,0.0008513
1,1.32323,4,0.0017428
1,1.33333,1,0.0023503
1,1.33333,2,0.994198
1,1.33333,3,0.0010807
1,1.33333,4,0.0023714
1,1.34343,1,0.0019562
1,1.34343,2,0.994974
1,1.34343,3,0.0011839
1,1.34343,4,0.0018864
1,1.35354,1,0.0016515
1,1.35354,2,0.995764
1,1.35354,3,0.000694
1,1.35354,4,0.001891
1,1.36364,1,0.0019081
1,1.36364,2,0.995536
1,1.36364,3,0.0009201
1,1.36364,4,0.0016358
1,1.37374,1,0.0020516
1,1.37374,2,0.994383
1,1.37374,3,0.0011608
1,1.37374,4,0.0024047
1,1.38384,1,0.0019538
1,1.38384,2,0.995035
1,1.38384,3,0.0010592
1,1.38384,4,0.0019517
1,1.39394,1,0.0018308
1,1.39394,2,0.995636
1,1.39394,3,0.0008195
1,1.39394,4,0.0017141
1,1.40404,1,0.0019587
1,1.40404,2,0.995199
1,1.40404,3,0.0008588
1,1.40404,4,0.0019836
1,1.41414,1,0.0016379
1,1.41414,2,0.99548
1,1.41414,3,0.000876
1,1.41414,4,0.0020065
1,1.42424,1,0.0019828
1,1.42424,2,0.994852
1,1.42424,3,0.0011899
1,1.42424,4,0.0019753
1,1.43434,1,0.0022461
1,1.43434,2,0.994085
1,1.43434,3,0.0011395
1,1.43434,4,0.0025295
1,1.44444,1,0.0020894
1,1.44444,2,0.994464
1,1.44444,3,0.0011756
1,1.44444,4,0.0022714
1,1.45455,1,0.001563
1,1.45455,2,0.996204
1,1.45455,3,0.0007067
1,1.45455,4,0.0015262
1,1.46465,1,0.0022314
1,1.46465,2,0.994461
1,1.46465,3,0.0012028
1,1.46465,4,0.002105
1,1.47475,1,0.0019719
1,1.47475,2,0.995219
1,1.47475,3,0.0010244
1,1.47475,4,0.0017843
1,1.48485,1,0.002534
1,1.48485,2,0.993653
1,1.48485,3,0.001216
1,1.48485,4,0.0025971
1,1.49495,1,0.001593
1,1.49495,2,0.996075
1,1.49495,3,0.0007824
1,1.49495,4,0.0015497
1,1.50505,1,0.0019788
1,1.50505,2,0.995106
1,1.50505,3,0.0009984
1,1.50505,4,0.0019171
1,1.51515,1,0.001643
1,1.51515,2,0.993198
1,1.51515,3,0.0008805
1,1.51515,4,0.0042788
1,1.52525,1,0.0015903
1,1.52525,2,0.995232
1,1.52525,3,0.0011388
1,1.52525,4,0.0020388
1,1.53535,1,0.0028801
1,1.53535,2,0.9921
1,1.53535,3,0.0019021
1,1.53535,4,0.0031183
1,1.54545,1,0.0017307
1,1.54545,2,0.995501
1,1.54545,3,0.0010708
1,1.54545,4,0.0016972
1,1.55556,1,0.0025544
1,1.55556,2,0.991323
1,1.55556,3,0.0013899
1,1.55556,4,0.0047331
1,1.56566,1,0.0022008
1,1.56566,2,0.994681
1,1.56566,3,0.0010936
1,1.56566,4,0.0020245
1,1.57576,1,0.0028071
1,1.57576,2,0.992033
1,1.57576,3,0.0020457
1,1.57576,4,0.003114
1,1.58586,1,0.0025555
1,1.58586,2,0.994082
1,1.58586,3,0.0012511
1,1.58586,4,0.0021119
1,1.59596,1,0.0017547
1,1.59596,2,0.995594
1,1.59596,3,0.0009397
1,1.59596,4,0.0017114
1,1.60606,1,0.0018488
1,1.60606,2,0.995564
1,1.60606,3,0.0008852
1,1.60606,4,0.0017023
1,1.61616,1,0.003912
1,1.61616,2,0.993161
1,1.61616,3,0.0012954
1,1.61616,4,0.0016321
1,1.62626,1,0.0021687
1,1.62626,2,0.994461
1,1.62626,3,0.0012821
1,1.62626,4,0.002088
1,1.63636,1,0.0017012
1,1.63636,2,0.994846
1,1.63636,3,0.0007911
1,1.63636,4,0.002662
1,1.64646,1,0.00421
1,1.64646,2,0.991653
1,1.64646,3,0.0011419
1,1.64646,4,0.0029952
1,1.65657,1,0.0014464
1,1.65657,2,0.994015
1,1.65657,3,0.000818
1,1.65657,4,0.0037205
1,1.66667,1,0.0014375
1,1.66667,2,0.996616
1,1.66667,3,0.0006043
1,1.66667,4,0.0013426
1,1.67677,1,0.0034204
1,1.67677,2,0.992431
1,1.67677,3,0.0006472
1,1.67677,4,0.0035016
1,1.68687,1,0.0010047
1,1.68687,2,0.997292
1,1.68687,3,0.0005591
1,1.68687,4,0.0011446
1,1.69697,1,0.0010257
1,1.69697,2,0.99565
1,1.69697,3,0.0005847
1,1.69697,4,0.0027394
1,1.70707,1,0.0009008
1,1.70707,2,0.997625
1,1.70707,3,0.0006377
1,1.70707,4,0.0008366
1,1.71717,1,0.0031497
1,1.71717,2,0.993145
1,1.71717,3,0.0004748
1,1.71717,4,0.0032307
1,1.72727,1,0.0007966
1,1.72727,2,0.997772
1,1.72727,3,0.0005424
1,1.72727,4,0.0008886
1,1.73737,1,0.0007218
1,1.73737,2,0.998108
1,1.73737,3,0.0004252
1,1.73737,4,0.0007448
1,1.74747,1,0.0030626
1,1.74747,2,0.995175
1,1.74747,3,0.0006998
1,1.74747,4,0.0010625
1,1.75758,1,0.0041511
1,1.75758,2,0.9892
1,1.75758,3,0.0004833
1,1.75758,4,0.0061651
1,1.76768,1,0.0065262
1,1.76768,2,0.988596
1,1.76768,3,0.0003652
1,1.76768,4,0.0045126
1,1.77778,1,0.0004724
1,1.77778,2,0.99867
1,1.77778,3,0.0003884
1,1.77778,4,0.0004689
1,1.78788,1,0.0041536
1,1.78788,2,0.991355
1,1.78788,3,0.0006494
1,1.78788,4,0.0038417
1,1.79798,1,0.0096053
1,1.79798,2,0.978095
1,1.79798,3,0.0002347
1,1.79798,4,0.0120648
1,1.80808,1,0.011567
1,1.80808,2,0.978547
1,1.80808,3,0.0003171
1,1.80808,4,0.0095691
1,1.81818,1,0.0086698
1,1.81818,2,0.982111
1,1.81818,3,0.0005809
1,1.81818,4,0.0086382
1,1.82828,1,0.0098549
1,1.82828,2,0.976784
1,1.82828,3,0.0035083
1,1.82828,4,0.0098525
1,1.83838,1,0.0267006
1,1.83838,2,0.948288
1,1.83838,3,0.0003887
1,1.83838,4,0.0246225
1,1.84848,1,0.0306503
1,1.84848,2,0.941743
1,1.84848,3,0.0008554
1,1.84848,4,0.0267514
1,1.85859,1,0.0273012
1,1.85859,2,0.945014
1,1.85859,3,0.0003669
1,1.85859,4,0.0273176
1,1.86869,1,0.032969
1,1.86869,2,0.933964
1,1.86869,3,0.0001064
1,1.86869,4,0.0329609
1,1.87879,1,0.0397801
1,1.87879,2,0.913192
1,1.87879,3,0.0073288
1,1.87879,4,0.0396991
1,1.88889,1,0.0269168
1,1.88889,2,0.92907
1,1.88889,3,0.0169977
1,1.88889,4,0.0270151
1,1.89899,1,0.0343716
1,1.89899,2,0.922641
1,1.89899,3,0.0086112
1,1.89899,4,0.0343761
1,1.90909,1,0.0781719
1,1.90909,2,0.839839
1,1.90909,3,0.0038185
1,1.90909,4,0.0781709
1,1.91919,1,0.0507826
1,1.91919,2,0.869344
1,1.91919,3,0.0294831
1,1.91919,4,0.0503898
1,1.92929,1,0.0914571
1,1.92929,2,0.780789
1,1.92929,3,0.0367523
1,1.92929,4,0.0910015
1,1.93939,1,0.102741
1,1.93939,2,0.764928
1,1.93939,3,0.0309358
1,1.93939,4,0.101395
1,1.94949,1,0.116565
1,1.94949,2,0.70664
1,1.94949,3,0.0618457
1,1.94949,4,0.114949
1,1.9596,1,0.137469
1,1.9596,2,0.590119
1,1.9596,3,0.134946
1,1.9596,4,0.137467
1,1.9697,1,0.138712
1,1.9697,2,0.624957
1,1.9697,3,0.100906
1,1.9697,4,0.135425
1,1.9798,1,0.145477
1,1.9798,2,0.438771
1,1.9798,3,0.270119
1,1.9798,4,0.145633
1,1.9899,1,0.115896
1,1.9899,2,0.437494
1,1.9899,3,0.329955
1,1.9899,4,0.116655
1,2,1,0.126177
1,2,2,0.454984
1,2,3,0.296832
1,2,4,0.122007
