omega,a,action,Count
0,1.47475,3,0.0007333
0,1.47475,4,0.0045728
0,1.48485,1,0.0055919
0,1.48485,2,0.984111
0,1.48485,3,0.0008904
0,1.48485,4,0.0094067
0,1.49495,1,0.0076903
0,1.49495,2,0.982908
0,1.49495,3,0.0005792
0,1.49495,4,0.0088224
0,1.50505,1,0.0044473
0,1.50505,2,0.982061
0,1.50505,3,0.0006297
0,1.50505,4,0.0128616
0,1.51515,1,0.0040187
0,1.51515,2,0.987657
0,1.51515,3,0.0005445
0,1.51515,4,0.0077801
0,1.52525,1,0.0043653
0,1.52525,2,0.989798
0,1.52525,3,0.0006818
0,1.52525,4,0.0051546
0,1.53535,1,0.0043365
0,1.53535,2,0.99167
0,1.53535,3,0.0006037
0,1.53535,4,0.0033899
0,1.54545,1,0.0058839
0,1.54545,2,0.987691
0,1.54545,3,0.0004467
0,1.54545,4,0.0059786
0,1.55556,1,0.0043253
0,1.55556,2,0.990755
0,1.55556,3,0.0005836
0,1.55556,4,0.0043363
0,1.56566,1,0.0024036
0,1.56566,2,0.994426
0,1.56566,3,0.0004081
0,1.56566,4,0.0027623
0,1.57576,1,0.0062213
0,1.57576,2,0.987177
0,1.57576,3,0.0003723
0,1.57576,4,0.0062291
0,1.58586,1,0.0082801
0,1.58586,2,0.983641
0,1.58586,3,0.0004575
0,1.58586,4,0.0076211
0,1.59596,1,0.0061942
0,1.59596,2,0.984194
0,1.59596,3,0.0003389
0,1.59596,4,0.0092725
0,1.60606,1,0.0146326
0,1.60606,2,0.972088
0,1.60606,3,0.0020501
0,1.60606,4,0.011229
0,1.61616,1,0.0124113
0,1.61616,2,0.97864
0,1.61616,3,0.0002843
0,1.61616,4,0.0086649
0,1.62626,1,0.0114836
0,1.62626,2,0.977969
0,1.62626,3,0.0001773
0,1.62626,4,0.0103703
0,1.63636,1,0.0094649
0,1.63636,2,0.981173
0,1.63636,3,0.0002516
0,1.63636,4,0.0091104
0,1.64646,1,0.0130604
0,1.64646,2,0.9735
