omega,gamma,beta,action,Count
1,0.0832354,5.798e-06,1,0.0480395
1,0.0832354,5.798e-06,2,0.887231
1,0.0832354,5.798e-06,3,0.0167079
1,0.0832354,5.798e-06,4,0.0480213
1,0.0832354,5.98992e-06,1,0.0580417
1,0.0832354,5.98992e-06,2,0.878713
1,0.0832354,5.98992e-06,3,0.0051949
1,0.0832354,5.98992e-06,4,0.0580502
1,0.0832354,6.18184e-06,1,0.069856
1,0.0832354,6.18184e-06,2,0.841676
1,0.0832354,6.18184e-06,3,0.0186318
1,0.0832354,6.18184e-06,4,0.0698357
1,0.0832354,6.37376e-06,1,0.072185
1,0.0832354,6.37376e-06,2,0.839439
1,0.0832354,6.37376e-06,3,0.0143682
1,0.0832354,6.37376e-06,4,0.0740079
1,0.0832354,6.56567e-06,1,0.0742512
1,0.0832354,6.56567e-06,2,0.830852
1,0.0832354,6.56567e-06,3,0.0191852
1,0.0832354,6.56567e-06,4,0.075712
1,0.0832354,6.75759e-06,1,0.0621695
1,0.0832354,6.75759e-06,2,0.851838
1,0.0832354,6.75759e-06,3,0.0238948
1,0.0832354,6.75759e-06,4,0.0620981
1,0.0832354,6.94951e-06,1,0.0388818
1,0.0832354,6.94951e-06,2,0.91023
1,0.0832354,6.94951e-06,3,0.0117531
1,0.0832354,6.94951e-06,4,0.0391349
1,0.0832354,7.14143e-06,1,0.0666281
1,0.0832354,7.14143e-06,2,0.841859
1,0.0832354,7.14143e-06,3,0.022758
1,0.0832354,7.14143e-06,4,0.0687547
1,0.0832354,7.33335e-06,1,0.0659509
1,0.0832354,7.33335e-06,2,0.844947
1,0.0832354,7.33335e-06,3,0.0231137
1,0.0832354,7.33335e-06,4,0.0659881
1,0.0832354,7.52527e-06,1,0.044278
1,0.0832354,7.52527e-06,2,0.881636
1,0.0832354,7.52527e-06,3,0.0291306
1,0.0832354,7.52527e-06,4,0.044955
1,0.0832354,7.71718e-06,1,0.0773726
1,0.0832354,7.71718e-06,2,0.841209
1,0.0832354,7.71718e-06,3,0.005991
1,0.0832354,7.71718e-06,4,0.0754271
1,0.0832354,7.9091e-06,1,0.0398008
1,0.0832354,7.9091e-06,2,0.913572
1,0.0832354,7.9091e-06,3,0.0068623
1,0.0832354,7.9091e-06,4,0.0397652
1,0.0832354,8.10102e-06,1,0.0439642
1,0.0832354,8.10102e-06,2,0.903476
1,0.0832354,8.10102e-06,3,0.0085319
1,0.0832354,8.10102e-06,4,0.044028
1,0.0832354,8.29294e-06,1,0.0537555
1,0.0832354,8.29294e-06,2,0.87734
1,0.0832354,8.29294e-06,3,0.0151162
