omega,alpha,beta,t
1,0.05,5e-06,2.10804e+06
1,0.05,5.13514e-06,2.08417e+06
1,0.05,5.27027e-06,1.99672e+06
1,0.05,5.40541e-06,2.0218e+06
1,0.05,5.54054e-06,1.94939e+06
1,0.05,5.67568e-06,1.86652e+06
1,0.05,5.81081e-06,1.89446e+06
1,0.05,5.94595e-06,1.79251e+06
1,0.05,6.08108e-06,1.81073e+06
1,0.05,6.21622e-06,1.78396e+06
1,0.05,6.35135e-06,1.75652e+06
1,0.05,6.48649e-06,1.72024e+06
1,0.05,6.62162e-06,1.66615e+06
1,0.05,6.75676e-06,1.68792e+06
1,0.05,6.89189e-06,1.64024e+06
1,0.05,7.02703e-06,1.56419e+06
1,0.05,7.16216e-06,1.5445e+06
1,0.05,7.2973e-06,1.54378e+06
1,0.05,7.43243e-06,1.51392e+06
1,0.05,7.56757e-06,1.45148e+06
1,0.05,7.7027e-06,1.43456e+06
1,0.05,7.83784e-06,1.44957e+06
1,0.05,7.97297e-06,1.42698e+06
1,0.05,8.10811e-06,1.39554e+06
1,0.05,8.24324e-06,1.42682e+06
1,0.05,8.37838e-06,1.44067e+06
1,0.05,8.51351e-06,1.34244e+06
1,0.05,8.64865e-06,1.35232e+06
1,0.05,8.78378e-06,1.37222e+06
1,0.05,8.91892e-06,1.32065e+06
1,0.05,9.05405e-06,1.31263e+06
1,0.05,9.18919e-06,1.30756e+06
1,0.05,9.32432e-06,1.29748e+06
1,0.05,9.45946e-06,1.2627e+06
1,0.05,9.59459e-06,1.25149e+06
1,0.05,9.72973e-06,1.19474e+06
1,0.05,9.86486e-06,1.26292e+06
1,0.05,1e-05,1.19008e+06
1,0.05,1.01351e-05,1.18827e+06
1,0.05,1.02703e-05,1.16268e+06
1,0.05,1.04054e-05,1.15354e+06
1,0.05,1.05405e-05,1.16868e+06
1,0.05,1.06757e-05,1.13954e+06
1,0.05,1.08108e-05,1.15232e+06
1,0.05,1.09459e-05,1.10475e+06
1,0.05,1.10811e-05,1.09209e+06
1,0.05,1.12162e-05,1.07996e+06
1,0.05,1.13514e-05,1.06543e+06
1,0.05,1.14865e-05,1.1245e+06
1,0.05,1.16216e-05,1.10575e+06
1,0.05,1.17568e-05,1.0214e+06
1,0.05,1.18919e-05,1.0502e+06
1,0.05,1.2027e-05,1.04043e+06
1,0.05,1.21622e-05,1.05392e+06
1,0.05,1.22973e-05,991549
1,0.05,1.24324e-05,1.03022e+06
1,0.05,1.25676e-05,975800
1,0.05,1.27027e-05,972033
1,0.05,1.28378e-05,991735
1,0.05,1.2973e-05,961489
1,0.05,1.31081e-05,996601
1,0.05,1.32432e-05,1.02324e+06
1,0.05,1.33784e-05,1.01257e+06
1,0.05,1.35135e-05,977251
1,0.05,1.36486e-05,968694
1,0.05,1.37838e-05,936310
1,0.05,1.39189e-05,914112
1,0.05,1.40541e-05,899658
1,0.05,1.41892e-05,930821
1,0.05,1.43243e-05,870818
1,0.05,1.44595e-05,943002
1,0.05,1.45946e-05,862982
1,0.05,1.47297e-05,899367
1,0.05,1.48649e-05,927091
1,0.05,1.5e-05,892573
1,0.0527027,5e-06,2.16663e+06
1,0.0527027,5.13514e-06,2.0928e+06
1,0.0527027,5.27027e-06,2.00581e+06
1,0.0527027,5.40541e-06,1.98042e+06
1,0.0527027,5.54054e-06,1.96358e+06
1,0.0527027,5.67568e-06,1.90445e+06
1,0.0527027,5.81081e-06,1.84758e+06
1,0.0527027,5.94595e-06,1.88803e+06
1,0.0527027,6.08108e-06,1.8057e+06
1,0.0527027,6.21622e-06,1.73316e+06
1,0.0527027,6.35135e-06,1.74084e+06
1,0.0527027,6.48649e-06,1.75616e+06
1,0.0527027,6.62162e-06,1.71081e+06
1,0.0527027,6.75676e-06,1.65428e+06
1,0.0527027,6.89189e-06,1.61272e+06
1,0.0527027,7.02703e-06,1.5768e+06
1,0.0527027,7.16216e-06,1.60482e+06
1,0.0527027,7.2973e-06,1.52456e+06
1,0.0527027,7.43243e-06,1.5278e+06
1,0.0527027,7.56757e-06,1.5056e+06
1,0.0527027,7.7027e-06,1.46714e+06
1,0.0527027,7.83784e-06,1.43445e+06
1,0.0527027,7.97297e-06,1.44367e+06
1,0.0527027,8.10811e-06,1.45833e+06
1,0.0527027,8.24324e-06,1.41609e+06
1,0.0527027,8.37838e-06,1.3666e+06
1,0.0527027,8.51351e-06,1.32576e+06
1,0.0527027,8.64865e-06,1.3234e+06
1,0.0527027,8.78378e-06,1.31662e+06
1,0.0527027,8.91892e-06,1.34684e+06
1,0.0527027,9.05405e-06,1.30661e+06
1,0.0527027,9.18919e-06,1.28361e+06
1,0.0527027,9.32432e-06,1.22825e+06
1,0.0527027,9.45946e-06,1.24012e+06
1,0.0527027,9.59459e-06,1.21455e+06
1,0.0527027,9.72973e-06,1.21953e+06
1,0.0527027,9.86486e-06,1.22449e+06
1,0.0527027,1e-05,1.17379e+06
1,0.0527027,1.01351e-05,1.16539e+06
1,0.0527027,1.02703e-05,1.15128e+06
1,0.0527027,1.04054e-05,1.17865e+06
1,0.0527027,1.05405e-05,1.13858e+06
1,0.0527027,1.06757e-05,1.14005e+06
1,0.0527027,1.08108e-05,1.14988e+06
1,0.0527027,1.09459e-05,1.12449e+06
1,0.0527027,1.10811e-05,1.14169e+06
1,0.0527027,1.12162e-05,1.10111e+06
1,0.0527027,1.13514e-05,1.09431e+06
1,0.0527027,1.14865e-05,1.04212e+06
1,0.0527027,1.16216e-05,1.05257e+06
1,0.0527027,1.17568e-05,1.08766e+06
1,0.0527027,1.18919e-05,1.02569e+06
1,0.0527027,1.2027e-05,1.01751e+06
1,0.0527027,1.21622e-05,1.01821e+06
1,0.0527027,1.22973e-05,1.02454e+06
1,0.0527027,1.24324e-05,998754
1,0.0527027,1.25676e-05,1.01396e+06
1,0.0527027,1.27027e-05,956919
1,0.0527027,1.28378e-05,999383
1,0.0527027,1.2973e-05,979782
1,0.0527027,1.31081e-05,990314
1,0.0527027,1.32432e-05,994981
1,0.0527027,1.33784e-05,924483
1,0.0527027,1.35135e-05,978379
1,0.0527027,1.36486e-05,938361
1,0.0527027,1.37838e-05,909569
1,0.0527027,1.39189e-05,933447
1,0.0527027,1.40541e-05,950308
1,0.0527027,1.41892e-05,898969
1,0.0527027,1.43243e-05,981444
1,0.0527027,1.44595e-05,885716
1,0.0527027,1.45946e-05,879977
1,0.0527027,1.47297e-05,910741
1,0.0527027,1.48649e-05,907162
1,0.0527027,1.5e-05,824055
1,0.0554054,5e-06,2.13046e+06
1,0.0554054,5.13514e-06,2.1305e+06
1,0.0554054,5.27027e-06,2.00015e+06
1,0.0554054,5.40541e-06,1.93913e+06
1,0.0554054,5.54054e-06,1.96321e+06
1,0.0554054,5.67568e-06,1.92798e+06
1,0.0554054,5.81081e-06,1.90112e+06
1,0.0554054,5.94595e-06,1.7909e+06
1,0.0554054,6.08108e-06,1.83866e+06
1,0.0554054,6.21622e-06,1.77432e+06
1,0.0554054,6.35135e-06,1.77724e+06
1,0.0554054,6.48649e-06,1.74101e+06
1,0.0554054,6.62162e-06,1.74073e+06
1,0.0554054,6.75676e-06,1.67519e+06
1,0.0554054,6.89189e-06,1.59104e+06
1,0.0554054,7.02703e-06,1.5968e+06
1,0.0554054,7.16216e-06,1.59047e+06
1,0.0554054,7.2973e-06,1.60939e+06
1,0.0554054,7.43243e-06,1.52758e+06
1,0.0554054,7.56757e-06,1.52735e+06
1,0.0554054,7.7027e-06,1.51085e+06
1,0.0554054,7.83784e-06,1.46087e+06
1,0.0554054,7.97297e-06,1.47372e+06
1,0.0554054,8.10811e-06,1.39556e+06
1,0.0554054,8.24324e-06,1.40131e+06
1,0.0554054,8.37838e-06,1.38816e+06
1,0.0554054,8.51351e-06,1.36965e+06
1,0.0554054,8.64865e-06,1.39304e+06
1,0.0554054,8.78378e-06,1.30339e+06
1,0.0554054,8.91892e-06,1.33971e+06
1,0.0554054,9.05405e-06,1.26499e+06
1,0.0554054,9.18919e-06,1.25894e+06
1,0.0554054,9.32432e-06,1.29408e+06
1,0.0554054,9.45946e-06,1.2454e+06
1,0.0554054,9.59459e-06,1.27702e+06
1,0.0554054,9.72973e-06,1.21575e+06
1,0.0554054,9.86486e-06,1.27095e+06
1,0.0554054,1e-05,1.24526e+06
1,0.0554054,1.01351e-05,1.21784e+06
1,0.0554054,1.02703e-05,1.21458e+06
1,0.0554054,1.04054e-05,1.15139e+06
1,0.0554054,1.05405e-05,1.15521e+06
1,0.0554054,1.06757e-05,1.16036e+06
1,0.0554054,1.08108e-05,1.1463e+06
1,0.0554054,1.09459e-05,1.1742e+06
1,0.0554054,1.10811e-05,1.14192e+06
1,0.0554054,1.12162e-05,1.10216e+06
1,0.0554054,1.13514e-05,1.12834e+06
1,0.0554054,1.14865e-05,1.1259e+06
1,0.0554054,1.16216e-05,1.08127e+06
1,0.0554054,1.17568e-05,1.06516e+06
1,0.0554054,1.18919e-05,1.07845e+06
1,0.0554054,1.2027e-05,1.0856e+06
1,0.0554054,1.21622e-05,1.02554e+06
1,0.0554054,1.22973e-05,1.01882e+06
1,0.0554054,1.24324e-05,994810
1,0.0554054,1.25676e-05,1.02271e+06
1,0.0554054,1.27027e-05,956963
1,0.0554054,1.28378e-05,982591
1,0.0554054,1.2973e-05,991028
1,0.0554054,1.31081e-05,1.00348e+06
1,0.0554054,1.32432e-05,1.01275e+06
1,0.0554054,1.33784e-05,952753
1,0.0554054,1.35135e-05,966206
1,0.0554054,1.36486e-05,943747
1,0.0554054,1.37838e-05,924557
1,0.0554054,1.39189e-05,960956
1,0.0554054,1.40541e-05,947654
1,0.0554054,1.41892e-05,929787
1,0.0554054,1.43243e-05,955397
1,0.0554054,1.44595e-05,919952
1,0.0554054,1.45946e-05,902754
1,0.0554054,1.47297e-05,929524
1,0.0554054,1.48649e-05,885081
1,0.0554054,1.5e-05,871978
1,0.0581081,5e-06,2.14779e+06
1,0.0581081,5.13514e-06,2.08659e+06
1,0.0581081,5.27027e-06,2.0918e+06
1,0.0581081,5.40541e-06,2.00911e+06
1,0.0581081,5.54054e-06,1.91237e+06
1,0.0581081,5.67568e-06,1.94713e+06
1,0.0581081,5.81081e-06,1.91638e+06
1,0.0581081,5.94595e-06,1.85779e+06
1,0.0581081,6.08108e-06,1.84982e+06
1,0.0581081,6.21622e-06,1.78772e+06
1,0.0581081,6.35135e-06,1.75535e+06
1,0.0581081,6.48649e-06,1.74829e+06
1,0.0581081,6.62162e-06,1.6626e+06
1,0.0581081,6.75676e-06,1.62077e+06
1,0.0581081,6.89189e-06,1.64543e+06
1,0.0581081,7.02703e-06,1.58624e+06
1,0.0581081,7.16216e-06,1.5554e+06
1,0.0581081,7.2973e-06,1.55102e+06
1,0.0581081,7.43243e-06,1.56068e+06
1,0.0581081,7.56757e-06,1.46442e+06
1,0.0581081,7.7027e-06,1.50271e+06
1,0.0581081,7.83784e-06,1.49605e+06
1,0.0581081,7.97297e-06,1.4612e+06
1,0.0581081,8.10811e-06,1.42215e+06
1,0.0581081,8.24324e-06,1.40971e+06
1,0.0581081,8.37838e-06,1.42328e+06
1,0.0581081,8.51351e-06,1.35476e+06
1,0.0581081,8.64865e-06,1.3538e+06
1,0.0581081,8.78378e-06,1.3866e+06
1,0.0581081,8.91892e-06,1.32115e+06
1,0.0581081,9.05405e-06,1.36044e+06
1,0.0581081,9.18919e-06,1.2884e+06
1,0.0581081,9.32432e-06,1.2406e+06
1,0.0581081,9.45946e-06,1.25287e+06
1,0.0581081,9.59459e-06,1.2534e+06
1,0.0581081,9.72973e-06,1.19219e+06
1,0.0581081,9.86486e-06,1.22466e+06
1,0.0581081,1e-05,1.1897e+06
1,0.0581081,1.01351e-05,1.18918e+06
1,0.0581081,1.02703e-05,1.18763e+06
1,0.0581081,1.04054e-05,1.19951e+06
1,0.0581081,1.05405e-05,1.17901e+06
1,0.0581081,1.06757e-05,1.10347e+06
1,0.0581081,1.08108e-05,1.11597e+06
1,0.0581081,1.09459e-05,1.10428e+06
1,0.0581081,1.10811e-05,1.12358e+06
1,0.0581081,1.12162e-05,1.1316e+06
1,0.0581081,1.13514e-05,1.08612e+06
1,0.0581081,1.14865e-05,1.03214e+06
1,0.0581081,1.16216e-05,1.07409e+06
1,0.0581081,1.17568e-05,1.04689e+06
1,0.0581081,1.18919e-05,1.03768e+06
1,0.0581081,1.2027e-05,1.10199e+06
1,0.0581081,1.21622e-05,1.07316e+06
1,0.0581081,1.22973e-05,1.05553e+06
1,0.0581081,1.24324e-05,982317
1,0.0581081,1.25676e-05,1.0036e+06
1,0.0581081,1.27027e-05,1.04171e+06
1,0.0581081,1.28378e-05,1.00396e+06
1,0.0581081,1.2973e-05,1.00557e+06
1,0.0581081,1.31081e-05,969767
1,0.0581081,1.32432e-05,980168
1,0.0581081,1.33784e-05,957982
1,0.0581081,1.35135e-05,964808
1,0.0581081,1.36486e-05,917620
1,0.0581081,1.37838e-05,885621
1,0.0581081,1.39189e-05,959102
1,0.0581081,1.40541e-05,901456
1,0.0581081,1.41892e-05,875079
1,0.0581081,1.43243e-05,905453
1,0.0581081,1.44595e-05,922083
1,0.0581081,1.45946e-05,899887
1,0.0581081,1.47297e-05,883467
1,0.0581081,1.48649e-05,913285
1,0.0581081,1.5e-05,906850
1,0.0608108,5e-06,2.13373e+06
1,0.0608108,5.13514e-06,2.08407e+06
1,0.0608108,5.27027e-06,2.06528e+06
1,0.0608108,5.40541e-06,1.96895e+06
1,0.0608108,5.54054e-06,1.94185e+06
1,0.0608108,5.67568e-06,1.92187e+06
1,0.0608108,5.81081e-06,1.91564e+06
1,0.0608108,5.94595e-06,1.83932e+06
1,0.0608108,6.08108e-06,1.7726e+06
1,0.0608108,6.21622e-06,1.7599e+06
1,0.0608108,6.35135e-06,1.72762e+06
1,0.0608108,6.48649e-06,1.69197e+06
1,0.0608108,6.62162e-06,1.6768e+06
1,0.0608108,6.75676e-06,1.62318e+06
1,0.0608108,6.89189e-06,1.63806e+06
1,0.0608108,7.02703e-06,1.65831e+06
1,0.0608108,7.16216e-06,1.56712e+06
1,0.0608108,7.2973e-06,1.59125e+06
1,0.0608108,7.43243e-06,1.534e+06
1,0.0608108,7.56757e-06,1.54008e+06
1,0.0608108,7.7027e-06,1.52978e+06
1,0.0608108,7.83784e-06,1.45327e+06
1,0.0608108,7.97297e-06,1.43739e+06
1,0.0608108,8.10811e-06,1.45151e+06
1,0.0608108,8.24324e-06,1.4219e+06
1,0.0608108,8.37838e-06,1.40842e+06
1,0.0608108,8.51351e-06,1.36087e+06
1,0.0608108,8.64865e-06,1.41035e+06
1,0.0608108,8.78378e-06,1.32238e+06
1,0.0608108,8.91892e-06,1.36179e+06
1,0.0608108,9.05405e-06,1.3659e+06
1,0.0608108,9.18919e-06,1.25246e+06
1,0.0608108,9.32432e-06,1.31466e+06
1,0.0608108,9.45946e-06,1.28009e+06
1,0.0608108,9.59459e-06,1.27981e+06
1,0.0608108,9.72973e-06,1.25249e+06
1,0.0608108,9.86486e-06,1.24982e+06
1,0.0608108,1e-05,1.24559e+06
1,0.0608108,1.01351e-05,1.24325e+06
1,0.0608108,1.02703e-05,1.18093e+06
1,0.0608108,1.04054e-05,1.18339e+06
1,0.0608108,1.05405e-05,1.14819e+06
1,0.0608108,1.06757e-05,1.12363e+06
1,0.0608108,1.08108e-05,1.11222e+06
1,0.0608108,1.09459e-05,1.19906e+06
1,0.0608108,1.10811e-05,1.0882e+06
1,0.0608108,1.12162e-05,1.12585e+06
1,0.0608108,1.13514e-05,1.13974e+06
1,0.0608108,1.14865e-05,1.08954e+06
1,0.0608108,1.16216e-05,1.06663e+06
1,0.0608108,1.17568e-05,1.06934e+06
1,0.0608108,1.18919e-05,1.08398e+06
1,0.0608108,1.2027e-05,1.05323e+06
1,0.0608108,1.21622e-05,1.00884e+06
1,0.0608108,1.22973e-05,1.01999e+06
1,0.0608108,1.24324e-05,1.03338e+06
1,0.0608108,1.25676e-05,1.0111e+06
1,0.0608108,1.27027e-05,999649
1,0.0608108,1.28378e-05,989777
1,0.0608108,1.2973e-05,1.02568e+06
1,0.0608108,1.31081e-05,986229
1,0.0608108,1.32432e-05,959604
1,0.0608108,1.33784e-05,1.01146e+06
1,0.0608108,1.35135e-05,931968
1,0.0608108,1.36486e-05,998282
1,0.0608108,1.37838e-05,970095
1,0.0608108,1.39189e-05,930471
1,0.0608108,1.40541e-05,948434
1,0.0608108,1.41892e-05,928725
1,0.0608108,1.43243e-05,938502
1,0.0608108,1.44595e-05,956571
1,0.0608108,1.45946e-05,896130
1,0.0608108,1.47297e-05,909971
1,0.0608108,1.48649e-05,901562
1,0.0608108,1.5e-05,876597
