omega,alpha,beta,cs
1,0.0527027,1.37838e-05,0.320415
1,0.0527027,1.39189e-05,0.319455
1,0.0527027,1.40541e-05,0.314257
1,0.0527027,1.41892e-05,0.318327
1,0.0527027,1.43243e-05,0.31375
1,0.0527027,1.44595e-05,0.317155
1,0.0527027,1.45946e-05,0.314955
1,0.0527027,1.47297e-05,0.315474
1,0.0527027,1.48649e-05,0.316031
1,0.0527027,1.5e-05,0.315266
1,0.0554054,5e-06,0.308717
1,0.0554054,5.13514e-06,0.309189
1,0.0554054,5.27027e-06,0.309827
1,0.0554054,5.40541e-06,0.312745
1,0.0554054,5.54054e-06,0.308606
1,0.0554054,5.67568e-06,0.313459
1,0.0554054,5.81081e-06,0.309722
1,0.0554054,5.94595e-06,0.307077
1,0.0554054,6.08108e-06,0.313377
1,0.0554054,6.21622e-06,0.315377
1,0.0554054,6.35135e-06,0.317217
1,0.0554054,6.48649e-06,0.315618
1,0.0554054,6.62162e-06,0.320037
1,0.0554054,6.75676e-06,0.317286
1,0.0554054,6.89189e-06,0.317282
1,0.0554054,7.02703e-06,0.311893
1,0.0554054,7.16216e-06,0.312377
1,0.0554054,7.2973e-06,0.31643
1,0.0554054,7.43243e-06,0.315228
1,0.0554054,7.56757e-06,0.313938
1,0.0554054,7.7027e-06,0.318343
1,0.0554054,7.83784e-06,0.314567
1,0.0554054,7.97297e-06,0.320974
1,0.0554054,8.10811e-06,0.315479
1,0.0554054,8.24324e-06,0.312634
1,0.0554054,8.37838e-06,0.318356
1,0.0554054,8.51351e-06,0.315252
1,0.0554054,8.64865e-06,0.31726
1,0.0554054,8.78378e-06,0.319019
1,0.0554054,8.91892e-06,0.319347
1,0.0554054,9.05405e-06,0.315396
1,0.0554054,9.18919e-06,0.316106
1,0.0554054,9.32432e-06,0.317339
1,0.0554054,9.45946e-06,0.317494
1,0.0554054,9.59459e-06,0.318749
1,0.0554054,9.72973e-06,0.316797
1,0.0554054,9.86486e-06,0.317309
1,0.0554054,1e-05,0.316007
1,0.0554054,1.01351e-05,0.312231
1,0.0554054,1.02703e-05,0.317971
1,0.0554054,1.04054e-05,0.319685
1,0.0554054,1.05405e-05,0.321094
1,0.0554054,1.06757e-05,0.315166
1,0.0554054,1.08108e-05,0.319408
1,0.0554054,1.09459e-05,0.318723
1,0.0554054,1.10811e-05,0.317003
1,0.0554054,1.12162e-05,0.318077
1,0.0554054,1.13514e-05,0.319465
1,0.0554054,1.14865e-05,0.314728
1,0.0554054,1.16216e-05,0.317332
1,0.0554054,1.17568e-05,0.314005
1,0.0554054,1.18919e-05,0.3194
1,0.0554054,1.2027e-05,0.317116
1,0.0554054,1.21622e-05,0.322879
1,0.0554054,1.22973e-05,0.318995
1,0.0554054,1.24324e-05,0.318281
1,0.0554054,1.25676e-05,0.322049
1,0.0554054,1.27027e-05,0.320038
1,0.0554054,1.28378e-05,0.317366
1,0.0554054,1.2973e-05,0.317192
1,0.0554054,1.31081e-05,0.31594
1,0.0554054,1.32432e-05,0.318296
1,0.0554054,1.33784e-05,0.317796
1,0.0554054,1.35135e-05,0.315368
1,0.0554054,1.36486e-05,0.320462
1,0.0554054,1.37838e-05,0.319424
1,0.0554054,1.39189e-05,0.31849
1,0.0554054,1.40541e-05,0.31722
1,0.0554054,1.41892e-05,0.311498
1,0.0554054,1.43243e-05,0.320861
1,0.0554054,1.44595e-05,0.314563
1,0.0554054,1.45946e-05,0.315673
1,0.0554054,1.47297e-05,0.317185
1,0.0554054,1.48649e-05,0.317807
1,0.0554054,1.5e-05,0.319168
1,0.0581081,5e-06,0.306294
1,0.0581081,5.13514e-06,0.312382
1,0.0581081,5.27027e-06,0.314443
1,0.0581081,5.40541e-06,0.312555
1,0.0581081,5.54054e-06,0.312384
1,0.0581081,5.67568e-06,0.310633
1,0.0581081,5.81081e-06,0.315203
1,0.0581081,5.94595e-06,0.31303
1,0.0581081,6.08108e-06,0.3148
1,0.0581081,6.21622e-06,0.316108
1,0.0581081,6.35135e-06,0.317406
1,0.0581081,6.48649e-06,0.316518
1,0.0581081,6.62162e-06,0.311919
1,0.0581081,6.75676e-06,0.313573
1,0.0581081,6.89189e-06,0.314046
1,0.0581081,7.02703e-06,0.315755
1,0.0581081,7.16216e-06,0.311123
1,0.0581081,7.2973e-06,0.318604
1,0.0581081,7.43243e-06,0.313472
1,0.0581081,7.56757e-06,0.317279
1,0.0581081,7.7027e-06,0.314187
1,0.0581081,7.83784e-06,0.317855
1,0.0581081,7.97297e-06,0.314218
1,0.0581081,8.10811e-06,0.315001
1,0.0581081,8.24324e-06,0.317358
1,0.0581081,8.37838e-06,0.31894
1,0.0581081,8.51351e-06,0.316936
1,0.0581081,8.64865e-06,0.31535
1,0.0581081,8.78378e-06,0.320549
1,0.0581081,8.91892e-06,0.316346
1,0.0581081,9.05405e-06,0.317233
1,0.0581081,9.18919e-06,0.313313
1,0.0581081,9.32432e-06,0.323899
1,0.0581081,9.45946e-06,0.320821
1,0.0581081,9.59459e-06,0.316722
1,0.0581081,9.72973e-06,0.316967
1,0.0581081,9.86486e-06,0.320217
1,0.0581081,1e-05,0.320186
1,0.0581081,1.01351e-05,0.316521
1,0.0581081,1.02703e-05,0.318173
1,0.0581081,1.04054e-05,0.322132
1,0.0581081,1.05405e-05,0.318736
1,0.0581081,1.06757e-05,0.316567
1,0.0581081,1.08108e-05,0.315056
1,0.0581081,1.09459e-05,0.317123
1,0.0581081,1.10811e-05,0.315664
1,0.0581081,1.12162e-05,0.320828
1,0.0581081,1.13514e-05,0.316354
1,0.0581081,1.14865e-05,0.316645
1,0.0581081,1.16216e-05,0.312518
1,0.0581081,1.17568e-05,0.318481
1,0.0581081,1.18919e-05,0.318012
1,0.0581081,1.2027e-05,0.323055
1,0.0581081,1.21622e-05,0.318729
1,0.0581081,1.22973e-05,0.320443
1,0.0581081,1.24324e-05,0.318328
1,0.0581081,1.25676e-05,0.31746
1,0.0581081,1.27027e-05,0.322604
1,0.0581081,1.28378e-05,0.320582
1,0.0581081,1.2973e-05,0.319267
1,0.0581081,1.31081e-05,0.318249
1,0.0581081,1.32432e-05,0.32157
1,0.0581081,1.33784e-05,0.320002
1,0.0581081,1.35135e-05,0.318541
1,0.0581081,1.36486e-05,0.314718
1,0.0581081,1.37838e-05,0.317235
1,0.0581081,1.39189e-05,0.31653
1,0.0581081,1.40541e-05,0.314966
1,0.0581081,1.41892e-05,0.316033
1,0.0581081,1.43243e-05,0.316186
