omega,gamma,beta,firm,profit
1,0.0861646,7.71718e-06,2,0.135377
1,0.0861646,7.9091e-06,1,0.135876
1,0.0861646,7.9091e-06,2,0.137556
1,0.0861646,8.10102e-06,1,0.135466
1,0.0861646,8.10102e-06,2,0.136563
1,0.0861646,8.29294e-06,1,0.136667
1,0.0861646,8.29294e-06,2,0.135482
1,0.0861646,8.48486e-06,1,0.135634
1,0.0861646,8.48486e-06,2,0.13529
1,0.0861646,8.67678e-06,1,0.135225
1,0.0861646,8.67678e-06,2,0.135874
1,0.0861646,8.86869e-06,1,0.135779
1,0.0861646,8.86869e-06,2,0.134918
1,0.0861646,9.06061e-06,1,0.135796
1,0.0861646,9.06061e-06,2,0.136074
1,0.0861646,9.25253e-06,1,0.134707
1,0.0861646,9.25253e-06,2,0.134985
1,0.0861646,9.44445e-06,1,0.135661
1,0.0861646,9.44445e-06,2,0.136451
1,0.0861646,9.63637e-06,1,0.13638
1,0.0861646,9.63637e-06,2,0.135748
1,0.0861646,9.82829e-06,1,0.135991
1,0.0861646,9.82829e-06,2,0.13569
1,0.0861646,1.00202e-05,1,0.135267
1,0.0861646,1.00202e-05,2,0.134464
1,0.0861646,1.02121e-05,1,0.135738
1,0.0861646,1.02121e-05,2,0.134728
1,0.0861646,1.0404e-05,1,0.134563
1,0.0861646,1.0404e-05,2,0.134108
1,0.0861646,1.0596e-05,1,0.134133
1,0.0861646,1.0596e-05,2,0.133824
1,0.0861646,1.07879e-05,1,0.135336
1,0.0861646,1.07879e-05,2,0.135844
1,0.0861646,1.09798e-05,1,0.13618
1,0.0861646,1.09798e-05,2,0.135059
1,0.0861646,1.11717e-05,1,0.135694
1,0.0861646,1.11717e-05,2,0.135094
1,0.0861646,1.13636e-05,1,0.133483
1,0.0861646,1.13636e-05,2,0.134212
1,0.0861646,1.15556e-05,1,0.136558
1,0.0861646,1.15556e-05,2,0.136489
1,0.0861646,1.17475e-05,1,0.134436
1,0.0861646,1.17475e-05,2,0.134141
1,0.0861646,1.19394e-05,1,0.135013
1,0.0861646,1.19394e-05,2,0.134924
1,0.0861646,1.21313e-05,1,0.135596
1,0.0861646,1.21313e-05,2,0.13477
1,0.0861646,1.23232e-05,1,0.135733
1,0.0861646,1.23232e-05,2,0.136178
1,0.0861646,1.25151e-05,1,0.134997
1,0.0861646,1.25151e-05,2,0.135351
1,0.0861646,1.27071e-05,1,0.134779
1,0.0861646,1.27071e-05,2,0.134741
1,0.0861646,1.2899e-05,1,0.136109
1,0.0861646,1.2899e-05,2,0.135758
1,0.0861646,1.30909e-05,1,0.136299
1,0.0861646,1.30909e-05,2,0.136323
1,0.0861646,1.32828e-05,1,0.134696
1,0.0861646,1.32828e-05,2,0.136302
1,0.0861646,1.34747e-05,1,0.13506
1,0.0861646,1.34747e-05,2,0.134737
1,0.0861646,1.36667e-05,1,0.135581
1,0.0861646,1.36667e-05,2,0.135152
1,0.0861646,1.38586e-05,1,0.133699
1,0.0861646,1.38586e-05,2,0.134342
1,0.0861646,1.40505e-05,1,0.135155
1,0.0861646,1.40505e-05,2,0.135704
1,0.0861646,1.42424e-05,1,0.135585
1,0.0861646,1.42424e-05,2,0.134876
1,0.0861646,1.44343e-05,1,0.134918
1,0.0861646,1.44343e-05,2,0.134144
1,0.0861646,1.46262e-05,1,0.134164
1,0.0861646,1.46262e-05,2,0.134473
1,0.0861646,1.48182e-05,1,0.136367
1,0.0861646,1.48182e-05,2,0.136334
1,0.0861646,1.50101e-05,1,0.136519
1,0.0861646,1.50101e-05,2,0.135738
1,0.0861646,1.5202e-05,1,0.134673
1,0.0861646,1.5202e-05,2,0.135508
1,0.0890937,5.798e-06,1,0.136023
1,0.0890937,5.798e-06,2,0.136832
1,0.0890937,5.98992e-06,1,0.135813
1,0.0890937,5.98992e-06,2,0.135919
1,0.0890937,6.18184e-06,1,0.136325
1,0.0890937,6.18184e-06,2,0.135794
1,0.0890937,6.37376e-06,1,0.136058
1,0.0890937,6.37376e-06,2,0.135521
1,0.0890937,6.56567e-06,1,0.137448
1,0.0890937,6.56567e-06,2,0.136482
1,0.0890937,6.75759e-06,1,0.135995
1,0.0890937,6.75759e-06,2,0.13573
