gamma,theta_1,cs
0.69697,1,0.271689
0.69697,1.1,0.231824
0.707071,0.9,0.317057
0.707071,1,0.268649
0.707071,1.1,0.232314
0.717172,0.9,0.315996
0.717172,1,0.267918
0.717172,1.1,0.233264
0.727273,0.9,0.312103
0.727273,1,0.269599
0.727273,1.1,0.231023
0.737374,0.9,0.317348
0.737374,1,0.269843
0.737374,1.1,0.230238
0.747475,0.9,0.317415
0.747475,1,0.267199
0.747475,1.1,0.228773
0.757576,0.9,0.317071
0.757576,1,0.270536
0.757576,1.1,0.22891
0.767677,0.9,0.319411
0.767677,1,0.270888
0.767677,1.1,0.227842
0.777778,0.9,0.318161
0.777778,1,0.269082
0.777778,1.1,0.226566
0.787879,0.9,0.326758
0.787879,1,0.269061
0.787879,1.1,0.22903
0.79798,0.9,0.324593
0.79798,1,0.269773
0.79798,1.1,0.230049
0.808081,0.9,0.32333
0.808081,1,0.269651
0.808081,1.1,0.229358
0.818182,0.9,0.325944
0.818182,1,0.267283
0.818182,1.1,0.227941
0.828283,0.9,0.325076
0.828283,1,0.269108
0.828283,1.1,0.225299
0.838384,0.9,0.325083
0.838384,1,0.269972
0.838384,1.1,0.227392
0.848485,0.9,0.327397
0.848485,1,0.270145
0.848485,1.1,0.225658
0.858586,0.9,0.327811
0.858586,1,0.268698
0.858586,1.1,0.223076
0.868687,0.9,0.326404
0.868687,1,0.268588
0.868687,1.1,0.22658
0.878788,0.9,0.332355
0.878788,1,0.268757
0.878788,1.1,0.223079
0.888889,0.9,0.327402
0.888889,1,0.267888
0.888889,1.1,0.224437
0.89899,0.9,0.331643
0.89899,1,0.270342
0.89899,1.1,0.219357
0.909091,0.9,0.332192
0.909091,1,0.268716
0.909091,1.1,0.223123
0.919192,0.9,0.329739
0.919192,1,0.26745
0.919192,1.1,0.222392
0.929293,0.9,0.33256
0.929293,1,0.268454
0.929293,1.1,0.221105
0.939394,0.9,0.334248
0.939394,1,0.264293
0.939394,1.1,0.220606
0.949495,0.9,0.334239
0.949495,1,0.266209
0.949495,1.1,0.217826
0.959596,0.9,0.335366
0.959596,1,0.267639
0.959596,1.1,0.215849
0.969697,0.9,0.335554
0.969697,1,0.267096
0.969697,1.1,0.216873
0.979798,0.9,0.329735
0.979798,1,0.268488
0.979798,1.1,0.216177
0.989899,0.9,0.339956
0.989899,1,0.269383
0.989899,1.1,0.215351
1,0.9,0.336622
1,1,0.26716
1,1.1,0.213079
