gamma,theta_1,firm,profit
0.30303,0.9,1,0.123602
0.30303,0.9,2,0.138825
0.30303,1,1,0.113028
0.30303,1,2,0.129607
0.30303,1.1,1,0.102928
0.30303,1.1,2,0.118977
0.313131,0.9,1,0.123713
0.313131,0.9,2,0.139495
0.313131,1,1,0.113684
0.313131,1,2,0.129303
0.313131,1.1,1,0.102607
0.313131,1.1,2,0.119233
0.323232,0.9,1,0.125141
0.323232,0.9,2,0.138301
0.323232,1,1,0.114143
0.323232,1,2,0.129028
0.323232,1.1,1,0.103438
0.323232,1.1,2,0.117151
0.333333,0.9,1,0.125387
0.333333,0.9,2,0.139056
0.333333,1,1,0.114784
0.333333,1,2,0.128545
0.333333,1.1,1,0.103044
0.333333,1.1,2,0.116551
0.343434,0.9,1,0.127261
0.343434,0.9,2,0.137993
0.343434,1,1,0.115032
0.343434,1,2,0.128008
0.343434,1.1,1,0.102986
0.343434,1.1,2,0.116975
0.353535,0.9,1,0.127962
0.353535,0.9,2,0.138661
0.353535,1,1,0.115532
0.353535,1,2,0.127658
0.353535,1.1,1,0.10254
0.353535,1.1,2,0.116576
0.363636,0.9,1,0.12849
0.363636,0.9,2,0.13817
0.363636,1,1,0.115946
0.363636,1,2,0.127559
0.363636,1.1,1,0.103107
0.363636,1.1,2,0.11495
0.373737,0.9,1,0.128071
0.373737,0.9,2,0.139373
0.373737,1,1,0.115743
0.373737,1,2,0.127023
0.373737,1.1,1,0.102708
0.373737,1.1,2,0.114247
0.383838,0.9,1,0.130309
0.383838,0.9,2,0.139003
0.383838,1,1,0.117219
0.383838,1,2,0.125606
0.383838,1.1,1,0.103069
0.383838,1.1,2,0.113337
0.393939,0.9,1,0.131166
0.393939,0.9,2,0.13938
0.393939,1,1,0.117221
0.393939,1,2,0.126022
0.393939,1.1,1,0.102564
0.393939,1.1,2,0.113146
0.40404,0.9,1,0.131938
0.40404,0.9,2,0.138427
0.40404,1,1,0.117389
0.40404,1,2,0.125726
0.40404,1.1,1,0.103067
0.40404,1.1,2,0.11226
0.414141,0.9,1,0.132516
0.414141,0.9,2,0.139614
0.414141,1,1,0.117871
0.414141,1,2,0.125162
0.414141,1.1,1,0.101867
0.414141,1.1,2,0.111797
0.424242,0.9,1,0.13332
0.424242,0.9,2,0.138384
0.424242,1,1,0.118327
0.424242,1,2,0.124923
0.424242,1.1,1,0.102356
0.424242,1.1,2,0.111319
0.434343,0.9,1,0.134291
0.434343,0.9,2,0.139667
0.434343,1,1,0.117842
0.434343,1,2,0.124809
0.434343,1.1,1,0.102965
0.434343,1.1,2,0.11043
0.444444,0.9,1,0.135539
0.444444,0.9,2,0.139098
0.444444,1,1,0.119054
0.444444,1,2,0.123361
0.444444,1.1,1,0.10336
0.444444,1.1,2,0.109775
0.454545,0.9,1,0.136702
0.454545,0.9,2,0.138762
0.454545,1,1,0.119545
0.454545,1,2,0.123671
0.454545,1.1,1,0.103062
0.454545,1.1,2,0.109558
0.464646,0.9,1,0.137537
0.464646,0.9,2,0.138856
0.464646,1,1,0.119481
0.464646,1,2,0.123411
0.464646,1.1,1,0.10313
0.464646,1.1,2,0.108244
0.474747,0.9,1,0.138099
0.474747,0.9,2,0.139256
0.474747,1,1,0.120119
0.474747,1,2,0.123013
0.474747,1.1,1,0.103068
0.474747,1.1,2,0.107668
0.484848,0.9,1,0.138933
0.484848,0.9,2,0.138751
0.484848,1,1,0.120243
0.484848,1,2,0.122301
0.484848,1.1,1,0.103361
0.484848,1.1,2,0.106493
0.494949,0.9,1,0.13989
0.494949,0.9,2,0.139384
0.494949,1,1,0.121054
0.494949,1,2,0.122359
0.494949,1.1,1,0.103101
0.494949,1.1,2,0.105991
0.505051,0.9,1,0.140575
0.505051,0.9,2,0.139004
0.505051,1,1,0.121191
0.505051,1,2,0.121578
0.505051,1.1,1,0.102349
0.505051,1.1,2,0.10605
0.515152,0.9,1,0.141292
0.515152,0.9,2,0.138502
0.515152,1,1,0.122348
0.515152,1,2,0.120746
0.515152,1.1,1,0.103628
0.515152,1.1,2,0.104461
0.525253,0.9,1,0.142259
0.525253,0.9,2,0.138501
0.525253,1,1,0.122598
0.525253,1,2,0.119959
0.525253,1.1,1,0.10298
0.525253,1.1,2,0.1042
0.535354,0.9,1,0.143394
0.535354,0.9,2,0.13992
0.535354,1,1,0.122583
0.535354,1,2,0.119983
0.535354,1.1,1,0.103186
0.535354,1.1,2,0.103181
0.545455,0.9,1,0.143514
0.545455,0.9,2,0.139317
0.545455,1,1,0.123214
0.545455,1,2,0.1195
0.545455,1.1,1,0.103007
