omega,c,t
0.8,0.373737,1.31308e+06
0.8,0.378788,1.32137e+06
0.8,0.383838,1.293e+06
0.8,0.388889,1.29135e+06
0.8,0.393939,1.33833e+06
0.8,0.39899,1.3127e+06
0.8,0.40404,1.32606e+06
0.8,0.409091,1.30031e+06
0.8,0.414141,1.34111e+06
0.8,0.419192,1.31947e+06
0.8,0.424242,1.32386e+06
0.8,0.429293,1.33333e+06
0.8,0.434343,1.29073e+06
0.8,0.439394,1.31345e+06
0.8,0.444444,1.38298e+06
0.8,0.449495,1.32374e+06
0.8,0.454545,1.35482e+06
0.8,0.459596,1.28808e+06
0.8,0.464646,1.3086e+06
0.8,0.469697,1.33787e+06
0.8,0.474747,1.37033e+06
0.8,0.479798,1.33092e+06
0.8,0.484848,1.34912e+06
0.8,0.489899,1.34741e+06
0.8,0.494949,1.31122e+06
0.8,0.5,1.3178e+06
1,0,1.15923e+06
1,0.00505051,1.13861e+06
1,0.010101,1.14764e+06
1,0.0151515,1.13924e+06
1,0.020202,1.18208e+06
1,0.0252525,1.22415e+06
1,0.030303,1.18772e+06
1,0.0353535,1.14326e+06
1,0.040404,1.18094e+06
1,0.0454545,1.19375e+06
1,0.0505051,1.15742e+06
1,0.0555556,1.16482e+06
1,0.0606061,1.17818e+06
1,0.0656566,1.22755e+06
1,0.0707071,1.1817e+06
1,0.0757576,1.18674e+06
1,0.0808081,1.17498e+06
1,0.0858586,1.14319e+06
1,0.0909091,1.16118e+06
1,0.0959596,1.1748e+06
1,0.10101,1.20528e+06
1,0.106061,1.22456e+06
1,0.111111,1.18492e+06
1,0.116162,1.21679e+06
1,0.121212,1.17829e+06
1,0.126263,1.15603e+06
1,0.131313,1.18029e+06
1,0.136364,1.19339e+06
1,0.141414,1.20442e+06
1,0.146465,1.21488e+06
1,0.151515,1.18997e+06
1,0.156566,1.21031e+06
1,0.161616,1.21857e+06
1,0.166667,1.21363e+06
1,0.171717,1.19105e+06
1,0.176768,1.24703e+06
1,0.181818,1.25061e+06
1,0.186869,1.20055e+06
1,0.191919,1.24854e+06
1,0.19697,1.22737e+06
1,0.20202,1.24834e+06
1,0.207071,1.23969e+06
1,0.212121,1.24401e+06
1,0.217172,1.24831e+06
1,0.222222,1.29051e+06
1,0.227273,1.25862e+06
1,0.232323,1.24032e+06
1,0.237374,1.25646e+06
1,0.242424,1.24671e+06
1,0.247475,1.2427e+06
1,0.252525,1.26755e+06
1,0.257576,1.25371e+06
1,0.262626,1.24805e+06
1,0.267677,1.24939e+06
1,0.272727,1.24853e+06
1,0.277778,1.29446e+06
1,0.282828,1.25998e+06
1,0.287879,1.25302e+06
1,0.292929,1.24819e+06
1,0.29798,1.23854e+06
1,0.30303,1.20917e+06
1,0.308081,1.25031e+06
1,0.313131,1.27316e+06
1,0.318182,1.23344e+06
1,0.323232,1.26208e+06
1,0.328283,1.2593e+06
1,0.333333,1.26197e+06
1,0.338384,1.25777e+06
1,0.343434,1.24874e+06
1,0.348485,1.26642e+06
1,0.353535,1.26504e+06
1,0.358586,1.27612e+06
1,0.363636,1.29968e+06
1,0.368687,1.27741e+06
1,0.373737,1.27154e+06
1,0.378788,1.28205e+06
1,0.383838,1.25641e+06
1,0.388889,1.29956e+06
1,0.393939,1.27942e+06
1,0.39899,1.31571e+06
1,0.40404,1.30893e+06
1,0.409091,1.28035e+06
1,0.414141,1.28072e+06
1,0.419192,1.26656e+06
1,0.424242,1.27458e+06
1,0.429293,1.29981e+06
1,0.434343,1.26942e+06
1,0.439394,1.314e+06
1,0.444444,1.28931e+06
1,0.449495,1.30881e+06
1,0.454545,1.28448e+06
1,0.459596,1.27732e+06
1,0.464646,1.29892e+06
1,0.469697,1.2997e+06
1,0.474747,1.31194e+06
1,0.479798,1.30735e+06
1,0.484848,1.2987e+06
1,0.489899,1.27779e+06
1,0.494949,1.33143e+06
1,0.5,1.31755e+06
