omega,c,action,Count
0,0.242424,1,0.127226
0,0.242424,2,0.726809
0,0.242424,3,0.0188545
0,0.242424,4,0.127111
0,0.247475,1,0.148639
0,0.247475,2,0.688513
0,0.247475,3,0.0158766
0,0.247475,4,0.146972
0,0.252525,1,0.142171
0,0.252525,2,0.699366
0,0.252525,3,0.0150401
0,0.252525,4,0.143422
0,0.257576,1,0.138401
0,0.257576,2,0.702162
0,0.257576,3,0.0210364
0,0.257576,4,0.1384
0,0.262626,1,0.132143
0,0.262626,2,0.723608
0,0.262626,3,0.0131961
0,0.262626,4,0.131052
0,0.267677,1,0.152795
0,0.267677,2,0.680731
0,0.267677,3,0.0215086
0,0.267677,4,0.144966
0,0.272727,1,0.123999
0,0.272727,2,0.745007
0,0.272727,3,0.0111064
0,0.272727,4,0.119888
0,0.277778,1,0.126789
0,0.277778,2,0.722323
0,0.277778,3,0.0231821
0,0.277778,4,0.127706
0,0.282828,1,0.14576
0,0.282828,2,0.684658
0,0.282828,3,0.0192956
0,0.282828,4,0.150286
0,0.287879,1,0.135834
0,0.287879,2,0.708346
0,0.287879,3,0.0156262
0,0.287879,4,0.140193
0,0.292929,1,0.120719
0,0.292929,2,0.715939
0,0.292929,3,0.0351234
0,0.292929,4,0.128218
0,0.29798,1,0.141005
0,0.29798,2,0.709228
0,0.29798,3,0.0085257
0,0.29798,4,0.141241
0,0.30303,1,0.144523
0,0.30303,2,0.704722
0,0.30303,3,0.0062321
0,0.30303,4,0.144522
0,0.308081,1,0.127024
0,0.308081,2,0.737797
0,0.308081,3,0.0069037
0,0.308081,4,0.128276
0,0.313131,1,0.109166
0,0.313131,2,0.763534
0,0.313131,3,0.0140301
0,0.313131,4,0.11327
0,0.318182,1,0.140207
0,0.318182,2,0.718817
0,0.318182,3,0.0082681
0,0.318182,4,0.132708
0,0.323232,1,0.138083
0,0.323232,2,0.702387
0,0.323232,3,0.0176499
0,0.323232,4,0.141879
0,0.328283,1,0.144783
0,0.328283,2,0.687065
0,0.328283,3,0.02337
0,0.328283,4,0.144782
0,0.333333,1,0.148428
0,0.333333,2,0.688105
0,0.333333,3,0.0119443
0,0.333333,4,0.151523
0,0.338384,1,0.105928
0,0.338384,2,0.774396
0,0.338384,3,0.0120518
0,0.338384,4,0.107624
0,0.343434,1,0.137385
0,0.343434,2,0.6953
0,0.343434,3,0.0313607
0,0.343434,4,0.135955
