omega,c,cs
1,0.0656566,0.327314
1,0.0707071,0.325602
1,0.0757576,0.330149
1,0.0808081,0.324518
1,0.0858586,0.326736
1,0.0909091,0.321837
1,0.0959596,0.328576
1,0.10101,0.322954
1,0.106061,0.327467
1,0.111111,0.31818
1,0.116162,0.322898
1,0.121212,0.32273
1,0.126263,0.319814
1,0.131313,0.315622
1,0.136364,0.323448
1,0.141414,0.321722
1,0.146465,0.318758
1,0.151515,0.320824
1,0.156566,0.32397
1,0.161616,0.322056
1,0.166667,0.321659
1,0.171717,0.322309
1,0.176768,0.325567
1,0.181818,0.320964
1,0.186869,0.316063
1,0.191919,0.323402
1,0.19697,0.318733
1,0.20202,0.322127
1,0.207071,0.320756
1,0.212121,0.31942
1,0.217172,0.323648
1,0.222222,0.32297
1,0.227273,0.320754
1,0.232323,0.320962
1,0.237374,0.321683
1,0.242424,0.321212
1,0.247475,0.322021
1,0.252525,0.321277
1,0.257576,0.318317
1,0.262626,0.315739
1,0.267677,0.31981
1,0.272727,0.316163
1,0.277778,0.318292
1,0.282828,0.313782
1,0.287879,0.318221
1,0.292929,0.315321
1,0.29798,0.315683
1,0.30303,0.313348
1,0.308081,0.31811
1,0.313131,0.316865
1,0.318182,0.311197
1,0.323232,0.31546
1,0.328283,0.311713
1,0.333333,0.314063
1,0.338384,0.311121
1,0.343434,0.304861
1,0.348485,0.30838
1,0.353535,0.310814
1,0.358586,0.309519
1,0.363636,0.312543
1,0.368687,0.308118
1,0.373737,0.310155
1,0.378788,0.310616
1,0.383838,0.307576
1,0.388889,0.30735
1,0.393939,0.305776
1,0.39899,0.307398
1,0.40404,0.307404
1,0.409091,0.309279
1,0.414141,0.303958
1,0.419192,0.307334
1,0.424242,0.307493
1,0.429293,0.306539
1,0.434343,0.306496
1,0.439394,0.309635
1,0.444444,0.309737
1,0.449495,0.304824
1,0.454545,0.305884
1,0.459596,0.305794
1,0.464646,0.303654
1,0.469697,0.302341
1,0.474747,0.303991
1,0.479798,0.300502
1,0.484848,0.30628
1,0.489899,0.301422
1,0.494949,0.300218
1,0.5,0.30124
