omega,c,firm,demand
0,0.494949,2,0.357456
0,0.5,1,0.353394
0,0.5,2,0.35681
0.8,0,1,0.390465
0.8,0,2,0.39272
0.8,0.00505051,1,0.392378
0.8,0.00505051,2,0.390929
0.8,0.010101,1,0.390271
0.8,0.010101,2,0.391478
0.8,0.0151515,1,0.3937
0.8,0.0151515,2,0.386636
0.8,0.020202,1,0.391132
0.8,0.020202,2,0.38687
0.8,0.0252525,1,0.38911
0.8,0.0252525,2,0.390099
0.8,0.030303,1,0.39034
0.8,0.030303,2,0.390183
0.8,0.0353535,1,0.386835
0.8,0.0353535,2,0.390705
0.8,0.040404,1,0.392146
0.8,0.040404,2,0.383698
0.8,0.0454545,1,0.390035
0.8,0.0454545,2,0.392282
0.8,0.0505051,1,0.381835
0.8,0.0505051,2,0.394099
0.8,0.0555556,1,0.387821
0.8,0.0555556,2,0.38764
0.8,0.0606061,1,0.384116
0.8,0.0606061,2,0.39204
0.8,0.0656566,1,0.392318
0.8,0.0656566,2,0.383073
0.8,0.0707071,1,0.381503
0.8,0.0707071,2,0.392057
0.8,0.0757576,1,0.386089
0.8,0.0757576,2,0.388376
0.8,0.0808081,1,0.386744
0.8,0.0808081,2,0.387446
0.8,0.0858586,1,0.384614
0.8,0.0858586,2,0.387919
0.8,0.0909091,1,0.383749
0.8,0.0909091,2,0.384054
0.8,0.0959596,1,0.387788
0.8,0.0959596,2,0.382255
0.8,0.10101,1,0.392574
0.8,0.10101,2,0.379788
0.8,0.106061,1,0.382117
0.8,0.106061,2,0.386985
0.8,0.111111,1,0.383174
0.8,0.111111,2,0.388102
0.8,0.116162,1,0.382787
0.8,0.116162,2,0.386772
0.8,0.121212,1,0.391367
0.8,0.121212,2,0.376453
0.8,0.126263,1,0.382965
0.8,0.126263,2,0.390397
0.8,0.131313,1,0.384627
0.8,0.131313,2,0.385504
0.8,0.136364,1,0.381289
0.8,0.136364,2,0.383804
0.8,0.141414,1,0.379633
0.8,0.141414,2,0.385595
0.8,0.146465,1,0.38458
0.8,0.146465,2,0.382226
0.8,0.151515,1,0.377801
0.8,0.151515,2,0.38305
0.8,0.156566,1,0.387952
0.8,0.156566,2,0.376391
0.8,0.161616,1,0.385012
0.8,0.161616,2,0.377283
0.8,0.166667,1,0.388352
0.8,0.166667,2,0.374488
0.8,0.171717,1,0.378404
0.8,0.171717,2,0.383464
0.8,0.176768,1,0.382609
0.8,0.176768,2,0.377855
0.8,0.181818,1,0.377529
0.8,0.181818,2,0.380346
0.8,0.186869,1,0.379779
0.8,0.186869,2,0.37888
0.8,0.191919,1,0.377544
0.8,0.191919,2,0.379891
0.8,0.19697,1,0.381194
0.8,0.19697,2,0.376696
0.8,0.20202,1,0.375526
0.8,0.20202,2,0.380858
0.8,0.207071,1,0.379217
0.8,0.207071,2,0.375628
0.8,0.212121,1,0.376338
0.8,0.212121,2,0.379843
0.8,0.217172,1,0.380136
0.8,0.217172,2,0.374304
0.8,0.222222,1,0.377195
0.8,0.222222,2,0.380317
0.8,0.227273,1,0.375047
0.8,0.227273,2,0.379127
0.8,0.232323,1,0.377576
0.8,0.232323,2,0.374687
0.8,0.237374,1,0.38089
0.8,0.237374,2,0.371526
0.8,0.242424,1,0.372295
0.8,0.242424,2,0.377239
0.8,0.247475,1,0.374857
0.8,0.247475,2,0.374114
0.8,0.252525,1,0.375998
0.8,0.252525,2,0.371721
0.8,0.257576,1,0.368892
0.8,0.257576,2,0.375332
0.8,0.262626,1,0.374516
0.8,0.262626,2,0.371867
0.8,0.267677,1,0.372481
0.8,0.267677,2,0.371904
0.8,0.272727,1,0.373756
0.8,0.272727,2,0.371585
0.8,0.277778,1,0.367488
0.8,0.277778,2,0.375919
