omega,alpha,beta,t
0.8,0.05,5e-06,2.16224e+06
0.8,0.05,5.13514e-06,2.12129e+06
0.8,0.05,5.27027e-06,2.0074e+06
0.8,0.05,5.40541e-06,2.00027e+06
0.8,0.05,5.54054e-06,1.98272e+06
0.8,0.05,5.67568e-06,1.95366e+06
0.8,0.05,5.81081e-06,1.92555e+06
0.8,0.05,5.94595e-06,1.86701e+06
0.8,0.05,6.08108e-06,1.86459e+06
0.8,0.05,6.21622e-06,1.77719e+06
0.8,0.05,6.35135e-06,1.69962e+06
0.8,0.05,6.48649e-06,1.74705e+06
0.8,0.05,6.62162e-06,1.6431e+06
0.8,0.05,6.75676e-06,1.65038e+06
0.8,0.05,6.89189e-06,1.6047e+06
0.8,0.05,7.02703e-06,1.57059e+06
0.8,0.05,7.16216e-06,1.55145e+06
0.8,0.05,7.2973e-06,1.50181e+06
0.8,0.05,7.43243e-06,1.47555e+06
0.8,0.05,7.56757e-06,1.51867e+06
0.8,0.05,7.7027e-06,1.43762e+06
0.8,0.05,7.83784e-06,1.4331e+06
0.8,0.05,7.97297e-06,1.43197e+06
0.8,0.05,8.10811e-06,1.39855e+06
0.8,0.05,8.24324e-06,1.38232e+06
0.8,0.05,8.37838e-06,1.33394e+06
0.8,0.05,8.51351e-06,1.32726e+06
0.8,0.05,8.64865e-06,1.3559e+06
0.8,0.05,8.78378e-06,1.32869e+06
0.8,0.05,8.91892e-06,1.31449e+06
0.8,0.05,9.05405e-06,1.23104e+06
0.8,0.05,9.18919e-06,1.26996e+06
0.8,0.05,9.32432e-06,1.25305e+06
0.8,0.05,9.45946e-06,1.21694e+06
0.8,0.05,9.59459e-06,1.18284e+06
0.8,0.05,9.72973e-06,1.16314e+06
0.8,0.05,9.86486e-06,1.18833e+06
0.8,0.05,1e-05,1.14056e+06
0.8,0.05,1.01351e-05,1.11792e+06
0.8,0.05,1.02703e-05,1.14472e+06
0.8,0.05,1.04054e-05,1.11794e+06
0.8,0.05,1.05405e-05,1.08105e+06
0.8,0.05,1.06757e-05,1.09743e+06
0.8,0.05,1.08108e-05,1.09068e+06
0.8,0.05,1.09459e-05,1.09612e+06
0.8,0.05,1.10811e-05,1.05539e+06
0.8,0.05,1.12162e-05,1.06592e+06
0.8,0.05,1.13514e-05,1.08642e+06
0.8,0.05,1.14865e-05,1.08246e+06
0.8,0.05,1.16216e-05,996252
0.8,0.05,1.17568e-05,1.01408e+06
0.8,0.05,1.18919e-05,1.02395e+06
0.8,0.05,1.2027e-05,1.04306e+06
0.8,0.05,1.21622e-05,933277
0.8,0.05,1.22973e-05,940685
0.8,0.05,1.24324e-05,961082
0.8,0.05,1.25676e-05,969268
0.8,0.05,1.27027e-05,957959
0.8,0.05,1.28378e-05,963145
0.8,0.05,1.2973e-05,959002
0.8,0.05,1.31081e-05,949772
0.8,0.05,1.32432e-05,949105
0.8,0.05,1.33784e-05,918698
0.8,0.05,1.35135e-05,896508
0.8,0.05,1.36486e-05,899745
0.8,0.05,1.37838e-05,863772
0.8,0.05,1.39189e-05,919007
0.8,0.05,1.40541e-05,903272
0.8,0.05,1.41892e-05,885080
0.8,0.05,1.43243e-05,922820
0.8,0.05,1.44595e-05,847251
0.8,0.05,1.45946e-05,836423
0.8,0.05,1.47297e-05,875423
0.8,0.05,1.48649e-05,829284
0.8,0.05,1.5e-05,875342
0.8,0.0527027,5e-06,2.21574e+06
0.8,0.0527027,5.13514e-06,2.13328e+06
0.8,0.0527027,5.27027e-06,2.05831e+06
