omega,alpha,beta,t
0.8,0.0527027,5.40541e-06,2.03445e+06
0.8,0.0527027,5.54054e-06,1.97616e+06
0.8,0.0527027,5.67568e-06,1.95801e+06
0.8,0.0527027,5.81081e-06,1.87085e+06
0.8,0.0527027,5.94595e-06,1.88776e+06
0.8,0.0527027,6.08108e-06,1.79595e+06
0.8,0.0527027,6.21622e-06,1.81714e+06
0.8,0.0527027,6.35135e-06,1.75644e+06
0.8,0.0527027,6.48649e-06,1.73476e+06
0.8,0.0527027,6.62162e-06,1.71094e+06
0.8,0.0527027,6.75676e-06,1.71024e+06
0.8,0.0527027,6.89189e-06,1.64882e+06
0.8,0.0527027,7.02703e-06,1.63527e+06
0.8,0.0527027,7.16216e-06,1.55175e+06
0.8,0.0527027,7.2973e-06,1.52011e+06
0.8,0.0527027,7.43243e-06,1.54863e+06
0.8,0.0527027,7.56757e-06,1.54112e+06
0.8,0.0527027,7.7027e-06,1.46561e+06
0.8,0.0527027,7.83784e-06,1.48821e+06
0.8,0.0527027,7.97297e-06,1.47316e+06
0.8,0.0527027,8.10811e-06,1.42304e+06
0.8,0.0527027,8.24324e-06,1.43116e+06
0.8,0.0527027,8.37838e-06,1.34187e+06
0.8,0.0527027,8.51351e-06,1.36182e+06
0.8,0.0527027,8.64865e-06,1.379e+06
0.8,0.0527027,8.78378e-06,1.26982e+06
0.8,0.0527027,8.91892e-06,1.2646e+06
0.8,0.0527027,9.05405e-06,1.26543e+06
0.8,0.0527027,9.18919e-06,1.27543e+06
0.8,0.0527027,9.32432e-06,1.25909e+06
0.8,0.0527027,9.45946e-06,1.26039e+06
0.8,0.0527027,9.59459e-06,1.25635e+06
0.8,0.0527027,9.72973e-06,1.14171e+06
0.8,0.0527027,9.86486e-06,1.20866e+06
0.8,0.0527027,1e-05,1.11636e+06
0.8,0.0527027,1.01351e-05,1.17576e+06
0.8,0.0527027,1.02703e-05,1.11305e+06
0.8,0.0527027,1.04054e-05,1.18945e+06
0.8,0.0527027,1.05405e-05,1.07393e+06
0.8,0.0527027,1.06757e-05,1.09315e+06
0.8,0.0527027,1.08108e-05,1.10232e+06
0.8,0.0527027,1.09459e-05,1.08606e+06
0.8,0.0527027,1.10811e-05,1.04748e+06
0.8,0.0527027,1.12162e-05,1.04111e+06
0.8,0.0527027,1.13514e-05,1.07424e+06
0.8,0.0527027,1.14865e-05,1.0326e+06
0.8,0.0527027,1.16216e-05,1.05388e+06
0.8,0.0527027,1.17568e-05,1.05482e+06
0.8,0.0527027,1.18919e-05,985267
0.8,0.0527027,1.2027e-05,953023
0.8,0.0527027,1.21622e-05,980491
0.8,0.0527027,1.22973e-05,994386
0.8,0.0527027,1.24324e-05,976191
0.8,0.0527027,1.25676e-05,987776
0.8,0.0527027,1.27027e-05,960993
0.8,0.0527027,1.28378e-05,919931
0.8,0.0527027,1.2973e-05,946276
0.8,0.0527027,1.31081e-05,974236
0.8,0.0527027,1.32432e-05,947839
0.8,0.0527027,1.33784e-05,964106
0.8,0.0527027,1.35135e-05,952270
0.8,0.0527027,1.36486e-05,900901
0.8,0.0527027,1.37838e-05,872927
0.8,0.0527027,1.39189e-05,926989
0.8,0.0527027,1.40541e-05,876422
0.8,0.0527027,1.41892e-05,902745
0.8,0.0527027,1.43243e-05,870710
0.8,0.0527027,1.44595e-05,864223
0.8,0.0527027,1.45946e-05,910994
0.8,0.0527027,1.47297e-05,873195
0.8,0.0527027,1.48649e-05,821771
0.8,0.0527027,1.5e-05,849633
0.8,0.0554054,5e-06,2.19719e+06
0.8,0.0554054,5.13514e-06,2.15558e+06
0.8,0.0554054,5.27027e-06,2.11143e+06
0.8,0.0554054,5.40541e-06,2.0646e+06
0.8,0.0554054,5.54054e-06,1.9756e+06
0.8,0.0554054,5.67568e-06,1.93784e+06
0.8,0.0554054,5.81081e-06,1.96204e+06
0.8,0.0554054,5.94595e-06,1.85018e+06
0.8,0.0554054,6.08108e-06,1.85898e+06
0.8,0.0554054,6.21622e-06,1.80476e+06
0.8,0.0554054,6.35135e-06,1.75843e+06
0.8,0.0554054,6.48649e-06,1.72526e+06
0.8,0.0554054,6.62162e-06,1.743e+06
0.8,0.0554054,6.75676e-06,1.65099e+06
0.8,0.0554054,6.89189e-06,1.65959e+06
0.8,0.0554054,7.02703e-06,1.60248e+06
0.8,0.0554054,7.16216e-06,1.57862e+06
0.8,0.0554054,7.2973e-06,1.57948e+06
0.8,0.0554054,7.43243e-06,1.54421e+06
0.8,0.0554054,7.56757e-06,1.53569e+06
0.8,0.0554054,7.7027e-06,1.49225e+06
0.8,0.0554054,7.83784e-06,1.42154e+06
0.8,0.0554054,7.97297e-06,1.45312e+06
0.8,0.0554054,8.10811e-06,1.38838e+06
0.8,0.0554054,8.24324e-06,1.42955e+06
0.8,0.0554054,8.37838e-06,1.40047e+06
0.8,0.0554054,8.51351e-06,1.33504e+06
0.8,0.0554054,8.64865e-06,1.31972e+06
0.8,0.0554054,8.78378e-06,1.3127e+06
0.8,0.0554054,8.91892e-06,1.32341e+06
0.8,0.0554054,9.05405e-06,1.28472e+06
0.8,0.0554054,9.18919e-06,1.25505e+06
0.8,0.0554054,9.32432e-06,1.31538e+06
0.8,0.0554054,9.45946e-06,1.26079e+06
0.8,0.0554054,9.59459e-06,1.2026e+06
0.8,0.0554054,9.72973e-06,1.18522e+06
0.8,0.0554054,9.86486e-06,1.20864e+06
0.8,0.0554054,1e-05,1.1844e+06
0.8,0.0554054,1.01351e-05,1.13281e+06
0.8,0.0554054,1.02703e-05,1.16819e+06
0.8,0.0554054,1.04054e-05,1.18235e+06
0.8,0.0554054,1.05405e-05,1.11842e+06
0.8,0.0554054,1.06757e-05,1.14522e+06
0.8,0.0554054,1.08108e-05,1.0929e+06
0.8,0.0554054,1.09459e-05,1.0846e+06
0.8,0.0554054,1.10811e-05,1.03868e+06
0.8,0.0554054,1.12162e-05,1.0927e+06
0.8,0.0554054,1.13514e-05,1.06861e+06
0.8,0.0554054,1.14865e-05,1.05468e+06
0.8,0.0554054,1.16216e-05,1.05634e+06
0.8,0.0554054,1.17568e-05,1.0103e+06
0.8,0.0554054,1.18919e-05,994684
0.8,0.0554054,1.2027e-05,1.04535e+06
0.8,0.0554054,1.21622e-05,1.01143e+06
0.8,0.0554054,1.22973e-05,1.0193e+06
0.8,0.0554054,1.24324e-05,959400
0.8,0.0554054,1.25676e-05,961247
0.8,0.0554054,1.27027e-05,957436
0.8,0.0554054,1.28378e-05,978488
0.8,0.0554054,1.2973e-05,924601
0.8,0.0554054,1.31081e-05,932694
0.8,0.0554054,1.32432e-05,923914
0.8,0.0554054,1.33784e-05,943405
0.8,0.0554054,1.35135e-05,941081
0.8,0.0554054,1.36486e-05,901491
0.8,0.0554054,1.37838e-05,914716
0.8,0.0554054,1.39189e-05,911524
0.8,0.0554054,1.40541e-05,869247
0.8,0.0554054,1.41892e-05,881305
0.8,0.0554054,1.43243e-05,881457
0.8,0.0554054,1.44595e-05,883045
0.8,0.0554054,1.45946e-05,858254
0.8,0.0554054,1.47297e-05,877819
0.8,0.0554054,1.48649e-05,871923
0.8,0.0554054,1.5e-05,839086
0.8,0.0581081,5e-06,2.18658e+06
0.8,0.0581081,5.13514e-06,2.16549e+06
0.8,0.0581081,5.27027e-06,2.09484e+06
0.8,0.0581081,5.40541e-06,2.03108e+06
0.8,0.0581081,5.54054e-06,2.00755e+06
0.8,0.0581081,5.67568e-06,1.98004e+06
0.8,0.0581081,5.81081e-06,1.95618e+06
0.8,0.0581081,5.94595e-06,1.84508e+06
0.8,0.0581081,6.08108e-06,1.82886e+06
0.8,0.0581081,6.21622e-06,1.84088e+06
0.8,0.0581081,6.35135e-06,1.77196e+06
0.8,0.0581081,6.48649e-06,1.71664e+06
0.8,0.0581081,6.62162e-06,1.74152e+06
0.8,0.0581081,6.75676e-06,1.67391e+06
0.8,0.0581081,6.89189e-06,1.59899e+06
0.8,0.0581081,7.02703e-06,1.63488e+06
0.8,0.0581081,7.16216e-06,1.56573e+06
0.8,0.0581081,7.2973e-06,1.62355e+06
0.8,0.0581081,7.43243e-06,1.53448e+06
0.8,0.0581081,7.56757e-06,1.56134e+06
0.8,0.0581081,7.7027e-06,1.48499e+06
0.8,0.0581081,7.83784e-06,1.46867e+06
0.8,0.0581081,7.97297e-06,1.44322e+06
0.8,0.0581081,8.10811e-06,1.43446e+06
0.8,0.0581081,8.24324e-06,1.40703e+06
0.8,0.0581081,8.37838e-06,1.37768e+06
0.8,0.0581081,8.51351e-06,1.35068e+06
0.8,0.0581081,8.64865e-06,1.38052e+06
0.8,0.0581081,8.78378e-06,1.35027e+06
0.8,0.0581081,8.91892e-06,1.29693e+06
0.8,0.0581081,9.05405e-06,1.32528e+06
0.8,0.0581081,9.18919e-06,1.2926e+06
0.8,0.0581081,9.32432e-06,1.29599e+06
0.8,0.0581081,9.45946e-06,1.24451e+06
0.8,0.0581081,9.59459e-06,1.19958e+06
0.8,0.0581081,9.72973e-06,1.20446e+06
0.8,0.0581081,9.86486e-06,1.20269e+06
0.8,0.0581081,1e-05,1.20204e+06
0.8,0.0581081,1.01351e-05,1.17351e+06
0.8,0.0581081,1.02703e-05,1.16778e+06
0.8,0.0581081,1.04054e-05,1.17651e+06
0.8,0.0581081,1.05405e-05,1.14515e+06
0.8,0.0581081,1.06757e-05,1.0891e+06
0.8,0.0581081,1.08108e-05,1.03764e+06
0.8,0.0581081,1.09459e-05,1.09794e+06
0.8,0.0581081,1.10811e-05,1.06729e+06
0.8,0.0581081,1.12162e-05,1.08743e+06
0.8,0.0581081,1.13514e-05,1.0221e+06
0.8,0.0581081,1.14865e-05,1.05268e+06
0.8,0.0581081,1.16216e-05,1.0325e+06
0.8,0.0581081,1.17568e-05,1.03253e+06
0.8,0.0581081,1.18919e-05,1.05605e+06
0.8,0.0581081,1.2027e-05,1.02239e+06
0.8,0.0581081,1.21622e-05,998073
0.8,0.0581081,1.22973e-05,925863
0.8,0.0581081,1.24324e-05,940082
0.8,0.0581081,1.25676e-05,968836
0.8,0.0581081,1.27027e-05,985810
0.8,0.0581081,1.28378e-05,965791
0.8,0.0581081,1.2973e-05,963799
0.8,0.0581081,1.31081e-05,966422
0.8,0.0581081,1.32432e-05,936210
0.8,0.0581081,1.33784e-05,927790
0.8,0.0581081,1.35135e-05,937410
0.8,0.0581081,1.36486e-05,948970
0.8,0.0581081,1.37838e-05,906708
0.8,0.0581081,1.39189e-05,907910
0.8,0.0581081,1.40541e-05,912203
0.8,0.0581081,1.41892e-05,864908
0.8,0.0581081,1.43243e-05,886953
0.8,0.0581081,1.44595e-05,853339
0.8,0.0581081,1.45946e-05,868349
0.8,0.0581081,1.47297e-05,848662
0.8,0.0581081,1.48649e-05,841118
0.8,0.0581081,1.5e-05,841606
0.8,0.0608108,5e-06,2.20785e+06
0.8,0.0608108,5.13514e-06,2.16951e+06
0.8,0.0608108,5.27027e-06,2.08804e+06
0.8,0.0608108,5.40541e-06,2.0583e+06
0.8,0.0608108,5.54054e-06,2.01176e+06
0.8,0.0608108,5.67568e-06,1.99919e+06
0.8,0.0608108,5.81081e-06,1.90846e+06
0.8,0.0608108,5.94595e-06,1.93683e+06
0.8,0.0608108,6.08108e-06,1.85689e+06
0.8,0.0608108,6.21622e-06,1.85466e+06
0.8,0.0608108,6.35135e-06,1.7764e+06
0.8,0.0608108,6.48649e-06,1.7447e+06
0.8,0.0608108,6.62162e-06,1.72908e+06
0.8,0.0608108,6.75676e-06,1.67905e+06
0.8,0.0608108,6.89189e-06,1.65773e+06
0.8,0.0608108,7.02703e-06,1.66508e+06
0.8,0.0608108,7.16216e-06,1.56151e+06
0.8,0.0608108,7.2973e-06,1.55852e+06
0.8,0.0608108,7.43243e-06,1.60518e+06
0.8,0.0608108,7.56757e-06,1.54527e+06
0.8,0.0608108,7.7027e-06,1.50329e+06
0.8,0.0608108,7.83784e-06,1.46715e+06
0.8,0.0608108,7.97297e-06,1.46295e+06
0.8,0.0608108,8.10811e-06,1.4464e+06
0.8,0.0608108,8.24324e-06,1.38637e+06
0.8,0.0608108,8.37838e-06,1.41942e+06
0.8,0.0608108,8.51351e-06,1.3765e+06
0.8,0.0608108,8.64865e-06,1.3434e+06
0.8,0.0608108,8.78378e-06,1.32832e+06
0.8,0.0608108,8.91892e-06,1.33426e+06
0.8,0.0608108,9.05405e-06,1.30447e+06
0.8,0.0608108,9.18919e-06,1.29752e+06
0.8,0.0608108,9.32432e-06,1.28465e+06
0.8,0.0608108,9.45946e-06,1.21861e+06
0.8,0.0608108,9.59459e-06,1.22554e+06
0.8,0.0608108,9.72973e-06,1.25119e+06
0.8,0.0608108,9.86486e-06,1.20647e+06
0.8,0.0608108,1e-05,1.1633e+06
0.8,0.0608108,1.01351e-05,1.17764e+06
0.8,0.0608108,1.02703e-05,1.14276e+06
0.8,0.0608108,1.04054e-05,1.16354e+06
0.8,0.0608108,1.05405e-05,1.13741e+06
0.8,0.0608108,1.06757e-05,1.13537e+06
0.8,0.0608108,1.08108e-05,1.1381e+06
0.8,0.0608108,1.09459e-05,1.13108e+06
0.8,0.0608108,1.10811e-05,1.09553e+06
0.8,0.0608108,1.12162e-05,1.05535e+06
0.8,0.0608108,1.13514e-05,1.06536e+06
0.8,0.0608108,1.14865e-05,1.05482e+06
0.8,0.0608108,1.16216e-05,1.06967e+06
0.8,0.0608108,1.17568e-05,1.08288e+06
0.8,0.0608108,1.18919e-05,1.03132e+06
0.8,0.0608108,1.2027e-05,1.023e+06
0.8,0.0608108,1.21622e-05,1.01725e+06
0.8,0.0608108,1.22973e-05,1.02381e+06
0.8,0.0608108,1.24324e-05,1.0451e+06
0.8,0.0608108,1.25676e-05,973367
0.8,0.0608108,1.27027e-05,977037
0.8,0.0608108,1.28378e-05,951345
0.8,0.0608108,1.2973e-05,922289
0.8,0.0608108,1.31081e-05,964672
0.8,0.0608108,1.32432e-05,938092
0.8,0.0608108,1.33784e-05,939453
0.8,0.0608108,1.35135e-05,877606
0.8,0.0608108,1.36486e-05,888997
0.8,0.0608108,1.37838e-05,902302
0.8,0.0608108,1.39189e-05,897009
0.8,0.0608108,1.40541e-05,911188
0.8,0.0608108,1.41892e-05,941146
0.8,0.0608108,1.43243e-05,918621
0.8,0.0608108,1.44595e-05,898189
0.8,0.0608108,1.45946e-05,888310
0.8,0.0608108,1.47297e-05,889736
0.8,0.0608108,1.48649e-05,864674
0.8,0.0608108,1.5e-05,873630
0.8,0.0635135,5e-06,2.21723e+06
0.8,0.0635135,5.13514e-06,2.12739e+06
0.8,0.0635135,5.27027e-06,2.08664e+06
0.8,0.0635135,5.40541e-06,2.06818e+06
0.8,0.0635135,5.54054e-06,2.02547e+06
0.8,0.0635135,5.67568e-06,1.98988e+06
0.8,0.0635135,5.81081e-06,1.94984e+06
0.8,0.0635135,5.94595e-06,1.92459e+06
0.8,0.0635135,6.08108e-06,1.85848e+06
0.8,0.0635135,6.21622e-06,1.81728e+06
0.8,0.0635135,6.35135e-06,1.81017e+06
0.8,0.0635135,6.48649e-06,1.73667e+06
0.8,0.0635135,6.62162e-06,1.73291e+06
0.8,0.0635135,6.75676e-06,1.68902e+06
0.8,0.0635135,6.89189e-06,1.66089e+06
0.8,0.0635135,7.02703e-06,1.67936e+06
0.8,0.0635135,7.16216e-06,1.61656e+06
0.8,0.0635135,7.2973e-06,1.59314e+06
0.8,0.0635135,7.43243e-06,1.58025e+06
0.8,0.0635135,7.56757e-06,1.50384e+06
0.8,0.0635135,7.7027e-06,1.52512e+06
0.8,0.0635135,7.83784e-06,1.50465e+06
0.8,0.0635135,7.97297e-06,1.46711e+06
0.8,0.0635135,8.10811e-06,1.4331e+06
0.8,0.0635135,8.24324e-06,1.4455e+06
0.8,0.0635135,8.37838e-06,1.44602e+06
0.8,0.0635135,8.51351e-06,1.3773e+06
0.8,0.0635135,8.64865e-06,1.38586e+06
0.8,0.0635135,8.78378e-06,1.38958e+06
0.8,0.0635135,8.91892e-06,1.31041e+06
0.8,0.0635135,9.05405e-06,1.30333e+06
0.8,0.0635135,9.18919e-06,1.33145e+06
0.8,0.0635135,9.32432e-06,1.27573e+06
0.8,0.0635135,9.45946e-06,1.23934e+06
0.8,0.0635135,9.59459e-06,1.26363e+06
0.8,0.0635135,9.72973e-06,1.25755e+06
0.8,0.0635135,9.86486e-06,1.25808e+06
0.8,0.0635135,1e-05,1.21659e+06
0.8,0.0635135,1.01351e-05,1.19609e+06
0.8,0.0635135,1.02703e-05,1.20739e+06
0.8,0.0635135,1.04054e-05,1.15319e+06
0.8,0.0635135,1.05405e-05,1.13759e+06
0.8,0.0635135,1.06757e-05,1.11815e+06
0.8,0.0635135,1.08108e-05,1.10685e+06
0.8,0.0635135,1.09459e-05,1.10569e+06
0.8,0.0635135,1.10811e-05,1.0962e+06
0.8,0.0635135,1.12162e-05,1.09131e+06
0.8,0.0635135,1.13514e-05,1.05177e+06
0.8,0.0635135,1.14865e-05,1.05022e+06
0.8,0.0635135,1.16216e-05,1.09005e+06
0.8,0.0635135,1.17568e-05,1.04326e+06
0.8,0.0635135,1.18919e-05,1.0411e+06
0.8,0.0635135,1.2027e-05,1.0454e+06
0.8,0.0635135,1.21622e-05,1.002e+06
0.8,0.0635135,1.22973e-05,1.0105e+06
0.8,0.0635135,1.24324e-05,1.02637e+06
0.8,0.0635135,1.25676e-05,987663
0.8,0.0635135,1.27027e-05,999973
0.8,0.0635135,1.28378e-05,957562
0.8,0.0635135,1.2973e-05,966873
0.8,0.0635135,1.31081e-05,944766
0.8,0.0635135,1.32432e-05,982927
0.8,0.0635135,1.33784e-05,958114
0.8,0.0635135,1.35135e-05,941601
0.8,0.0635135,1.36486e-05,950802
0.8,0.0635135,1.37838e-05,909209
0.8,0.0635135,1.39189e-05,940372
0.8,0.0635135,1.40541e-05,882466
0.8,0.0635135,1.41892e-05,871269
0.8,0.0635135,1.43243e-05,891647
0.8,0.0635135,1.44595e-05,905217
0.8,0.0635135,1.45946e-05,923813
0.8,0.0635135,1.47297e-05,907027
0.8,0.0635135,1.48649e-05,866759
0.8,0.0635135,1.5e-05,866283
0.8,0.0662162,5e-06,2.22789e+06
0.8,0.0662162,5.13514e-06,2.14917e+06
0.8,0.0662162,5.27027e-06,2.11085e+06
0.8,0.0662162,5.40541e-06,2.07103e+06
0.8,0.0662162,5.54054e-06,2.01348e+06
0.8,0.0662162,5.67568e-06,1.99619e+06
0.8,0.0662162,5.81081e-06,1.96319e+06
0.8,0.0662162,5.94595e-06,1.89088e+06
0.8,0.0662162,6.08108e-06,1.88976e+06
0.8,0.0662162,6.21622e-06,1.85675e+06
0.8,0.0662162,6.35135e-06,1.76859e+06
0.8,0.0662162,6.48649e-06,1.78402e+06
0.8,0.0662162,6.62162e-06,1.7342e+06
0.8,0.0662162,6.75676e-06,1.71556e+06
0.8,0.0662162,6.89189e-06,1.7248e+06
0.8,0.0662162,7.02703e-06,1.66679e+06
0.8,0.0662162,7.16216e-06,1.616e+06
0.8,0.0662162,7.2973e-06,1.6129e+06
0.8,0.0662162,7.43243e-06,1.54528e+06
0.8,0.0662162,7.56757e-06,1.5605e+06
0.8,0.0662162,7.7027e-06,1.53264e+06
0.8,0.0662162,7.83784e-06,1.48333e+06
0.8,0.0662162,7.97297e-06,1.47904e+06
0.8,0.0662162,8.10811e-06,1.47522e+06
0.8,0.0662162,8.24324e-06,1.4325e+06
0.8,0.0662162,8.37838e-06,1.43382e+06
0.8,0.0662162,8.51351e-06,1.41786e+06
0.8,0.0662162,8.64865e-06,1.39498e+06
0.8,0.0662162,8.78378e-06,1.3594e+06
0.8,0.0662162,8.91892e-06,1.33426e+06
0.8,0.0662162,9.05405e-06,1.3336e+06
0.8,0.0662162,9.18919e-06,1.276e+06
0.8,0.0662162,9.32432e-06,1.36724e+06
0.8,0.0662162,9.45946e-06,1.24642e+06
0.8,0.0662162,9.59459e-06,1.26211e+06
0.8,0.0662162,9.72973e-06,1.24776e+06
0.8,0.0662162,9.86486e-06,1.23572e+06
0.8,0.0662162,1e-05,1.19874e+06
0.8,0.0662162,1.01351e-05,1.23364e+06
0.8,0.0662162,1.02703e-05,1.19483e+06
0.8,0.0662162,1.04054e-05,1.20544e+06
0.8,0.0662162,1.05405e-05,1.14804e+06
0.8,0.0662162,1.06757e-05,1.154e+06
0.8,0.0662162,1.08108e-05,1.15752e+06
0.8,0.0662162,1.09459e-05,1.10326e+06
0.8,0.0662162,1.10811e-05,1.12219e+06
0.8,0.0662162,1.12162e-05,1.11655e+06
0.8,0.0662162,1.13514e-05,1.08209e+06
0.8,0.0662162,1.14865e-05,1.11013e+06
0.8,0.0662162,1.16216e-05,1.02648e+06
0.8,0.0662162,1.17568e-05,1.0773e+06
0.8,0.0662162,1.18919e-05,1.04491e+06
0.8,0.0662162,1.2027e-05,1.05499e+06
0.8,0.0662162,1.21622e-05,987188
0.8,0.0662162,1.22973e-05,1.02544e+06
0.8,0.0662162,1.24324e-05,1.01204e+06
0.8,0.0662162,1.25676e-05,974256
0.8,0.0662162,1.27027e-05,1.01117e+06
0.8,0.0662162,1.28378e-05,974346
0.8,0.0662162,1.2973e-05,983955
0.8,0.0662162,1.31081e-05,991966
0.8,0.0662162,1.32432e-05,977819
0.8,0.0662162,1.33784e-05,974008
0.8,0.0662162,1.35135e-05,897980
0.8,0.0662162,1.36486e-05,912612
0.8,0.0662162,1.37838e-05,928342
0.8,0.0662162,1.39189e-05,912135
0.8,0.0662162,1.40541e-05,890056
0.8,0.0662162,1.41892e-05,921349
0.8,0.0662162,1.43243e-05,972295
0.8,0.0662162,1.44595e-05,867806
0.8,0.0662162,1.45946e-05,879685
0.8,0.0662162,1.47297e-05,889634
0.8,0.0662162,1.48649e-05,906151
0.8,0.0662162,1.5e-05,824436
0.8,0.0689189,5e-06,2.23268e+06
0.8,0.0689189,5.13514e-06,2.18992e+06
0.8,0.0689189,5.27027e-06,2.07622e+06
0.8,0.0689189,5.40541e-06,2.12508e+06
0.8,0.0689189,5.54054e-06,2.01126e+06
0.8,0.0689189,5.67568e-06,2.03736e+06
0.8,0.0689189,5.81081e-06,1.97059e+06
0.8,0.0689189,5.94595e-06,1.88996e+06
0.8,0.0689189,6.08108e-06,1.84649e+06
0.8,0.0689189,6.21622e-06,1.86628e+06
0.8,0.0689189,6.35135e-06,1.76769e+06
0.8,0.0689189,6.48649e-06,1.80958e+06
0.8,0.0689189,6.62162e-06,1.75817e+06
0.8,0.0689189,6.75676e-06,1.71084e+06
0.8,0.0689189,6.89189e-06,1.69334e+06
0.8,0.0689189,7.02703e-06,1.62258e+06
0.8,0.0689189,7.16216e-06,1.66389e+06
0.8,0.0689189,7.2973e-06,1.62992e+06
0.8,0.0689189,7.43243e-06,1.6115e+06
0.8,0.0689189,7.56757e-06,1.56592e+06
0.8,0.0689189,7.7027e-06,1.53735e+06
0.8,0.0689189,7.83784e-06,1.47824e+06
0.8,0.0689189,7.97297e-06,1.51522e+06
0.8,0.0689189,8.10811e-06,1.51095e+06
0.8,0.0689189,8.24324e-06,1.48527e+06
0.8,0.0689189,8.37838e-06,1.40261e+06
0.8,0.0689189,8.51351e-06,1.37975e+06
0.8,0.0689189,8.64865e-06,1.41357e+06
0.8,0.0689189,8.78378e-06,1.36406e+06
0.8,0.0689189,8.91892e-06,1.35611e+06
0.8,0.0689189,9.05405e-06,1.32279e+06
0.8,0.0689189,9.18919e-06,1.325e+06
0.8,0.0689189,9.32432e-06,1.31555e+06
0.8,0.0689189,9.45946e-06,1.25476e+06
0.8,0.0689189,9.59459e-06,1.27415e+06
0.8,0.0689189,9.72973e-06,1.22499e+06
0.8,0.0689189,9.86486e-06,1.22071e+06
0.8,0.0689189,1e-05,1.24788e+06
0.8,0.0689189,1.01351e-05,1.21492e+06
0.8,0.0689189,1.02703e-05,1.18525e+06
0.8,0.0689189,1.04054e-05,1.18592e+06
0.8,0.0689189,1.05405e-05,1.1821e+06
0.8,0.0689189,1.06757e-05,1.13445e+06
0.8,0.0689189,1.08108e-05,1.17419e+06
0.8,0.0689189,1.09459e-05,1.11675e+06
0.8,0.0689189,1.10811e-05,1.14056e+06
0.8,0.0689189,1.12162e-05,1.09528e+06
0.8,0.0689189,1.13514e-05,1.10349e+06
