omega,alpha,beta,cs
0.8,0.0527027,5.81081e-06,0.334993
0.8,0.0527027,5.94595e-06,0.334594
0.8,0.0527027,6.08108e-06,0.330606
0.8,0.0527027,6.21622e-06,0.332329
0.8,0.0527027,6.35135e-06,0.333143
0.8,0.0527027,6.48649e-06,0.330619
0.8,0.0527027,6.62162e-06,0.331248
0.8,0.0527027,6.75676e-06,0.331637
0.8,0.0527027,6.89189e-06,0.330413
0.8,0.0527027,7.02703e-06,0.332078
0.8,0.0527027,7.16216e-06,0.332156
0.8,0.0527027,7.2973e-06,0.331118
0.8,0.0527027,7.43243e-06,0.330249
0.8,0.0527027,7.56757e-06,0.332534
0.8,0.0527027,7.7027e-06,0.332875
0.8,0.0527027,7.83784e-06,0.332692
0.8,0.0527027,7.97297e-06,0.335408
0.8,0.0527027,8.10811e-06,0.330967
0.8,0.0527027,8.24324e-06,0.335986
0.8,0.0527027,8.37838e-06,0.329609
0.8,0.0527027,8.51351e-06,0.328091
0.8,0.0527027,8.64865e-06,0.330782
0.8,0.0527027,8.78378e-06,0.333713
0.8,0.0527027,8.91892e-06,0.331751
0.8,0.0527027,9.05405e-06,0.329142
0.8,0.0527027,9.18919e-06,0.32978
0.8,0.0527027,9.32432e-06,0.329355
0.8,0.0527027,9.45946e-06,0.336675
0.8,0.0527027,9.59459e-06,0.333239
0.8,0.0527027,9.72973e-06,0.330655
0.8,0.0527027,9.86486e-06,0.329029
0.8,0.0527027,1e-05,0.328246
0.8,0.0527027,1.01351e-05,0.332055
0.8,0.0527027,1.02703e-05,0.327755
0.8,0.0527027,1.04054e-05,0.329436
0.8,0.0527027,1.05405e-05,0.328654
0.8,0.0527027,1.06757e-05,0.332479
0.8,0.0527027,1.08108e-05,0.330238
0.8,0.0527027,1.09459e-05,0.331431
0.8,0.0527027,1.10811e-05,0.328321
0.8,0.0527027,1.12162e-05,0.331043
0.8,0.0527027,1.13514e-05,0.327819
0.8,0.0527027,1.14865e-05,0.325812
0.8,0.0527027,1.16216e-05,0.327774
0.8,0.0527027,1.17568e-05,0.32973
0.8,0.0527027,1.18919e-05,0.332191
0.8,0.0527027,1.2027e-05,0.324154
0.8,0.0527027,1.21622e-05,0.330122
0.8,0.0527027,1.22973e-05,0.328276
0.8,0.0527027,1.24324e-05,0.329153
0.8,0.0527027,1.25676e-05,0.328207
0.8,0.0527027,1.27027e-05,0.332147
0.8,0.0527027,1.28378e-05,0.33084
0.8,0.0527027,1.2973e-05,0.326286
0.8,0.0527027,1.31081e-05,0.324532
0.8,0.0527027,1.32432e-05,0.327776
0.8,0.0527027,1.33784e-05,0.329138
0.8,0.0527027,1.35135e-05,0.328777
0.8,0.0527027,1.36486e-05,0.328317
0.8,0.0527027,1.37838e-05,0.326065
0.8,0.0527027,1.39189e-05,0.327168
0.8,0.0527027,1.40541e-05,0.327373
0.8,0.0527027,1.41892e-05,0.327907
0.8,0.0527027,1.43243e-05,0.326604
0.8,0.0527027,1.44595e-05,0.326132
0.8,0.0527027,1.45946e-05,0.326968
0.8,0.0527027,1.47297e-05,0.326422
0.8,0.0527027,1.48649e-05,0.324112
0.8,0.0527027,1.5e-05,0.324532
0.8,0.0554054,5e-06,0.329278
0.8,0.0554054,5.13514e-06,0.3305
0.8,0.0554054,5.27027e-06,0.333069
0.8,0.0554054,5.40541e-06,0.329469
0.8,0.0554054,5.54054e-06,0.331081
0.8,0.0554054,5.67568e-06,0.331728
0.8,0.0554054,5.81081e-06,0.333624
0.8,0.0554054,5.94595e-06,0.33318
0.8,0.0554054,6.08108e-06,0.331633
0.8,0.0554054,6.21622e-06,0.330705
0.8,0.0554054,6.35135e-06,0.333431
0.8,0.0554054,6.48649e-06,0.327
0.8,0.0554054,6.62162e-06,0.333782
0.8,0.0554054,6.75676e-06,0.330229
0.8,0.0554054,6.89189e-06,0.333703
0.8,0.0554054,7.02703e-06,0.332342
0.8,0.0554054,7.16216e-06,0.334338
0.8,0.0554054,7.2973e-06,0.331849
0.8,0.0554054,7.43243e-06,0.330675
0.8,0.0554054,7.56757e-06,0.330194
0.8,0.0554054,7.7027e-06,0.334746
0.8,0.0554054,7.83784e-06,0.33051
0.8,0.0554054,7.97297e-06,0.332057
0.8,0.0554054,8.10811e-06,0.3312
0.8,0.0554054,8.24324e-06,0.331769
0.8,0.0554054,8.37838e-06,0.33265
0.8,0.0554054,8.51351e-06,0.331147
0.8,0.0554054,8.64865e-06,0.33067
0.8,0.0554054,8.78378e-06,0.33406
0.8,0.0554054,8.91892e-06,0.333211
0.8,0.0554054,9.05405e-06,0.33349
0.8,0.0554054,9.18919e-06,0.334329
0.8,0.0554054,9.32432e-06,0.333664
0.8,0.0554054,9.45946e-06,0.333735
0.8,0.0554054,9.59459e-06,0.331189
0.8,0.0554054,9.72973e-06,0.330534
0.8,0.0554054,9.86486e-06,0.330621
0.8,0.0554054,1e-05,0.332849
0.8,0.0554054,1.01351e-05,0.330119
0.8,0.0554054,1.02703e-05,0.331455
0.8,0.0554054,1.04054e-05,0.332847
0.8,0.0554054,1.05405e-05,0.327441
0.8,0.0554054,1.06757e-05,0.331418
0.8,0.0554054,1.08108e-05,0.331087
0.8,0.0554054,1.09459e-05,0.328717
0.8,0.0554054,1.10811e-05,0.329515
0.8,0.0554054,1.12162e-05,0.326897
0.8,0.0554054,1.13514e-05,0.329143
0.8,0.0554054,1.14865e-05,0.329147
0.8,0.0554054,1.16216e-05,0.332474
0.8,0.0554054,1.17568e-05,0.329071
0.8,0.0554054,1.18919e-05,0.331684
0.8,0.0554054,1.2027e-05,0.326772
0.8,0.0554054,1.21622e-05,0.327287
0.8,0.0554054,1.22973e-05,0.329439
0.8,0.0554054,1.24324e-05,0.329987
0.8,0.0554054,1.25676e-05,0.329395
0.8,0.0554054,1.27027e-05,0.328788
0.8,0.0554054,1.28378e-05,0.329582
0.8,0.0554054,1.2973e-05,0.331367
0.8,0.0554054,1.31081e-05,0.333143
0.8,0.0554054,1.32432e-05,0.32697
0.8,0.0554054,1.33784e-05,0.329576
0.8,0.0554054,1.35135e-05,0.32156
0.8,0.0554054,1.36486e-05,0.327157
0.8,0.0554054,1.37838e-05,0.327801
0.8,0.0554054,1.39189e-05,0.329478
0.8,0.0554054,1.40541e-05,0.327842
0.8,0.0554054,1.41892e-05,0.326209
0.8,0.0554054,1.43243e-05,0.327526
0.8,0.0554054,1.44595e-05,0.325281
0.8,0.0554054,1.45946e-05,0.329385
0.8,0.0554054,1.47297e-05,0.328047
0.8,0.0554054,1.48649e-05,0.326978
0.8,0.0554054,1.5e-05,0.325383
0.8,0.0581081,5e-06,0.332362
0.8,0.0581081,5.13514e-06,0.332408
0.8,0.0581081,5.27027e-06,0.331797
0.8,0.0581081,5.40541e-06,0.331054
0.8,0.0581081,5.54054e-06,0.332967
0.8,0.0581081,5.67568e-06,0.331744
0.8,0.0581081,5.81081e-06,0.332396
0.8,0.0581081,5.94595e-06,0.331386
0.8,0.0581081,6.08108e-06,0.330736
0.8,0.0581081,6.21622e-06,0.333602
0.8,0.0581081,6.35135e-06,0.334116
0.8,0.0581081,6.48649e-06,0.333325
0.8,0.0581081,6.62162e-06,0.336023
0.8,0.0581081,6.75676e-06,0.329471
0.8,0.0581081,6.89189e-06,0.334657
0.8,0.0581081,7.02703e-06,0.333364
0.8,0.0581081,7.16216e-06,0.332023
0.8,0.0581081,7.2973e-06,0.334003
0.8,0.0581081,7.43243e-06,0.333159
0.8,0.0581081,7.56757e-06,0.33435
0.8,0.0581081,7.7027e-06,0.335278
0.8,0.0581081,7.83784e-06,0.335191
0.8,0.0581081,7.97297e-06,0.337282
0.8,0.0581081,8.10811e-06,0.333187
0.8,0.0581081,8.24324e-06,0.334808
0.8,0.0581081,8.37838e-06,0.333538
0.8,0.0581081,8.51351e-06,0.332271
0.8,0.0581081,8.64865e-06,0.331532
0.8,0.0581081,8.78378e-06,0.329748
0.8,0.0581081,8.91892e-06,0.33074
0.8,0.0581081,9.05405e-06,0.332346
0.8,0.0581081,9.18919e-06,0.334043
0.8,0.0581081,9.32432e-06,0.337867
0.8,0.0581081,9.45946e-06,0.334224
0.8,0.0581081,9.59459e-06,0.329403
0.8,0.0581081,9.72973e-06,0.333314
0.8,0.0581081,9.86486e-06,0.331358
0.8,0.0581081,1e-05,0.331972
0.8,0.0581081,1.01351e-05,0.332183
0.8,0.0581081,1.02703e-05,0.331503
0.8,0.0581081,1.04054e-05,0.331698
0.8,0.0581081,1.05405e-05,0.333104
0.8,0.0581081,1.06757e-05,0.328916
0.8,0.0581081,1.08108e-05,0.332181
0.8,0.0581081,1.09459e-05,0.334296
0.8,0.0581081,1.10811e-05,0.333926
0.8,0.0581081,1.12162e-05,0.332264
0.8,0.0581081,1.13514e-05,0.328491
0.8,0.0581081,1.14865e-05,0.330428
0.8,0.0581081,1.16216e-05,0.33275
0.8,0.0581081,1.17568e-05,0.333395
0.8,0.0581081,1.18919e-05,0.331405
0.8,0.0581081,1.2027e-05,0.328059
0.8,0.0581081,1.21622e-05,0.332913
0.8,0.0581081,1.22973e-05,0.329854
0.8,0.0581081,1.24324e-05,0.333581
0.8,0.0581081,1.25676e-05,0.329117
0.8,0.0581081,1.27027e-05,0.327274
0.8,0.0581081,1.28378e-05,0.330101
0.8,0.0581081,1.2973e-05,0.326082
0.8,0.0581081,1.31081e-05,0.326798
0.8,0.0581081,1.32432e-05,0.32922
0.8,0.0581081,1.33784e-05,0.328405
0.8,0.0581081,1.35135e-05,0.329902
0.8,0.0581081,1.36486e-05,0.327153
0.8,0.0581081,1.37838e-05,0.331886
0.8,0.0581081,1.39189e-05,0.328826
0.8,0.0581081,1.40541e-05,0.331616
0.8,0.0581081,1.41892e-05,0.326689
0.8,0.0581081,1.43243e-05,0.331276
0.8,0.0581081,1.44595e-05,0.331439
0.8,0.0581081,1.45946e-05,0.32954
0.8,0.0581081,1.47297e-05,0.328519
0.8,0.0581081,1.48649e-05,0.325384
0.8,0.0581081,1.5e-05,0.328694
0.8,0.0608108,5e-06,0.32992
0.8,0.0608108,5.13514e-06,0.331518
0.8,0.0608108,5.27027e-06,0.331379
0.8,0.0608108,5.40541e-06,0.334421
0.8,0.0608108,5.54054e-06,0.33029
0.8,0.0608108,5.67568e-06,0.336207
0.8,0.0608108,5.81081e-06,0.33247
0.8,0.0608108,5.94595e-06,0.332594
0.8,0.0608108,6.08108e-06,0.334674
0.8,0.0608108,6.21622e-06,0.337154
0.8,0.0608108,6.35135e-06,0.331128
0.8,0.0608108,6.48649e-06,0.332322
0.8,0.0608108,6.62162e-06,0.33613
0.8,0.0608108,6.75676e-06,0.33678
0.8,0.0608108,6.89189e-06,0.334863
0.8,0.0608108,7.02703e-06,0.330871
0.8,0.0608108,7.16216e-06,0.334642
0.8,0.0608108,7.2973e-06,0.334225
0.8,0.0608108,7.43243e-06,0.336221
0.8,0.0608108,7.56757e-06,0.33568
0.8,0.0608108,7.7027e-06,0.335893
0.8,0.0608108,7.83784e-06,0.33548
0.8,0.0608108,7.97297e-06,0.33369
0.8,0.0608108,8.10811e-06,0.334713
0.8,0.0608108,8.24324e-06,0.332637
0.8,0.0608108,8.37838e-06,0.33521
0.8,0.0608108,8.51351e-06,0.331074
0.8,0.0608108,8.64865e-06,0.332083
0.8,0.0608108,8.78378e-06,0.332934
0.8,0.0608108,8.91892e-06,0.337134
0.8,0.0608108,9.05405e-06,0.333563
0.8,0.0608108,9.18919e-06,0.336463
0.8,0.0608108,9.32432e-06,0.333974
0.8,0.0608108,9.45946e-06,0.330368
0.8,0.0608108,9.59459e-06,0.335336
0.8,0.0608108,9.72973e-06,0.333997
0.8,0.0608108,9.86486e-06,0.327162
0.8,0.0608108,1e-05,0.33462
0.8,0.0608108,1.01351e-05,0.332886
0.8,0.0608108,1.02703e-05,0.333286
0.8,0.0608108,1.04054e-05,0.332408
0.8,0.0608108,1.05405e-05,0.338031
0.8,0.0608108,1.06757e-05,0.334794
0.8,0.0608108,1.08108e-05,0.335768
0.8,0.0608108,1.09459e-05,0.334233
0.8,0.0608108,1.10811e-05,0.33378
0.8,0.0608108,1.12162e-05,0.331023
0.8,0.0608108,1.13514e-05,0.329333
0.8,0.0608108,1.14865e-05,0.331145
0.8,0.0608108,1.16216e-05,0.333256
0.8,0.0608108,1.17568e-05,0.328834
0.8,0.0608108,1.18919e-05,0.332658
0.8,0.0608108,1.2027e-05,0.332607
0.8,0.0608108,1.21622e-05,0.328278
0.8,0.0608108,1.22973e-05,0.330933
0.8,0.0608108,1.24324e-05,0.334371
0.8,0.0608108,1.25676e-05,0.331557
0.8,0.0608108,1.27027e-05,0.332281
0.8,0.0608108,1.28378e-05,0.333096
0.8,0.0608108,1.2973e-05,0.327962
0.8,0.0608108,1.31081e-05,0.327106
0.8,0.0608108,1.32432e-05,0.329918
0.8,0.0608108,1.33784e-05,0.328458
0.8,0.0608108,1.35135e-05,0.331151
0.8,0.0608108,1.36486e-05,0.326695
0.8,0.0608108,1.37838e-05,0.331404
0.8,0.0608108,1.39189e-05,0.331463
0.8,0.0608108,1.40541e-05,0.329956
0.8,0.0608108,1.41892e-05,0.330787
0.8,0.0608108,1.43243e-05,0.329703
0.8,0.0608108,1.44595e-05,0.331502
0.8,0.0608108,1.45946e-05,0.32879
0.8,0.0608108,1.47297e-05,0.329304
0.8,0.0608108,1.48649e-05,0.329253
0.8,0.0608108,1.5e-05,0.327921
0.8,0.0635135,5e-06,0.333527
0.8,0.0635135,5.13514e-06,0.332852
0.8,0.0635135,5.27027e-06,0.330387
0.8,0.0635135,5.40541e-06,0.331838
0.8,0.0635135,5.54054e-06,0.330594
0.8,0.0635135,5.67568e-06,0.336147
0.8,0.0635135,5.81081e-06,0.332262
0.8,0.0635135,5.94595e-06,0.33322
0.8,0.0635135,6.08108e-06,0.335411
0.8,0.0635135,6.21622e-06,0.333783
0.8,0.0635135,6.35135e-06,0.333689
0.8,0.0635135,6.48649e-06,0.333637
0.8,0.0635135,6.62162e-06,0.335426
0.8,0.0635135,6.75676e-06,0.33592
0.8,0.0635135,6.89189e-06,0.334263
0.8,0.0635135,7.02703e-06,0.334661
0.8,0.0635135,7.16216e-06,0.333917
0.8,0.0635135,7.2973e-06,0.338408
0.8,0.0635135,7.43243e-06,0.33534
0.8,0.0635135,7.56757e-06,0.335127
0.8,0.0635135,7.7027e-06,0.333844
0.8,0.0635135,7.83784e-06,0.337505
0.8,0.0635135,7.97297e-06,0.338026
0.8,0.0635135,8.10811e-06,0.337132
0.8,0.0635135,8.24324e-06,0.334728
0.8,0.0635135,8.37838e-06,0.336014
0.8,0.0635135,8.51351e-06,0.33448
0.8,0.0635135,8.64865e-06,0.337714
0.8,0.0635135,8.78378e-06,0.337713
0.8,0.0635135,8.91892e-06,0.333281
0.8,0.0635135,9.05405e-06,0.336939
0.8,0.0635135,9.18919e-06,0.335213
0.8,0.0635135,9.32432e-06,0.333951
0.8,0.0635135,9.45946e-06,0.334974
0.8,0.0635135,9.59459e-06,0.337459
0.8,0.0635135,9.72973e-06,0.33703
0.8,0.0635135,9.86486e-06,0.33594
0.8,0.0635135,1e-05,0.332994
0.8,0.0635135,1.01351e-05,0.331032
0.8,0.0635135,1.02703e-05,0.334362
0.8,0.0635135,1.04054e-05,0.33269
0.8,0.0635135,1.05405e-05,0.332785
0.8,0.0635135,1.06757e-05,0.33237
0.8,0.0635135,1.08108e-05,0.331559
0.8,0.0635135,1.09459e-05,0.332047
0.8,0.0635135,1.10811e-05,0.334717
0.8,0.0635135,1.12162e-05,0.335158
0.8,0.0635135,1.13514e-05,0.33167
0.8,0.0635135,1.14865e-05,0.33462
0.8,0.0635135,1.16216e-05,0.334559
0.8,0.0635135,1.17568e-05,0.334686
0.8,0.0635135,1.18919e-05,0.333151
0.8,0.0635135,1.2027e-05,0.333344
0.8,0.0635135,1.21622e-05,0.331017
0.8,0.0635135,1.22973e-05,0.334083
0.8,0.0635135,1.24324e-05,0.332163
0.8,0.0635135,1.25676e-05,0.332525
0.8,0.0635135,1.27027e-05,0.334352
0.8,0.0635135,1.28378e-05,0.328184
0.8,0.0635135,1.2973e-05,0.332225
0.8,0.0635135,1.31081e-05,0.33176
0.8,0.0635135,1.32432e-05,0.334005
0.8,0.0635135,1.33784e-05,0.334144
0.8,0.0635135,1.35135e-05,0.333524
0.8,0.0635135,1.36486e-05,0.328815
0.8,0.0635135,1.37838e-05,0.332269
0.8,0.0635135,1.39189e-05,0.333616
0.8,0.0635135,1.40541e-05,0.333973
0.8,0.0635135,1.41892e-05,0.328975
0.8,0.0635135,1.43243e-05,0.330349
0.8,0.0635135,1.44595e-05,0.326339
0.8,0.0635135,1.45946e-05,0.330129
0.8,0.0635135,1.47297e-05,0.329083
0.8,0.0635135,1.48649e-05,0.332241
0.8,0.0635135,1.5e-05,0.329341
0.8,0.0662162,5e-06,0.331592
0.8,0.0662162,5.13514e-06,0.334349
0.8,0.0662162,5.27027e-06,0.334272
0.8,0.0662162,5.40541e-06,0.333211
0.8,0.0662162,5.54054e-06,0.334063
0.8,0.0662162,5.67568e-06,0.332906
0.8,0.0662162,5.81081e-06,0.332794
0.8,0.0662162,5.94595e-06,0.333981
0.8,0.0662162,6.08108e-06,0.337007
0.8,0.0662162,6.21622e-06,0.331491
0.8,0.0662162,6.35135e-06,0.335569
0.8,0.0662162,6.48649e-06,0.338236
0.8,0.0662162,6.62162e-06,0.33649
0.8,0.0662162,6.75676e-06,0.335279
0.8,0.0662162,6.89189e-06,0.335978
0.8,0.0662162,7.02703e-06,0.338109
0.8,0.0662162,7.16216e-06,0.334786
0.8,0.0662162,7.2973e-06,0.336895
0.8,0.0662162,7.43243e-06,0.336496
0.8,0.0662162,7.56757e-06,0.335508
0.8,0.0662162,7.7027e-06,0.335971
0.8,0.0662162,7.83784e-06,0.336748
0.8,0.0662162,7.97297e-06,0.336195
0.8,0.0662162,8.10811e-06,0.336917
0.8,0.0662162,8.24324e-06,0.337546
0.8,0.0662162,8.37838e-06,0.338197
0.8,0.0662162,8.51351e-06,0.336838
0.8,0.0662162,8.64865e-06,0.338381
0.8,0.0662162,8.78378e-06,0.335546
0.8,0.0662162,8.91892e-06,0.335248
0.8,0.0662162,9.05405e-06,0.33342
0.8,0.0662162,9.18919e-06,0.333235
0.8,0.0662162,9.32432e-06,0.332571
0.8,0.0662162,9.45946e-06,0.336651
0.8,0.0662162,9.59459e-06,0.335635
0.8,0.0662162,9.72973e-06,0.337881
0.8,0.0662162,9.86486e-06,0.334667
0.8,0.0662162,1e-05,0.335007
0.8,0.0662162,1.01351e-05,0.336062
0.8,0.0662162,1.02703e-05,0.334234
0.8,0.0662162,1.04054e-05,0.334621
0.8,0.0662162,1.05405e-05,0.333712
0.8,0.0662162,1.06757e-05,0.335857
0.8,0.0662162,1.08108e-05,0.334962
0.8,0.0662162,1.09459e-05,0.334986
0.8,0.0662162,1.10811e-05,0.338496
0.8,0.0662162,1.12162e-05,0.332165
0.8,0.0662162,1.13514e-05,0.336445
0.8,0.0662162,1.14865e-05,0.333716
0.8,0.0662162,1.16216e-05,0.333193
0.8,0.0662162,1.17568e-05,0.329022
0.8,0.0662162,1.18919e-05,0.331609
0.8,0.0662162,1.2027e-05,0.333122
0.8,0.0662162,1.21622e-05,0.33355
0.8,0.0662162,1.22973e-05,0.333838
0.8,0.0662162,1.24324e-05,0.335664
0.8,0.0662162,1.25676e-05,0.334817
0.8,0.0662162,1.27027e-05,0.333401
0.8,0.0662162,1.28378e-05,0.334908
0.8,0.0662162,1.2973e-05,0.333206
0.8,0.0662162,1.31081e-05,0.330908
0.8,0.0662162,1.32432e-05,0.332505
0.8,0.0662162,1.33784e-05,0.333282
0.8,0.0662162,1.35135e-05,0.334821
0.8,0.0662162,1.36486e-05,0.332059
0.8,0.0662162,1.37838e-05,0.331784
0.8,0.0662162,1.39189e-05,0.332879
0.8,0.0662162,1.40541e-05,0.333743
0.8,0.0662162,1.41892e-05,0.334891
0.8,0.0662162,1.43243e-05,0.332873
0.8,0.0662162,1.44595e-05,0.334696
0.8,0.0662162,1.45946e-05,0.332896
0.8,0.0662162,1.47297e-05,0.332971
0.8,0.0662162,1.48649e-05,0.331683
0.8,0.0662162,1.5e-05,0.330174
0.8,0.0689189,5e-06,0.335734
0.8,0.0689189,5.13514e-06,0.333622
0.8,0.0689189,5.27027e-06,0.334623
0.8,0.0689189,5.40541e-06,0.335341
0.8,0.0689189,5.54054e-06,0.335277
0.8,0.0689189,5.67568e-06,0.339591
0.8,0.0689189,5.81081e-06,0.337929
0.8,0.0689189,5.94595e-06,0.336882
0.8,0.0689189,6.08108e-06,0.335371
0.8,0.0689189,6.21622e-06,0.338945
0.8,0.0689189,6.35135e-06,0.331989
0.8,0.0689189,6.48649e-06,0.335707
0.8,0.0689189,6.62162e-06,0.338092
0.8,0.0689189,6.75676e-06,0.334079
0.8,0.0689189,6.89189e-06,0.340156
0.8,0.0689189,7.02703e-06,0.333407
0.8,0.0689189,7.16216e-06,0.338189
0.8,0.0689189,7.2973e-06,0.341397
0.8,0.0689189,7.43243e-06,0.338409
0.8,0.0689189,7.56757e-06,0.336055
0.8,0.0689189,7.7027e-06,0.332211
0.8,0.0689189,7.83784e-06,0.337698
0.8,0.0689189,7.97297e-06,0.337937
0.8,0.0689189,8.10811e-06,0.337142
0.8,0.0689189,8.24324e-06,0.335381
0.8,0.0689189,8.37838e-06,0.336703
0.8,0.0689189,8.51351e-06,0.336209
0.8,0.0689189,8.64865e-06,0.337573
0.8,0.0689189,8.78378e-06,0.338666
0.8,0.0689189,8.91892e-06,0.336505
0.8,0.0689189,9.05405e-06,0.338914
0.8,0.0689189,9.18919e-06,0.336579
0.8,0.0689189,9.32432e-06,0.334062
0.8,0.0689189,9.45946e-06,0.337984
0.8,0.0689189,9.59459e-06,0.338336
0.8,0.0689189,9.72973e-06,0.338455
0.8,0.0689189,9.86486e-06,0.336085
0.8,0.0689189,1e-05,0.336882
0.8,0.0689189,1.01351e-05,0.332936
0.8,0.0689189,1.02703e-05,0.334997
0.8,0.0689189,1.04054e-05,0.332894
0.8,0.0689189,1.05405e-05,0.337068
0.8,0.0689189,1.06757e-05,0.335829
0.8,0.0689189,1.08108e-05,0.337138
0.8,0.0689189,1.09459e-05,0.338585
0.8,0.0689189,1.10811e-05,0.333182
0.8,0.0689189,1.12162e-05,0.3354
0.8,0.0689189,1.13514e-05,0.336456
0.8,0.0689189,1.14865e-05,0.333698
0.8,0.0689189,1.16216e-05,0.337962
0.8,0.0689189,1.17568e-05,0.3312
0.8,0.0689189,1.18919e-05,0.332319
0.8,0.0689189,1.2027e-05,0.334879
0.8,0.0689189,1.21622e-05,0.333818
0.8,0.0689189,1.22973e-05,0.332391
0.8,0.0689189,1.24324e-05,0.338369
0.8,0.0689189,1.25676e-05,0.335239
0.8,0.0689189,1.27027e-05,0.337303
0.8,0.0689189,1.28378e-05,0.336708
0.8,0.0689189,1.2973e-05,0.333188
0.8,0.0689189,1.31081e-05,0.332287
0.8,0.0689189,1.32432e-05,0.332737
0.8,0.0689189,1.33784e-05,0.33746
0.8,0.0689189,1.35135e-05,0.335906
0.8,0.0689189,1.36486e-05,0.333701
0.8,0.0689189,1.37838e-05,0.330257
0.8,0.0689189,1.39189e-05,0.334131
0.8,0.0689189,1.40541e-05,0.336387
0.8,0.0689189,1.41892e-05,0.329292
0.8,0.0689189,1.43243e-05,0.332598
0.8,0.0689189,1.44595e-05,0.332744
0.8,0.0689189,1.45946e-05,0.32743
0.8,0.0689189,1.47297e-05,0.33586
0.8,0.0689189,1.48649e-05,0.333145
0.8,0.0689189,1.5e-05,0.331316
0.8,0.0716216,5e-06,0.333886
0.8,0.0716216,5.13514e-06,0.33606
0.8,0.0716216,5.27027e-06,0.335384
0.8,0.0716216,5.40541e-06,0.335983
0.8,0.0716216,5.54054e-06,0.334183
0.8,0.0716216,5.67568e-06,0.335121
0.8,0.0716216,5.81081e-06,0.333342
0.8,0.0716216,5.94595e-06,0.335615
0.8,0.0716216,6.08108e-06,0.336025
0.8,0.0716216,6.21622e-06,0.335027
0.8,0.0716216,6.35135e-06,0.333977
0.8,0.0716216,6.48649e-06,0.338553
0.8,0.0716216,6.62162e-06,0.338369
0.8,0.0716216,6.75676e-06,0.337483
0.8,0.0716216,6.89189e-06,0.333453
0.8,0.0716216,7.02703e-06,0.339387
