omega,alpha,beta,cs
0.8,0.05,5e-06,0.328722
0.8,0.05,5.13514e-06,0.328683
0.8,0.05,5.27027e-06,0.328617
0.8,0.05,5.40541e-06,0.32913
0.8,0.05,5.54054e-06,0.328902
0.8,0.05,5.67568e-06,0.330894
0.8,0.05,5.81081e-06,0.329291
0.8,0.05,5.94595e-06,0.331406
0.8,0.05,6.08108e-06,0.331903
0.8,0.05,6.21622e-06,0.330313
0.8,0.05,6.35135e-06,0.329642
0.8,0.05,6.48649e-06,0.33013
0.8,0.05,6.62162e-06,0.332706
0.8,0.05,6.75676e-06,0.32829
0.8,0.05,6.89189e-06,0.33139
0.8,0.05,7.02703e-06,0.329585
0.8,0.05,7.16216e-06,0.329669
0.8,0.05,7.2973e-06,0.331968
0.8,0.05,7.43243e-06,0.330491
0.8,0.05,7.56757e-06,0.331057
0.8,0.05,7.7027e-06,0.327657
0.8,0.05,7.83784e-06,0.330216
0.8,0.05,7.97297e-06,0.332377
0.8,0.05,8.10811e-06,0.332538
0.8,0.05,8.24324e-06,0.329988
0.8,0.05,8.37838e-06,0.32959
0.8,0.05,8.51351e-06,0.331346
0.8,0.05,8.64865e-06,0.330439
0.8,0.05,8.78378e-06,0.335025
0.8,0.05,8.91892e-06,0.328239
0.8,0.05,9.05405e-06,0.329669
0.8,0.05,9.18919e-06,0.329747
0.8,0.05,9.32432e-06,0.332814
0.8,0.05,9.45946e-06,0.331948
0.8,0.05,9.59459e-06,0.330597
0.8,0.05,9.72973e-06,0.327769
0.8,0.05,9.86486e-06,0.329274
0.8,0.05,1e-05,0.330735
0.8,0.05,1.01351e-05,0.328095
0.8,0.05,1.02703e-05,0.33064
0.8,0.05,1.04054e-05,0.329867
0.8,0.05,1.05405e-05,0.327244
0.8,0.05,1.06757e-05,0.330479
0.8,0.05,1.08108e-05,0.328011
0.8,0.05,1.09459e-05,0.326543
0.8,0.05,1.10811e-05,0.331407
0.8,0.05,1.12162e-05,0.329141
0.8,0.05,1.13514e-05,0.330801
0.8,0.05,1.14865e-05,0.332803
0.8,0.05,1.16216e-05,0.328123
0.8,0.05,1.17568e-05,0.330066
0.8,0.05,1.18919e-05,0.330882
0.8,0.05,1.2027e-05,0.327758
0.8,0.05,1.21622e-05,0.326766
0.8,0.05,1.22973e-05,0.323334
0.8,0.05,1.24324e-05,0.326247
0.8,0.05,1.25676e-05,0.328246
0.8,0.05,1.27027e-05,0.324215
0.8,0.05,1.28378e-05,0.325998
0.8,0.05,1.2973e-05,0.322153
0.8,0.05,1.31081e-05,0.325855
0.8,0.05,1.32432e-05,0.323568
0.8,0.05,1.33784e-05,0.33038
0.8,0.05,1.35135e-05,0.321686
0.8,0.05,1.36486e-05,0.327988
0.8,0.05,1.37838e-05,0.327234
0.8,0.05,1.39189e-05,0.32711
0.8,0.05,1.40541e-05,0.325153
0.8,0.05,1.41892e-05,0.325614
0.8,0.05,1.43243e-05,0.325171
0.8,0.05,1.44595e-05,0.325016
0.8,0.05,1.45946e-05,0.32603
0.8,0.05,1.47297e-05,0.329977
0.8,0.05,1.48649e-05,0.321544
0.8,0.05,1.5e-05,0.323094
0.8,0.0527027,5e-06,0.32819
0.8,0.0527027,5.13514e-06,0.329202
0.8,0.0527027,5.27027e-06,0.328399
0.8,0.0527027,5.40541e-06,0.334232
0.8,0.0527027,5.54054e-06,0.332718
0.8,0.0527027,5.67568e-06,0.328752
