omega,alpha,beta,firm,profit
0.8,0.05,5e-06,1,0.132273
0.8,0.05,5e-06,2,0.13129
0.8,0.05,5.13514e-06,1,0.131948
0.8,0.05,5.13514e-06,2,0.131895
0.8,0.05,5.27027e-06,1,0.132155
0.8,0.05,5.27027e-06,2,0.132696
0.8,0.05,5.40541e-06,1,0.131487
0.8,0.05,5.40541e-06,2,0.132729
0.8,0.05,5.54054e-06,1,0.132865
0.8,0.05,5.54054e-06,2,0.132429
0.8,0.05,5.67568e-06,1,0.133048
0.8,0.05,5.67568e-06,2,0.131201
0.8,0.05,5.81081e-06,1,0.131962
0.8,0.05,5.81081e-06,2,0.132151
0.8,0.05,5.94595e-06,1,0.131659
0.8,0.05,5.94595e-06,2,0.131677
0.8,0.05,6.08108e-06,1,0.131877
0.8,0.05,6.08108e-06,2,0.13202
0.8,0.05,6.21622e-06,1,0.13187
0.8,0.05,6.21622e-06,2,0.131936
0.8,0.05,6.35135e-06,1,0.132179
0.8,0.05,6.35135e-06,2,0.132145
0.8,0.05,6.48649e-06,1,0.132062
0.8,0.05,6.48649e-06,2,0.132421
0.8,0.05,6.62162e-06,1,0.131424
0.8,0.05,6.62162e-06,2,0.131982
0.8,0.05,6.75676e-06,1,0.133382
0.8,0.05,6.75676e-06,2,0.133076
0.8,0.05,6.89189e-06,1,0.132104
0.8,0.05,6.89189e-06,2,0.132498
0.8,0.05,7.02703e-06,1,0.132955
0.8,0.05,7.02703e-06,2,0.133656
0.8,0.05,7.16216e-06,1,0.132707
0.8,0.05,7.16216e-06,2,0.132611
0.8,0.05,7.2973e-06,1,0.132573
0.8,0.05,7.2973e-06,2,0.132495
0.8,0.05,7.43243e-06,1,0.133067
0.8,0.05,7.43243e-06,2,0.133843
0.8,0.05,7.56757e-06,1,0.132157
0.8,0.05,7.56757e-06,2,0.13273
0.8,0.05,7.7027e-06,1,0.133052
0.8,0.05,7.7027e-06,2,0.132756
0.8,0.05,7.83784e-06,1,0.133322
0.8,0.05,7.83784e-06,2,0.133653
0.8,0.05,7.97297e-06,1,0.133522
0.8,0.05,7.97297e-06,2,0.131831
0.8,0.05,8.10811e-06,1,0.131727
0.8,0.05,8.10811e-06,2,0.131699
0.8,0.05,8.24324e-06,1,0.132491
0.8,0.05,8.24324e-06,2,0.132817
0.8,0.05,8.37838e-06,1,0.132953
0.8,0.05,8.37838e-06,2,0.132963
0.8,0.05,8.51351e-06,1,0.133045
0.8,0.05,8.51351e-06,2,0.132894
0.8,0.05,8.64865e-06,1,0.133325
0.8,0.05,8.64865e-06,2,0.131519
0.8,0.05,8.78378e-06,1,0.131854
0.8,0.05,8.78378e-06,2,0.131255
0.8,0.05,8.91892e-06,1,0.13353
0.8,0.05,8.91892e-06,2,0.132944
0.8,0.05,9.05405e-06,1,0.133445
0.8,0.05,9.05405e-06,2,0.133539
0.8,0.05,9.18919e-06,1,0.13259
0.8,0.05,9.18919e-06,2,0.133443
0.8,0.05,9.32432e-06,1,0.132364
0.8,0.05,9.32432e-06,2,0.132683
0.8,0.05,9.45946e-06,1,0.133017
0.8,0.05,9.45946e-06,2,0.132374
0.8,0.05,9.59459e-06,1,0.133765
0.8,0.05,9.59459e-06,2,0.133384
0.8,0.05,9.72973e-06,1,0.133618
0.8,0.05,9.72973e-06,2,0.133989
