omega,alpha,beta,firm,price
0.8,0.05,5e-06,1,1.72741
0.8,0.05,5e-06,2,1.71776
0.8,0.05,5.13514e-06,1,1.71901
0.8,0.05,5.13514e-06,2,1.72882
0.8,0.05,5.27027e-06,1,1.72664
0.8,0.05,5.27027e-06,2,1.73048
0.8,0.05,5.40541e-06,1,1.72034
0.8,0.05,5.40541e-06,2,1.72339
0.8,0.05,5.54054e-06,1,1.7297
0.8,0.05,5.54054e-06,2,1.71694
0.8,0.05,5.67568e-06,1,1.72976
0.8,0.05,5.67568e-06,2,1.71307
0.8,0.05,5.81081e-06,1,1.72689
0.8,0.05,5.81081e-06,2,1.71836
0.8,0.05,5.94595e-06,1,1.71128
0.8,0.05,5.94595e-06,2,1.72365
0.8,0.05,6.08108e-06,1,1.71049
0.8,0.05,6.08108e-06,2,1.72613
0.8,0.05,6.21622e-06,1,1.72016
0.8,0.05,6.21622e-06,2,1.72818
0.8,0.05,6.35135e-06,1,1.72162
0.8,0.05,6.35135e-06,2,1.72795
0.8,0.05,6.48649e-06,1,1.7239
0.8,0.05,6.48649e-06,2,1.72432
0.8,0.05,6.62162e-06,1,1.71547
0.8,0.05,6.62162e-06,2,1.72084
0.8,0.05,6.75676e-06,1,1.72219
0.8,0.05,6.75676e-06,2,1.72768
0.8,0.05,6.89189e-06,1,1.71785
0.8,0.05,6.89189e-06,2,1.72298
0.8,0.05,7.02703e-06,1,1.71542
0.8,0.05,7.02703e-06,2,1.72724
0.8,0.05,7.16216e-06,1,1.71991
0.8,0.05,7.16216e-06,2,1.72472
0.8,0.05,7.2973e-06,1,1.71839
0.8,0.05,7.2973e-06,2,1.72105
0.8,0.05,7.43243e-06,1,1.71651
0.8,0.05,7.43243e-06,2,1.72894
0.8,0.05,7.56757e-06,1,1.71919
0.8,0.05,7.56757e-06,2,1.7205
0.8,0.05,7.7027e-06,1,1.72601
0.8,0.05,7.7027e-06,2,1.72562
0.8,0.05,7.83784e-06,1,1.72085
0.8,0.05,7.83784e-06,2,1.7223
0.8,0.05,7.97297e-06,1,1.72729
0.8,0.05,7.97297e-06,2,1.71035
0.8,0.05,8.10811e-06,1,1.71418
0.8,0.05,8.10811e-06,2,1.72548
