omega,alpha,beta,firm,price
0.8,0.05,8.24324e-06,1,1.72466
0.8,0.05,8.24324e-06,2,1.72441
0.8,0.05,8.37838e-06,1,1.72571
0.8,0.05,8.37838e-06,2,1.72246
0.8,0.05,8.51351e-06,1,1.72627
0.8,0.05,8.51351e-06,2,1.71621
0.8,0.05,8.64865e-06,1,1.72963
0.8,0.05,8.64865e-06,2,1.7115
0.8,0.05,8.78378e-06,1,1.71752
0.8,0.05,8.78378e-06,2,1.70766
0.8,0.05,8.91892e-06,1,1.72521
0.8,0.05,8.91892e-06,2,1.72036
0.8,0.05,9.05405e-06,1,1.71967
0.8,0.05,9.05405e-06,2,1.73008
0.8,0.05,9.18919e-06,1,1.71775
0.8,0.05,9.18919e-06,2,1.72699
0.8,0.05,9.32432e-06,1,1.71994
0.8,0.05,9.32432e-06,2,1.71884
0.8,0.05,9.45946e-06,1,1.72519
0.8,0.05,9.45946e-06,2,1.71249
0.8,0.05,9.59459e-06,1,1.7212
0.8,0.05,9.59459e-06,2,1.72061
0.8,0.05,9.72973e-06,1,1.72204
0.8,0.05,9.72973e-06,2,1.72839
0.8,0.05,9.86486e-06,1,1.73149
0.8,0.05,9.86486e-06,2,1.71791
0.8,0.05,1e-05,1,1.71988
0.8,0.05,1e-05,2,1.72302
0.8,0.05,1.01351e-05,1,1.71963
0.8,0.05,1.01351e-05,2,1.72703
0.8,0.05,1.02703e-05,1,1.7249
0.8,0.05,1.02703e-05,2,1.72102
0.8,0.05,1.04054e-05,1,1.72514
0.8,0.05,1.04054e-05,2,1.71817
0.8,0.05,1.05405e-05,1,1.72392
0.8,0.05,1.05405e-05,2,1.72552
0.8,0.05,1.06757e-05,1,1.71426
0.8,0.05,1.06757e-05,2,1.72798
0.8,0.05,1.08108e-05,1,1.73039
0.8,0.05,1.08108e-05,2,1.71767
0.8,0.05,1.09459e-05,1,1.72202
0.8,0.05,1.09459e-05,2,1.72442
0.8,0.05,1.10811e-05,1,1.71918
0.8,0.05,1.10811e-05,2,1.72118
0.8,0.05,1.12162e-05,1,1.72291
0.8,0.05,1.12162e-05,2,1.72224
0.8,0.05,1.13514e-05,1,1.71492
0.8,0.05,1.13514e-05,2,1.72517
0.8,0.05,1.14865e-05,1,1.71451
0.8,0.05,1.14865e-05,2,1.72121
0.8,0.05,1.16216e-05,1,1.72098
0.8,0.05,1.16216e-05,2,1.72883
0.8,0.05,1.17568e-05,1,1.71789
0.8,0.05,1.17568e-05,2,1.72439
0.8,0.05,1.18919e-05,1,1.72418
0.8,0.05,1.18919e-05,2,1.71528
0.8,0.05,1.2027e-05,1,1.72656
0.8,0.05,1.2027e-05,2,1.72313
0.8,0.05,1.21622e-05,1,1.72686
0.8,0.05,1.21622e-05,2,1.72583
0.8,0.05,1.22973e-05,1,1.72722
0.8,0.05,1.22973e-05,2,1.73188
0.8,0.05,1.24324e-05,1,1.72396
0.8,0.05,1.24324e-05,2,1.72637
0.8,0.05,1.25676e-05,1,1.72856
0.8,0.05,1.25676e-05,2,1.71832
0.8,0.05,1.27027e-05,1,1.723
0.8,0.05,1.27027e-05,2,1.73507
0.8,0.05,1.28378e-05,1,1.73671
0.8,0.05,1.28378e-05,2,1.72547
0.8,0.05,1.2973e-05,1,1.73087
0.8,0.05,1.2973e-05,2,1.73654
0.8,0.05,1.31081e-05,1,1.73419
0.8,0.05,1.31081e-05,2,1.71744
0.8,0.05,1.32432e-05,1,1.73103
0.8,0.05,1.32432e-05,2,1.72923
0.8,0.05,1.33784e-05,1,1.7131
0.8,0.05,1.33784e-05,2,1.72961
0.8,0.05,1.35135e-05,1,1.73628
0.8,0.05,1.35135e-05,2,1.72893
0.8,0.05,1.36486e-05,1,1.72115
0.8,0.05,1.36486e-05,2,1.72578
0.8,0.05,1.37838e-05,1,1.72063
0.8,0.05,1.37838e-05,2,1.72937
0.8,0.05,1.39189e-05,1,1.72467
0.8,0.05,1.39189e-05,2,1.72969
0.8,0.05,1.40541e-05,1,1.72926
0.8,0.05,1.40541e-05,2,1.72553
0.8,0.05,1.41892e-05,1,1.73315
0.8,0.05,1.41892e-05,2,1.71934
0.8,0.05,1.43243e-05,1,1.72967
0.8,0.05,1.43243e-05,2,1.72352
0.8,0.05,1.44595e-05,1,1.72549
0.8,0.05,1.44595e-05,2,1.73127
0.8,0.05,1.45946e-05,1,1.72397
0.8,0.05,1.45946e-05,2,1.72717
0.8,0.05,1.47297e-05,1,1.72612
0.8,0.05,1.47297e-05,2,1.71666
0.8,0.05,1.48649e-05,1,1.73369
0.8,0.05,1.48649e-05,2,1.7313
0.8,0.05,1.5e-05,1,1.73546
0.8,0.05,1.5e-05,2,1.725
0.8,0.0527027,5e-06,1,1.72275
0.8,0.0527027,5e-06,2,1.72477
0.8,0.0527027,5.13514e-06,1,1.71946
0.8,0.0527027,5.13514e-06,2,1.72564
0.8,0.0527027,5.27027e-06,1,1.73211
0.8,0.0527027,5.27027e-06,2,1.71982
0.8,0.0527027,5.40541e-06,1,1.71426
0.8,0.0527027,5.40541e-06,2,1.7186
0.8,0.0527027,5.54054e-06,1,1.7175
0.8,0.0527027,5.54054e-06,2,1.71458
0.8,0.0527027,5.67568e-06,1,1.72427
0.8,0.0527027,5.67568e-06,2,1.72327
0.8,0.0527027,5.81081e-06,1,1.71671
0.8,0.0527027,5.81081e-06,2,1.71581
0.8,0.0527027,5.94595e-06,1,1.70926
0.8,0.0527027,5.94595e-06,2,1.72704
0.8,0.0527027,6.08108e-06,1,1.71776
0.8,0.0527027,6.08108e-06,2,1.72177
0.8,0.0527027,6.21622e-06,1,1.72622
0.8,0.0527027,6.21622e-06,2,1.71854
0.8,0.0527027,6.35135e-06,1,1.71068
0.8,0.0527027,6.35135e-06,2,1.72288
0.8,0.0527027,6.48649e-06,1,1.72369
0.8,0.0527027,6.48649e-06,2,1.7182
0.8,0.0527027,6.62162e-06,1,1.73205
0.8,0.0527027,6.62162e-06,2,1.71039
0.8,0.0527027,6.75676e-06,1,1.71979
0.8,0.0527027,6.75676e-06,2,1.72364
0.8,0.0527027,6.89189e-06,1,1.72129
0.8,0.0527027,6.89189e-06,2,1.72585
0.8,0.0527027,7.02703e-06,1,1.71985
0.8,0.0527027,7.02703e-06,2,1.72045
0.8,0.0527027,7.16216e-06,1,1.7215
0.8,0.0527027,7.16216e-06,2,1.71716
0.8,0.0527027,7.2973e-06,1,1.72157
0.8,0.0527027,7.2973e-06,2,1.72249
0.8,0.0527027,7.43243e-06,1,1.72636
0.8,0.0527027,7.43243e-06,2,1.71467
0.8,0.0527027,7.56757e-06,1,1.72444
0.8,0.0527027,7.56757e-06,2,1.71695
0.8,0.0527027,7.7027e-06,1,1.72215
0.8,0.0527027,7.7027e-06,2,1.70892
0.8,0.0527027,7.83784e-06,1,1.72398
0.8,0.0527027,7.83784e-06,2,1.71123
0.8,0.0527027,7.97297e-06,1,1.71501
0.8,0.0527027,7.97297e-06,2,1.71363
0.8,0.0527027,8.10811e-06,1,1.72048
0.8,0.0527027,8.10811e-06,2,1.72421
0.8,0.0527027,8.24324e-06,1,1.7178
0.8,0.0527027,8.24324e-06,2,1.70824
0.8,0.0527027,8.37838e-06,1,1.71632
0.8,0.0527027,8.37838e-06,2,1.72812
0.8,0.0527027,8.51351e-06,1,1.71199
0.8,0.0527027,8.51351e-06,2,1.73552
0.8,0.0527027,8.64865e-06,1,1.72383
0.8,0.0527027,8.64865e-06,2,1.71718
0.8,0.0527027,8.78378e-06,1,1.72252
0.8,0.0527027,8.78378e-06,2,1.71491
0.8,0.0527027,8.91892e-06,1,1.71137
0.8,0.0527027,8.91892e-06,2,1.72863
0.8,0.0527027,9.05405e-06,1,1.72282
0.8,0.0527027,9.05405e-06,2,1.72089
0.8,0.0527027,9.18919e-06,1,1.71598
0.8,0.0527027,9.18919e-06,2,1.73074
0.8,0.0527027,9.32432e-06,1,1.72356
0.8,0.0527027,9.32432e-06,2,1.72682
0.8,0.0527027,9.45946e-06,1,1.72243
0.8,0.0527027,9.45946e-06,2,1.70443
0.8,0.0527027,9.59459e-06,1,1.71212
0.8,0.0527027,9.59459e-06,2,1.7214
0.8,0.0527027,9.72973e-06,1,1.72213
0.8,0.0527027,9.72973e-06,2,1.72171
0.8,0.0527027,9.86486e-06,1,1.73024
0.8,0.0527027,9.86486e-06,2,1.71589
0.8,0.0527027,1e-05,1,1.72941
0.8,0.0527027,1e-05,2,1.72218
0.8,0.0527027,1.01351e-05,1,1.71252
0.8,0.0527027,1.01351e-05,2,1.72259
0.8,0.0527027,1.02703e-05,1,1.72209
0.8,0.0527027,1.02703e-05,2,1.72358
0.8,0.0527027,1.04054e-05,1,1.72478
0.8,0.0527027,1.04054e-05,2,1.72265
0.8,0.0527027,1.05405e-05,1,1.72532
0.8,0.0527027,1.05405e-05,2,1.72222
0.8,0.0527027,1.06757e-05,1,1.71422
0.8,0.0527027,1.06757e-05,2,1.72161
0.8,0.0527027,1.08108e-05,1,1.71658
0.8,0.0527027,1.08108e-05,2,1.72551
0.8,0.0527027,1.09459e-05,1,1.72467
0.8,0.0527027,1.09459e-05,2,1.71464
0.8,0.0527027,1.10811e-05,1,1.73534
0.8,0.0527027,1.10811e-05,2,1.71821
0.8,0.0527027,1.12162e-05,1,1.72209
0.8,0.0527027,1.12162e-05,2,1.71697
0.8,0.0527027,1.13514e-05,1,1.72156
0.8,0.0527027,1.13514e-05,2,1.72519
0.8,0.0527027,1.14865e-05,1,1.73323
0.8,0.0527027,1.14865e-05,2,1.72153
0.8,0.0527027,1.16216e-05,1,1.73038
0.8,0.0527027,1.16216e-05,2,1.71832
0.8,0.0527027,1.17568e-05,1,1.7257
0.8,0.0527027,1.17568e-05,2,1.72108
0.8,0.0527027,1.18919e-05,1,1.72072
0.8,0.0527027,1.18919e-05,2,1.71682
0.8,0.0527027,1.2027e-05,1,1.72745
0.8,0.0527027,1.2027e-05,2,1.7305
0.8,0.0527027,1.21622e-05,1,1.72307
0.8,0.0527027,1.21622e-05,2,1.71918
0.8,0.0527027,1.22973e-05,1,1.72719
0.8,0.0527027,1.22973e-05,2,1.71687
0.8,0.0527027,1.24324e-05,1,1.72066
0.8,0.0527027,1.24324e-05,2,1.72605
0.8,0.0527027,1.25676e-05,1,1.72569
0.8,0.0527027,1.25676e-05,2,1.72244
0.8,0.0527027,1.27027e-05,1,1.7175
0.8,0.0527027,1.27027e-05,2,1.72179
0.8,0.0527027,1.28378e-05,1,1.72229
0.8,0.0527027,1.28378e-05,2,1.71901
0.8,0.0527027,1.2973e-05,1,1.72565
0.8,0.0527027,1.2973e-05,2,1.72789
0.8,0.0527027,1.31081e-05,1,1.72747
0.8,0.0527027,1.31081e-05,2,1.72754
0.8,0.0527027,1.32432e-05,1,1.72616
0.8,0.0527027,1.32432e-05,2,1.72258
0.8,0.0527027,1.33784e-05,1,1.72176
0.8,0.0527027,1.33784e-05,2,1.72685
0.8,0.0527027,1.35135e-05,1,1.72067
0.8,0.0527027,1.35135e-05,2,1.72279
0.8,0.0527027,1.36486e-05,1,1.724
0.8,0.0527027,1.36486e-05,2,1.72159
0.8,0.0527027,1.37838e-05,1,1.73393
0.8,0.0527027,1.37838e-05,2,1.72241
0.8,0.0527027,1.39189e-05,1,1.72335
0.8,0.0527027,1.39189e-05,2,1.72438
0.8,0.0527027,1.40541e-05,1,1.72471
0.8,0.0527027,1.40541e-05,2,1.72393
0.8,0.0527027,1.41892e-05,1,1.72802
0.8,0.0527027,1.41892e-05,2,1.72217
0.8,0.0527027,1.43243e-05,1,1.72455
0.8,0.0527027,1.43243e-05,2,1.72666
0.8,0.0527027,1.44595e-05,1,1.72134
0.8,0.0527027,1.44595e-05,2,1.73301
0.8,0.0527027,1.45946e-05,1,1.72079
0.8,0.0527027,1.45946e-05,2,1.73212
0.8,0.0527027,1.47297e-05,1,1.72138
0.8,0.0527027,1.47297e-05,2,1.73197
0.8,0.0527027,1.48649e-05,1,1.71792
0.8,0.0527027,1.48649e-05,2,1.7374
0.8,0.0527027,1.5e-05,1,1.72101
0.8,0.0527027,1.5e-05,2,1.73696
0.8,0.0554054,5e-06,1,1.728
0.8,0.0554054,5e-06,2,1.72313
0.8,0.0554054,5.13514e-06,1,1.73102
0.8,0.0554054,5.13514e-06,2,1.7118
0.8,0.0554054,5.27027e-06,1,1.71939
0.8,0.0554054,5.27027e-06,2,1.71485
0.8,0.0554054,5.40541e-06,1,1.72383
0.8,0.0554054,5.40541e-06,2,1.71626
0.8,0.0554054,5.54054e-06,1,1.71693
0.8,0.0554054,5.54054e-06,2,1.72396
0.8,0.0554054,5.67568e-06,1,1.71574
0.8,0.0554054,5.67568e-06,2,1.72281
0.8,0.0554054,5.81081e-06,1,1.71651
0.8,0.0554054,5.81081e-06,2,1.71713
0.8,0.0554054,5.94595e-06,1,1.72546
0.8,0.0554054,5.94595e-06,2,1.71058
0.8,0.0554054,6.08108e-06,1,1.73296
0.8,0.0554054,6.08108e-06,2,1.71176
0.8,0.0554054,6.21622e-06,1,1.71954
0.8,0.0554054,6.21622e-06,2,1.72595
0.8,0.0554054,6.35135e-06,1,1.71233
0.8,0.0554054,6.35135e-06,2,1.72056
0.8,0.0554054,6.48649e-06,1,1.71878
0.8,0.0554054,6.48649e-06,2,1.72995
0.8,0.0554054,6.62162e-06,1,1.72198
0.8,0.0554054,6.62162e-06,2,1.71412
0.8,0.0554054,6.75676e-06,1,1.73212
0.8,0.0554054,6.75676e-06,2,1.7155
0.8,0.0554054,6.89189e-06,1,1.71559
0.8,0.0554054,6.89189e-06,2,1.71873
0.8,0.0554054,7.02703e-06,1,1.72987
0.8,0.0554054,7.02703e-06,2,1.70878
0.8,0.0554054,7.16216e-06,1,1.71125
0.8,0.0554054,7.16216e-06,2,1.72227
0.8,0.0554054,7.2973e-06,1,1.72222
0.8,0.0554054,7.2973e-06,2,1.7174
0.8,0.0554054,7.43243e-06,1,1.72311
0.8,0.0554054,7.43243e-06,2,1.71617
0.8,0.0554054,7.56757e-06,1,1.72176
0.8,0.0554054,7.56757e-06,2,1.72091
0.8,0.0554054,7.7027e-06,1,1.71607
0.8,0.0554054,7.7027e-06,2,1.7175
0.8,0.0554054,7.83784e-06,1,1.72978
0.8,0.0554054,7.83784e-06,2,1.71322
0.8,0.0554054,7.97297e-06,1,1.73295
0.8,0.0554054,7.97297e-06,2,1.71057
0.8,0.0554054,8.10811e-06,1,1.72211
0.8,0.0554054,8.10811e-06,2,1.72452
0.8,0.0554054,8.24324e-06,1,1.72402
0.8,0.0554054,8.24324e-06,2,1.71518
0.8,0.0554054,8.37838e-06,1,1.72241
0.8,0.0554054,8.37838e-06,2,1.71307
0.8,0.0554054,8.51351e-06,1,1.7134
0.8,0.0554054,8.51351e-06,2,1.72425
0.8,0.0554054,8.64865e-06,1,1.72214
0.8,0.0554054,8.64865e-06,2,1.72364
0.8,0.0554054,8.78378e-06,1,1.71059
0.8,0.0554054,8.78378e-06,2,1.72043
0.8,0.0554054,8.91892e-06,1,1.70935
0.8,0.0554054,8.91892e-06,2,1.72275
0.8,0.0554054,9.05405e-06,1,1.71663
0.8,0.0554054,9.05405e-06,2,1.71689
0.8,0.0554054,9.18919e-06,1,1.70632
0.8,0.0554054,9.18919e-06,2,1.72725
0.8,0.0554054,9.32432e-06,1,1.71832
0.8,0.0554054,9.32432e-06,2,1.71466
0.8,0.0554054,9.45946e-06,1,1.71562
0.8,0.0554054,9.45946e-06,2,1.71583
0.8,0.0554054,9.59459e-06,1,1.71199
0.8,0.0554054,9.59459e-06,2,1.72781
0.8,0.0554054,9.72973e-06,1,1.71662
0.8,0.0554054,9.72973e-06,2,1.72283
0.8,0.0554054,9.86486e-06,1,1.71677
0.8,0.0554054,9.86486e-06,2,1.72888
0.8,0.0554054,1e-05,1,1.72347
0.8,0.0554054,1e-05,2,1.71513
0.8,0.0554054,1.01351e-05,1,1.72338
0.8,0.0554054,1.01351e-05,2,1.71942
0.8,0.0554054,1.02703e-05,1,1.71757
0.8,0.0554054,1.02703e-05,2,1.71999
0.8,0.0554054,1.04054e-05,1,1.71819
0.8,0.0554054,1.04054e-05,2,1.71459
0.8,0.0554054,1.05405e-05,1,1.73472
0.8,0.0554054,1.05405e-05,2,1.71903
0.8,0.0554054,1.06757e-05,1,1.72194
0.8,0.0554054,1.06757e-05,2,1.71805
0.8,0.0554054,1.08108e-05,1,1.71974
0.8,0.0554054,1.08108e-05,2,1.71885
0.8,0.0554054,1.09459e-05,1,1.71978
0.8,0.0554054,1.09459e-05,2,1.72987
0.8,0.0554054,1.10811e-05,1,1.72269
0.8,0.0554054,1.10811e-05,2,1.71799
0.8,0.0554054,1.12162e-05,1,1.71961
0.8,0.0554054,1.12162e-05,2,1.73211
0.8,0.0554054,1.13514e-05,1,1.72499
0.8,0.0554054,1.13514e-05,2,1.721
0.8,0.0554054,1.14865e-05,1,1.72504
0.8,0.0554054,1.14865e-05,2,1.72256
0.8,0.0554054,1.16216e-05,1,1.7134
0.8,0.0554054,1.16216e-05,2,1.71948
0.8,0.0554054,1.17568e-05,1,1.716
0.8,0.0554054,1.17568e-05,2,1.72931
0.8,0.0554054,1.18919e-05,1,1.71825
0.8,0.0554054,1.18919e-05,2,1.72093
0.8,0.0554054,1.2027e-05,1,1.73427
0.8,0.0554054,1.2027e-05,2,1.71806
0.8,0.0554054,1.21622e-05,1,1.72353
0.8,0.0554054,1.21622e-05,2,1.72578
0.8,0.0554054,1.22973e-05,1,1.73001
0.8,0.0554054,1.22973e-05,2,1.71488
0.8,0.0554054,1.24324e-05,1,1.72171
0.8,0.0554054,1.24324e-05,2,1.71994
0.8,0.0554054,1.25676e-05,1,1.7198
0.8,0.0554054,1.25676e-05,2,1.72665
0.8,0.0554054,1.27027e-05,1,1.72921
0.8,0.0554054,1.27027e-05,2,1.71793
0.8,0.0554054,1.28378e-05,1,1.72512
0.8,0.0554054,1.28378e-05,2,1.71678
0.8,0.0554054,1.2973e-05,1,1.72405
0.8,0.0554054,1.2973e-05,2,1.71539
0.8,0.0554054,1.31081e-05,1,1.72247
0.8,0.0554054,1.31081e-05,2,1.71541
0.8,0.0554054,1.32432e-05,1,1.73417
0.8,0.0554054,1.32432e-05,2,1.71335
0.8,0.0554054,1.33784e-05,1,1.71551
0.8,0.0554054,1.33784e-05,2,1.72676
0.8,0.0554054,1.35135e-05,1,1.73046
0.8,0.0554054,1.35135e-05,2,1.73159
0.8,0.0554054,1.36486e-05,1,1.72295
0.8,0.0554054,1.36486e-05,2,1.72696
0.8,0.0554054,1.37838e-05,1,1.72545
0.8,0.0554054,1.37838e-05,2,1.72471
0.8,0.0554054,1.39189e-05,1,1.7115
0.8,0.0554054,1.39189e-05,2,1.72995
0.8,0.0554054,1.40541e-05,1,1.72923
0.8,0.0554054,1.40541e-05,2,1.71986
0.8,0.0554054,1.41892e-05,1,1.72588
0.8,0.0554054,1.41892e-05,2,1.72608
0.8,0.0554054,1.43243e-05,1,1.72701
0.8,0.0554054,1.43243e-05,2,1.72155
0.8,0.0554054,1.44595e-05,1,1.72069
0.8,0.0554054,1.44595e-05,2,1.73586
0.8,0.0554054,1.45946e-05,1,1.71912
0.8,0.0554054,1.45946e-05,2,1.72613
0.8,0.0554054,1.47297e-05,1,1.72804
0.8,0.0554054,1.47297e-05,2,1.7197
0.8,0.0554054,1.48649e-05,1,1.72676
0.8,0.0554054,1.48649e-05,2,1.72278
0.8,0.0554054,1.5e-05,1,1.72789
0.8,0.0554054,1.5e-05,2,1.72799
0.8,0.0581081,5e-06,1,1.71063
0.8,0.0581081,5e-06,2,1.72012
0.8,0.0581081,5.13514e-06,1,1.71861
0.8,0.0581081,5.13514e-06,2,1.72133
0.8,0.0581081,5.27027e-06,1,1.7137
0.8,0.0581081,5.27027e-06,2,1.72601
0.8,0.0581081,5.40541e-06,1,1.72566
0.8,0.0581081,5.40541e-06,2,1.71625
0.8,0.0581081,5.54054e-06,1,1.71607
0.8,0.0581081,5.54054e-06,2,1.71053
0.8,0.0581081,5.67568e-06,1,1.72781
0.8,0.0581081,5.67568e-06,2,1.70824
0.8,0.0581081,5.81081e-06,1,1.71673
0.8,0.0581081,5.81081e-06,2,1.71414
0.8,0.0581081,5.94595e-06,1,1.71836
0.8,0.0581081,5.94595e-06,2,1.71906
0.8,0.0581081,6.08108e-06,1,1.72421
0.8,0.0581081,6.08108e-06,2,1.72133
0.8,0.0581081,6.21622e-06,1,1.71975
0.8,0.0581081,6.21622e-06,2,1.71569
0.8,0.0581081,6.35135e-06,1,1.70883
0.8,0.0581081,6.35135e-06,2,1.72445
0.8,0.0581081,6.48649e-06,1,1.72361
0.8,0.0581081,6.48649e-06,2,1.71287
0.8,0.0581081,6.62162e-06,1,1.72087
0.8,0.0581081,6.62162e-06,2,1.70234
0.8,0.0581081,6.75676e-06,1,1.73002
0.8,0.0581081,6.75676e-06,2,1.72117
0.8,0.0581081,6.89189e-06,1,1.71519
0.8,0.0581081,6.89189e-06,2,1.71209
0.8,0.0581081,7.02703e-06,1,1.71971
0.8,0.0581081,7.02703e-06,2,1.71551
0.8,0.0581081,7.16216e-06,1,1.71831
0.8,0.0581081,7.16216e-06,2,1.72298
0.8,0.0581081,7.2973e-06,1,1.71133
0.8,0.0581081,7.2973e-06,2,1.72265
0.8,0.0581081,7.43243e-06,1,1.71409
0.8,0.0581081,7.43243e-06,2,1.7222
0.8,0.0581081,7.56757e-06,1,1.71538
0.8,0.0581081,7.56757e-06,2,1.72131
0.8,0.0581081,7.7027e-06,1,1.71198
0.8,0.0581081,7.7027e-06,2,1.71899
0.8,0.0581081,7.83784e-06,1,1.71447
0.8,0.0581081,7.83784e-06,2,1.71399
0.8,0.0581081,7.97297e-06,1,1.70965
0.8,0.0581081,7.97297e-06,2,1.71152
0.8,0.0581081,8.10811e-06,1,1.71717
0.8,0.0581081,8.10811e-06,2,1.72214
0.8,0.0581081,8.24324e-06,1,1.71596
0.8,0.0581081,8.24324e-06,2,1.71234
0.8,0.0581081,8.37838e-06,1,1.71238
0.8,0.0581081,8.37838e-06,2,1.72124
0.8,0.0581081,8.51351e-06,1,1.71529
0.8,0.0581081,8.51351e-06,2,1.72493
0.8,0.0581081,8.64865e-06,1,1.71675
0.8,0.0581081,8.64865e-06,2,1.72347
0.8,0.0581081,8.78378e-06,1,1.72454
0.8,0.0581081,8.78378e-06,2,1.71951
0.8,0.0581081,8.91892e-06,1,1.71838
0.8,0.0581081,8.91892e-06,2,1.72149
0.8,0.0581081,9.05405e-06,1,1.72607
0.8,0.0581081,9.05405e-06,2,1.70439
0.8,0.0581081,9.18919e-06,1,1.72238
0.8,0.0581081,9.18919e-06,2,1.71514
0.8,0.0581081,9.32432e-06,1,1.71713
0.8,0.0581081,9.32432e-06,2,1.70999
0.8,0.0581081,9.45946e-06,1,1.7195
0.8,0.0581081,9.45946e-06,2,1.71466
0.8,0.0581081,9.59459e-06,1,1.71839
0.8,0.0581081,9.59459e-06,2,1.7261
0.8,0.0581081,9.72973e-06,1,1.72269
0.8,0.0581081,9.72973e-06,2,1.715
0.8,0.0581081,9.86486e-06,1,1.72432
0.8,0.0581081,9.86486e-06,2,1.71668
0.8,0.0581081,1e-05,1,1.72735
0.8,0.0581081,1e-05,2,1.71765
0.8,0.0581081,1.01351e-05,1,1.70611
0.8,0.0581081,1.01351e-05,2,1.73006
0.8,0.0581081,1.02703e-05,1,1.71852
0.8,0.0581081,1.02703e-05,2,1.72164
0.8,0.0581081,1.04054e-05,1,1.72437
0.8,0.0581081,1.04054e-05,2,1.71508
0.8,0.0581081,1.05405e-05,1,1.72582
0.8,0.0581081,1.05405e-05,2,1.71338
0.8,0.0581081,1.06757e-05,1,1.72183
0.8,0.0581081,1.06757e-05,2,1.72602
0.8,0.0581081,1.08108e-05,1,1.71259
0.8,0.0581081,1.08108e-05,2,1.72554
0.8,0.0581081,1.09459e-05,1,1.72012
0.8,0.0581081,1.09459e-05,2,1.71101
0.8,0.0581081,1.10811e-05,1,1.7137
0.8,0.0581081,1.10811e-05,2,1.71836
0.8,0.0581081,1.12162e-05,1,1.71293
0.8,0.0581081,1.12162e-05,2,1.7254
0.8,0.0581081,1.13514e-05,1,1.72486
0.8,0.0581081,1.13514e-05,2,1.72308
0.8,0.0581081,1.14865e-05,1,1.72976
0.8,0.0581081,1.14865e-05,2,1.71709
0.8,0.0581081,1.16216e-05,1,1.72396
0.8,0.0581081,1.16216e-05,2,1.71229
0.8,0.0581081,1.17568e-05,1,1.719
0.8,0.0581081,1.17568e-05,2,1.71716
0.8,0.0581081,1.18919e-05,1,1.7231
0.8,0.0581081,1.18919e-05,2,1.71522
0.8,0.0581081,1.2027e-05,1,1.72363
0.8,0.0581081,1.2027e-05,2,1.7254
0.8,0.0581081,1.21622e-05,1,1.71757
0.8,0.0581081,1.21622e-05,2,1.71346
0.8,0.0581081,1.22973e-05,1,1.72021
0.8,0.0581081,1.22973e-05,2,1.72207
0.8,0.0581081,1.24324e-05,1,1.7163
0.8,0.0581081,1.24324e-05,2,1.71771
0.8,0.0581081,1.25676e-05,1,1.71703
0.8,0.0581081,1.25676e-05,2,1.72828
0.8,0.0581081,1.27027e-05,1,1.72277
0.8,0.0581081,1.27027e-05,2,1.72667
0.8,0.0581081,1.28378e-05,1,1.7168
0.8,0.0581081,1.28378e-05,2,1.72375
0.8,0.0581081,1.2973e-05,1,1.72923
0.8,0.0581081,1.2973e-05,2,1.72881
0.8,0.0581081,1.31081e-05,1,1.73057
0.8,0.0581081,1.31081e-05,2,1.72393
0.8,0.0581081,1.32432e-05,1,1.72461
