omega,gamma,theta_1,action,Count
0,0.131313,0.9,4,0.223732
0,0.131313,1,1,0.247843
0,0.131313,1,2,0.435365
0,0.131313,1,3,0.168628
0,0.131313,1,4,0.148164
0,0.131313,1.1,1,0.260825
0,0.131313,1.1,2,0.378791
0,0.131313,1.1,3,0.156283
0,0.131313,1.1,4,0.204101
0,0.141414,0.9,1,0.304211
0,0.141414,0.9,2,0.376026
0,0.141414,0.9,3,0.113994
0,0.141414,0.9,4,0.205769
0,0.141414,1,1,0.30786
0,0.141414,1,2,0.353143
0,0.141414,1,3,0.127601
0,0.141414,1,4,0.211395
0,0.141414,1.1,1,0.279024
0,0.141414,1.1,2,0.316415
0,0.141414,1.1,3,0.150405
0,0.141414,1.1,4,0.254156
0,0.151515,0.9,1,0.322199
0,0.151515,0.9,2,0.331057
0,0.151515,0.9,3,0.103553
0,0.151515,0.9,4,0.24319
0,0.151515,1,1,0.322489
0,0.151515,1,2,0.374987
0,0.151515,1,3,0.0861257
0,0.151515,1,4,0.216398
0,0.151515,1.1,1,0.294963
0,0.151515,1.1,2,0.337289
0,0.151515,1.1,3,0.130467
0,0.151515,1.1,4,0.237281
0,0.161616,0.9,1,0.2984
0,0.161616,0.9,2,0.403817
0,0.161616,0.9,3,0.107526
0,0.161616,0.9,4,0.190257
0,0.161616,1,1,0.312488
0,0.161616,1,2,0.399978
0,0.161616,1,3,0.0908906
0,0.161616,1,4,0.196643
0,0.161616,1.1,1,0.271895
0,0.161616,1.1,2,0.374793
0,0.161616,1.1,3,0.153206
0,0.161616,1.1,4,0.200105
0,0.171717,0.9,1,0.317948
0,0.171717,0.9,2,0.379282
0,0.171717,0.9,3,0.0947704
0,0.171717,0.9,4,0.207999
0,0.171717,1,1,0.303477
0,0.171717,1,2,0.366153
0,0.171717,1,3,0.104085
0,0.171717,1,4,0.226285
0,0.171717,1.1,1,0.354128
0,0.171717,1.1,2,0.363101
0,0.171717,1.1,3,0.07384
0,0.171717,1.1,4,0.208931
0,0.181818,0.9,1,0.305187
0,0.181818,0.9,2,0.425875
0,0.181818,0.9,3,0.089539
0,0.181818,0.9,4,0.1794
0,0.181818,1,1,0.338104
0,0.181818,1,2,0.353847
0,0.181818,1,3,0.0769813
0,0.181818,1,4,0.231067
0,0.181818,1.1,1,0.28951
0,0.181818,1.1,2,0.401251
0,0.181818,1.1,3,0.133295
0,0.181818,1.1,4,0.175944
0,0.191919,0.9,1,0.294205
0,0.191919,0.9,2,0.407641
0,0.191919,0.9,3,0.103514
0,0.191919,0.9,4,0.194641
0,0.191919,1,1,0.287786
0,0.191919,1,2,0.392186
0,0.191919,1,3,0.115638
0,0.191919,1,4,0.204391
0,0.191919,1.1,1,0.324783
0,0.191919,1.1,2,0.380475
0,0.191919,1.1,3,0.101713
0,0.191919,1.1,4,0.193029
0,0.20202,0.9,1,0.299064
0,0.20202,0.9,2,0.460423
0,0.20202,0.9,3,0.0681929
0,0.20202,0.9,4,0.172319
0,0.20202,1,1,0.302422
0,0.20202,1,2,0.433446
0,0.20202,1,3,0.0893303
0,0.20202,1,4,0.174802
0,0.20202,1.1,1,0.311586
0,0.20202,1.1,2,0.38823
0,0.20202,1.1,3,0.088273
0,0.20202,1.1,4,0.211911
0,0.212121,0.9,1,0.334116
0,0.212121,0.9,2,0.430853
0,0.212121,0.9,3,0.0434405
0,0.212121,0.9,4,0.19159
0,0.212121,1,1,0.312196
0,0.212121,1,2,0.37774
0,0.212121,1,3,0.0934347
0,0.212121,1,4,0.216629
0,0.212121,1.1,1,0.314233
0,0.212121,1.1,2,0.382883
0,0.212121,1.1,3,0.102145
0,0.212121,1.1,4,0.200738
0,0.222222,0.9,1,0.300378
0,0.222222,0.9,2,0.450972
0,0.222222,0.9,3,0.0611431
0,0.222222,0.9,4,0.187508
0,0.222222,1,1,0.322233
0,0.222222,1,2,0.433377
0,0.222222,1,3,0.0634709
0,0.222222,1,4,0.18092
0,0.222222,1.1,1,0.310869
0,0.222222,1.1,2,0.417927
0,0.222222,1.1,3,0.076951
0,0.222222,1.1,4,0.194253
0,0.232323,0.9,1,0.308293
0,0.232323,0.9,2,0.470003
0,0.232323,0.9,3,0.062029
0,0.232323,0.9,4,0.159676
0,0.232323,1,1,0.323485
0,0.232323,1,2,0.411161
0,0.232323,1,3,0.0557643
0,0.232323,1,4,0.20959
0,0.232323,1.1,1,0.335003
0,0.232323,1.1,2,0.411197
0,0.232323,1.1,3,0.0612807
0,0.232323,1.1,4,0.192519
0,0.242424,0.9,1,0.290333
0,0.242424,0.9,2,0.470261
0,0.242424,0.9,3,0.0725907
0,0.242424,0.9,4,0.166815
0,0.242424,1,1,0.308457
0,0.242424,1,2,0.429626
0,0.242424,1,3,0.0738673
0,0.242424,1,4,0.188049
0,0.242424,1.1,1,0.342606
0,0.242424,1.1,2,0.415691
0,0.242424,1.1,3,0.0517285
0,0.242424,1.1,4,0.189974
0,0.252525,0.9,1,0.305711
0,0.252525,0.9,2,0.427299
0,0.252525,0.9,3,0.0656659
0,0.252525,0.9,4,0.201324
0,0.252525,1,1,0.340302
0,0.252525,1,2,0.415182
0,0.252525,1,3,0.0527222
0,0.252525,1,4,0.191794
0,0.252525,1.1,1,0.305153
0,0.252525,1.1,2,0.434961
0,0.252525,1.1,3,0.079657
0,0.252525,1.1,4,0.180229
0,0.262626,0.9,1,0.286975
0,0.262626,0.9,2,0.456875
0,0.262626,0.9,3,0.0683902
0,0.262626,0.9,4,0.18776
0,0.262626,1,1,0.3054
0,0.262626,1,2,0.458903
0,0.262626,1,3,0.056214
0,0.262626,1,4,0.179483
0,0.262626,1.1,1,0.307159
0,0.262626,1.1,2,0.417013
0,0.262626,1.1,3,0.0904175
0,0.262626,1.1,4,0.185411
0,0.272727,0.9,1,0.310577
0,0.272727,0.9,2,0.435111
0,0.272727,0.9,3,0.0533196
0,0.272727,0.9,4,0.200992
0,0.272727,1,1,0.318012
0,0.272727,1,2,0.455683
0,0.272727,1,3,0.055965
0,0.272727,1,4,0.170341
0,0.272727,1.1,1,0.318332
0,0.272727,1.1,2,0.40879
0,0.272727,1.1,3,0.0743881
0,0.272727,1.1,4,0.19849
0,0.282828,0.9,1,0.313159
0,0.282828,0.9,2,0.426378
0,0.282828,0.9,3,0.0398672
0,0.282828,0.9,4,0.220596
0,0.282828,1,1,0.302679
0,0.282828,1,2,0.43715
0,0.282828,1,3,0.0716182
0,0.282828,1,4,0.188553
0,0.282828,1.1,1,0.303954
0,0.282828,1.1,2,0.420349
0,0.282828,1.1,3,0.0765778
0,0.282828,1.1,4,0.199119
0,0.292929,0.9,1,0.299089
0,0.292929,0.9,2,0.446134
0,0.292929,0.9,3,0.0494848
0,0.292929,0.9,4,0.205292
0,0.292929,1,1,0.325118
0,0.292929,1,2,0.414594
0,0.292929,1,3,0.0452595
0,0.292929,1,4,0.215028
0,0.292929,1.1,1,0.303956
0,0.292929,1.1,2,0.442473
0,0.292929,1.1,3,0.0714178
0,0.292929,1.1,4,0.182153
0,0.30303,0.9,1,0.298935
0,0.30303,0.9,2,0.440577
0,0.30303,0.9,3,0.0373749
0,0.30303,0.9,4,0.223113
0,0.30303,1,1,0.297651
0,0.30303,1,2,0.441663
0,0.30303,1,3,0.0632413
0,0.30303,1,4,0.197445
0,0.30303,1.1,1,0.334512
0,0.30303,1.1,2,0.392289
0,0.30303,1.1,3,0.0578693
0,0.30303,1.1,4,0.215329
0,0.313131,0.9,1,0.292181
0,0.313131,0.9,2,0.423529
0,0.313131,0.9,3,0.051734
0,0.313131,0.9,4,0.232556
0,0.313131,1,1,0.326806
0,0.313131,1,2,0.381069
0,0.313131,1,3,0.0471976
0,0.313131,1,4,0.244928
0,0.313131,1.1,1,0.304358
0,0.313131,1.1,2,0.45721
0,0.313131,1.1,3,0.0632751
0,0.313131,1.1,4,0.175157
0,0.323232,0.9,1,0.28282
0,0.323232,0.9,2,0.434441
0,0.323232,0.9,3,0.0446771
0,0.323232,0.9,4,0.238062
0,0.323232,1,1,0.307596
0,0.323232,1,2,0.419632
0,0.323232,1,3,0.0600924
0,0.323232,1,4,0.21268
0,0.323232,1.1,1,0.315689
0,0.323232,1.1,2,0.404074
0,0.323232,1.1,3,0.0610207
0,0.323232,1.1,4,0.219216
0,0.333333,0.9,1,0.258051
0,0.333333,0.9,2,0.482826
0,0.333333,0.9,3,0.0477252
0,0.333333,0.9,4,0.211398
0,0.333333,1,1,0.306815
0,0.333333,1,2,0.427643
0,0.333333,1,3,0.0528313
0,0.333333,1,4,0.212711
0,0.333333,1.1,1,0.318317
