omega,gamma,theta_1,cs
1,0.89899,1.1,0.283513
1,0.909091,0.9,0.389771
1,0.909091,1,0.338392
1,0.909091,1.1,0.286896
1,0.919192,0.9,0.392848
1,0.919192,1,0.345802
1,0.919192,1.1,0.288355
1,0.929293,0.9,0.39254
1,0.929293,1,0.344442
1,0.929293,1.1,0.286409
1,0.939394,0.9,0.395415
1,0.939394,1,0.347386
1,0.939394,1.1,0.288012
1,0.949495,0.9,0.398343
1,0.949495,1,0.344941
1,0.949495,1.1,0.288123
1,0.959596,0.9,0.391552
1,0.959596,1,0.349269
1,0.959596,1.1,0.287593
1,0.969697,0.9,0.396076
1,0.969697,1,0.350555
1,0.969697,1.1,0.288507
1,0.979798,0.9,0.394916
1,0.979798,1,0.348015
1,0.979798,1.1,0.29046
1,0.989899,0.9,0.399464
1,0.989899,1,0.347174
1,0.989899,1.1,0.291533
1,1,0.9,0.400109
1,1,1,0.349678
1,1,1.1,0.289217
