omega,gamma,theta_1,firm,profit
0,0.262626,0.9,1,0.116649
0,0.262626,0.9,2,0.134855
0,0.262626,1,1,0.106008
0,0.262626,1,2,0.127229
0,0.262626,1.1,1,0.0942393
0,0.262626,1.1,2,0.11831
0,0.272727,0.9,1,0.117262
0,0.272727,0.9,2,0.135791
0,0.272727,1,1,0.107033
0,0.272727,1,2,0.127358
0,0.272727,1.1,1,0.0956876
0,0.272727,1.1,2,0.116998
0,0.282828,0.9,1,0.117908
0,0.282828,0.9,2,0.136015
0,0.282828,1,1,0.107982
0,0.282828,1,2,0.126626
0,0.282828,1.1,1,0.0961008
0,0.282828,1.1,2,0.115892
0,0.292929,0.9,1,0.118477
0,0.292929,0.9,2,0.135996
0,0.292929,1,1,0.108999
0,0.292929,1,2,0.126237
0,0.292929,1.1,1,0.09776
0,0.292929,1.1,2,0.115613
0,0.30303,0.9,1,0.119907
0,0.30303,0.9,2,0.135588
0,0.30303,1,1,0.110071
0,0.30303,1,2,0.125157
0,0.30303,1.1,1,0.0990852
0,0.30303,1.1,2,0.115052
0,0.313131,0.9,1,0.119825
0,0.313131,0.9,2,0.136402
0,0.313131,1,1,0.109745
0,0.313131,1,2,0.125901
0,0.313131,1.1,1,0.098006
0,0.313131,1.1,2,0.115171
0,0.323232,0.9,1,0.121045
0,0.323232,0.9,2,0.136636
0,0.323232,1,1,0.110138
0,0.323232,1,2,0.125299
0,0.323232,1.1,1,0.0984167
0,0.323232,1.1,2,0.113485
0,0.333333,0.9,1,0.12129
0,0.333333,0.9,2,0.139261
0,0.333333,1,1,0.109865
0,0.333333,1,2,0.126233
0,0.333333,1.1,1,0.0993572
0,0.333333,1.1,2,0.113153
0,0.343434,0.9,1,0.121983
0,0.343434,0.9,2,0.13957
0,0.343434,1,1,0.111733
0,0.343434,1,2,0.125118
0,0.343434,1.1,1,0.0974413
0,0.343434,1.1,2,0.115503
0,0.353535,0.9,1,0.123815
0,0.353535,0.9,2,0.139186
0,0.353535,1,1,0.112281
0,0.353535,1,2,0.124584
0,0.353535,1.1,1,0.0992662
0,0.353535,1.1,2,0.113631
0,0.363636,0.9,1,0.125383
0,0.363636,0.9,2,0.140371
0,0.363636,1,1,0.111146
0,0.363636,1,2,0.127193
0,0.363636,1.1,1,0.0997562
0,0.363636,1.1,2,0.112284
0,0.373737,0.9,1,0.126688
0,0.373737,0.9,2,0.140384
0,0.373737,1,1,0.112243
0,0.373737,1,2,0.127664
0,0.373737,1.1,1,0.100004
0,0.373737,1.1,2,0.110868
0,0.383838,0.9,1,0.127081
0,0.383838,0.9,2,0.14159
0,0.383838,1,1,0.112917
0,0.383838,1,2,0.12709
0,0.383838,1.1,1,0.100226
0,0.383838,1.1,2,0.110076
0,0.393939,0.9,1,0.128839
0,0.393939,0.9,2,0.141067
0,0.393939,1,1,0.112754
0,0.393939,1,2,0.127129
0,0.393939,1.1,1,0.100051
0,0.393939,1.1,2,0.111163
0,0.40404,0.9,1,0.130434
0,0.40404,0.9,2,0.140824
0,0.40404,1,1,0.11483
0,0.40404,1,2,0.124609
0,0.40404,1.1,1,0.100805
0,0.40404,1.1,2,0.109888
0,0.414141,0.9,1,0.132253
0,0.414141,0.9,2,0.142184
0,0.414141,1,1,0.115369
0,0.414141,1,2,0.126369
0,0.414141,1.1,1,0.099847
0,0.414141,1.1,2,0.110094
0,0.424242,0.9,1,0.132262
0,0.424242,0.9,2,0.13938
0,0.424242,1,1,0.114834
0,0.424242,1,2,0.126426
0,0.424242,1.1,1,0.101017
0,0.424242,1.1,2,0.109423
0,0.434343,0.9,1,0.135276
0,0.434343,0.9,2,0.139075
0,0.434343,1,1,0.116989
0,0.434343,1,2,0.126036
0,0.434343,1.1,1,0.101419
0,0.434343,1.1,2,0.109709
0,0.444444,0.9,1,0.136164
0,0.444444,0.9,2,0.139165
0,0.444444,1,1,0.117721
0,0.444444,1,2,0.126872
0,0.444444,1.1,1,0.101017
0,0.444444,1.1,2,0.109853
0,0.454545,0.9,1,0.136572
0,0.454545,0.9,2,0.13787
0,0.454545,1,1,0.118549
0,0.454545,1,2,0.127358
0,0.454545,1.1,1,0.101957
0,0.454545,1.1,2,0.108749
0,0.464646,0.9,1,0.136634
0,0.464646,0.9,2,0.137065
0,0.464646,1,1,0.119576
0,0.464646,1,2,0.125786
0,0.464646,1.1,1,0.101298
0,0.464646,1.1,2,0.110247
0,0.474747,0.9,1,0.139446
0,0.474747,0.9,2,0.136826
0,0.474747,1,1,0.121275
0,0.474747,1,2,0.124285
0,0.474747,1.1,1,0.101641
0,0.474747,1.1,2,0.11049
0,0.484848,0.9,1,0.138896
0,0.484848,0.9,2,0.136084
0,0.484848,1,1,0.121147
0,0.484848,1,2,0.124469
0,0.484848,1.1,1,0.101319
0,0.484848,1.1,2,0.11082
0,0.494949,0.9,1,0.138998
0,0.494949,0.9,2,0.135453
0,0.494949,1,1,0.122625
0,0.494949,1,2,0.122979
0,0.494949,1.1,1,0.103222
0,0.494949,1.1,2,0.110157
0,0.505051,0.9,1,0.139592
0,0.505051,0.9,2,0.133246
0,0.505051,1,1,0.123283
0,0.505051,1,2,0.121669
0,0.505051,1.1,1,0.102978
0,0.505051,1.1,2,0.108648
0,0.515152,0.9,1,0.14108
0,0.515152,0.9,2,0.133481
0,0.515152,1,1,0.123576
0,0.515152,1,2,0.122016
0,0.515152,1.1,1,0.102988
0,0.515152,1.1,2,0.109146
0,0.525253,0.9,1,0.140698
0,0.525253,0.9,2,0.131407
0,0.525253,1,1,0.12399
0,0.525253,1,2,0.11967
0,0.525253,1.1,1,0.103674
0,0.525253,1.1,2,0.106517
0,0.535354,0.9,1,0.141888
0,0.535354,0.9,2,0.130648
0,0.535354,1,1,0.125638
0,0.535354,1,2,0.119075
0,0.535354,1.1,1,0.104896
0,0.535354,1.1,2,0.105771
0,0.545455,0.9,1,0.142984
0,0.545455,0.9,2,0.130104
0,0.545455,1,1,0.125933
0,0.545455,1,2,0.118136
0,0.545455,1.1,1,0.105152
0,0.545455,1.1,2,0.106166
0,0.555556,0.9,1,0.141741
0,0.555556,0.9,2,0.1305
0,0.555556,1,1,0.125616
0,0.555556,1,2,0.118072
0,0.555556,1.1,1,0.106066
0,0.555556,1.1,2,0.104948
0,0.565657,0.9,1,0.140593
0,0.565657,0.9,2,0.130191
0,0.565657,1,1,0.126473
0,0.565657,1,2,0.116712
0,0.565657,1.1,1,0.105431
0,0.565657,1.1,2,0.104258
0,0.575758,0.9,1,0.140636
0,0.575758,0.9,2,0.130783
0,0.575758,1,1,0.126333
0,0.575758,1,2,0.115614
0,0.575758,1.1,1,0.108358
0,0.575758,1.1,2,0.10242
0,0.585859,0.9,1,0.141323
0,0.585859,0.9,2,0.129679
0,0.585859,1,1,0.125967
0,0.585859,1,2,0.115353
0,0.585859,1.1,1,0.107481
0,0.585859,1.1,2,0.10214
0,0.59596,0.9,1,0.141446
0,0.59596,0.9,2,0.129723
0,0.59596,1,1,0.126928
0,0.59596,1,2,0.114147
0,0.59596,1.1,1,0.107009
0,0.59596,1.1,2,0.100195
0,0.606061,0.9,1,0.142343
0,0.606061,0.9,2,0.130297
0,0.606061,1,1,0.126377
0,0.606061,1,2,0.113209
0,0.606061,1.1,1,0.107822
0,0.606061,1.1,2,0.0990117
0,0.616162,0.9,1,0.143303
0,0.616162,0.9,2,0.128842
0,0.616162,1,1,0.124942
0,0.616162,1,2,0.114572
0,0.616162,1.1,1,0.109052
0,0.616162,1.1,2,0.0989785
0,0.626263,0.9,1,0.142541
0,0.626263,0.9,2,0.128901
0,0.626263,1,1,0.125891
0,0.626263,1,2,0.112794
0,0.626263,1.1,1,0.107858
0,0.626263,1.1,2,0.0958531
0,0.636364,0.9,1,0.143761
0,0.636364,0.9,2,0.128196
0,0.636364,1,1,0.125254
0,0.636364,1,2,0.11191
0,0.636364,1.1,1,0.109258
0,0.636364,1.1,2,0.0960563
0,0.646465,0.9,1,0.143858
0,0.646465,0.9,2,0.127439
0,0.646465,1,1,0.125647
0,0.646465,1,2,0.111915
0,0.646465,1.1,1,0.108759
0,0.646465,1.1,2,0.0954313
0,0.656566,0.9,1,0.14413
0,0.656566,0.9,2,0.126723
0,0.656566,1,1,0.126101
0,0.656566,1,2,0.111382
0,0.656566,1.1,1,0.108138
0,0.656566,1.1,2,0.0937718
0,0.666667,0.9,1,0.145486
0,0.666667,0.9,2,0.126303
