omega,gamma,theta_1,t
1,0.424242,0.9,1.23987e+06
1,0.424242,1,1.33839e+06
1,0.424242,1.1,1.38077e+06
1,0.434343,0.9,1.26446e+06
1,0.434343,1,1.29154e+06
1,0.434343,1.1,1.36341e+06
1,0.444444,0.9,1.26641e+06
1,0.444444,1,1.31707e+06
1,0.444444,1.1,1.36296e+06
1,0.454545,0.9,1.2206e+06
1,0.454545,1,1.28174e+06
1,0.454545,1.1,1.31951e+06
1,0.464646,0.9,1.26716e+06
1,0.464646,1,1.29571e+06
1,0.464646,1.1,1.30334e+06
1,0.474747,0.9,1.24991e+06
1,0.474747,1,1.27733e+06
1,0.474747,1.1,1.30895e+06
1,0.484848,0.9,1.26823e+06
1,0.484848,1,1.30806e+06
1,0.484848,1.1,1.28905e+06
1,0.494949,0.9,1.29537e+06
1,0.494949,1,1.28514e+06
1,0.494949,1.1,1.26994e+06
1,0.505051,0.9,1.37051e+06
1,0.505051,1,1.23816e+06
1,0.505051,1.1,1.2673e+06
1,0.515152,0.9,1.36155e+06
1,0.515152,1,1.24714e+06
1,0.515152,1.1,1.24418e+06
1,0.525253,0.9,1.37118e+06
1,0.525253,1,1.27134e+06
1,0.525253,1.1,1.21132e+06
1,0.535354,0.9,1.40313e+06
1,0.535354,1,1.29149e+06
1,0.535354,1.1,1.25829e+06
1,0.545455,0.9,1.41424e+06
1,0.545455,1,1.26377e+06
1,0.545455,1.1,1.22604e+06
1,0.555556,0.9,1.43227e+06
1,0.555556,1,1.27134e+06
1,0.555556,1.1,1.19386e+06
1,0.565657,0.9,1.45182e+06
1,0.565657,1,1.30435e+06
1,0.565657,1.1,1.21953e+06
1,0.575758,0.9,1.47388e+06
1,0.575758,1,1.35635e+06
1,0.575758,1.1,1.20429e+06
1,0.585859,0.9,1.51293e+06
1,0.585859,1,1.34334e+06
1,0.585859,1.1,1.19114e+06
1,0.59596,0.9,1.49677e+06
1,0.59596,1,1.35794e+06
1,0.59596,1.1,1.25421e+06
1,0.606061,0.9,1.52875e+06
1,0.606061,1,1.35828e+06
1,0.606061,1.1,1.21542e+06
1,0.616162,0.9,1.5106e+06
1,0.616162,1,1.42171e+06
1,0.616162,1.1,1.25813e+06
1,0.626263,0.9,1.61827e+06
1,0.626263,1,1.42732e+06
1,0.626263,1.1,1.24867e+06
1,0.636364,0.9,1.58714e+06
1,0.636364,1,1.42985e+06
1,0.636364,1.1,1.25261e+06
1,0.646465,0.9,1.56727e+06
1,0.646465,1,1.54668e+06
1,0.646465,1.1,1.2397e+06
1,0.656566,0.9,1.60596e+06
1,0.656566,1,1.49299e+06
1,0.656566,1.1,1.29957e+06
1,0.666667,0.9,1.63804e+06
1,0.666667,1,1.50699e+06
1,0.666667,1.1,1.30633e+06
1,0.676768,0.9,1.65894e+06
1,0.676768,1,1.59472e+06
1,0.676768,1.1,1.3263e+06
1,0.686869,0.9,1.57108e+06
1,0.686869,1,1.58986e+06
1,0.686869,1.1,1.35142e+06
1,0.69697,0.9,1.6345e+06
1,0.69697,1,1.5359e+06
1,0.69697,1.1,1.36868e+06
1,0.707071,0.9,1.65284e+06
1,0.707071,1,1.52786e+06
1,0.707071,1.1,1.40753e+06
1,0.717172,0.9,1.69218e+06
1,0.717172,1,1.58729e+06
1,0.717172,1.1,1.37498e+06
1,0.727273,0.9,1.64825e+06
1,0.727273,1,1.5594e+06
1,0.727273,1.1,1.38481e+06
1,0.737374,0.9,1.68752e+06
1,0.737374,1,1.56363e+06
1,0.737374,1.1,1.45511e+06
1,0.747475,0.9,1.75822e+06
1,0.747475,1,1.58945e+06
1,0.747475,1.1,1.41919e+06
1,0.757576,0.9,1.75999e+06
1,0.757576,1,1.54022e+06
1,0.757576,1.1,1.39335e+06
1,0.767677,0.9,1.72166e+06
1,0.767677,1,1.60459e+06
1,0.767677,1.1,1.38414e+06
1,0.777778,0.9,1.82571e+06
1,0.777778,1,1.62143e+06
1,0.777778,1.1,1.46191e+06
1,0.787879,0.9,1.77822e+06
1,0.787879,1,1.55241e+06
1,0.787879,1.1,1.391e+06
1,0.79798,0.9,1.80051e+06
1,0.79798,1,1.59871e+06
1,0.79798,1.1,1.51039e+06
1,0.808081,0.9,1.81575e+06
1,0.808081,1,1.71095e+06
1,0.808081,1.1,1.47158e+06
1,0.818182,0.9,1.97746e+06
1,0.818182,1,1.61631e+06
1,0.818182,1.1,1.44629e+06
1,0.828283,0.9,1.94329e+06
1,0.828283,1,1.64959e+06
1,0.828283,1.1,1.46397e+06
1,0.838384,0.9,1.89328e+06
1,0.838384,1,1.61563e+06
1,0.838384,1.1,1.38814e+06
1,0.848485,0.9,1.92223e+06
1,0.848485,1,1.63034e+06
1,0.848485,1.1,1.5201e+06
1,0.858586,0.9,1.9175e+06
1,0.858586,1,1.68137e+06
1,0.858586,1.1,1.42686e+06
1,0.868687,0.9,1.89965e+06
1,0.868687,1,1.74882e+06
1,0.868687,1.1,1.43887e+06
1,0.878788,0.9,2.05866e+06
1,0.878788,1,1.66679e+06
1,0.878788,1.1,1.47223e+06
1,0.888889,0.9,2.07597e+06
1,0.888889,1,1.75389e+06
1,0.888889,1.1,1.49423e+06
1,0.89899,0.9,1.97461e+06
1,0.89899,1,1.70651e+06
1,0.89899,1.1,1.4118e+06
1,0.909091,0.9,2.03269e+06
1,0.909091,1,1.6619e+06
1,0.909091,1.1,1.45937e+06
1,0.919192,0.9,2.06884e+06
1,0.919192,1,1.68875e+06
1,0.919192,1.1,1.47965e+06
1,0.929293,0.9,2.03478e+06
1,0.929293,1,1.73741e+06
1,0.929293,1.1,1.42592e+06
1,0.939394,0.9,2.19732e+06
1,0.939394,1,1.78663e+06
1,0.939394,1.1,1.42804e+06
1,0.949495,0.9,2.19185e+06
1,0.949495,1,1.76835e+06
1,0.949495,1.1,1.45482e+06
1,0.959596,0.9,2.17251e+06
1,0.959596,1,1.83704e+06
1,0.959596,1.1,1.44703e+06
1,0.969697,0.9,2.30543e+06
1,0.969697,1,1.70523e+06
1,0.969697,1.1,1.47836e+06
1,0.979798,0.9,2.28957e+06
1,0.979798,1,1.77527e+06
1,0.979798,1.1,1.49374e+06
1,0.989899,0.9,2.32002e+06
1,0.989899,1,1.8063e+06
1,0.989899,1.1,1.48848e+06
1,1,0.9,2.32753e+06
1,1,1,1.79413e+06
1,1,1.1,1.42652e+06
