omega,gamma,theta_1,t
0,0.505051,1,1.27443e+06
0,0.505051,1.1,1.25249e+06
0,0.515152,0.9,1.31683e+06
0,0.515152,1,1.27522e+06
0,0.515152,1.1,1.25717e+06
0,0.525253,0.9,1.32061e+06
0,0.525253,1,1.27323e+06
0,0.525253,1.1,1.25253e+06
0,0.535354,0.9,1.3483e+06
0,0.535354,1,1.25975e+06
0,0.535354,1.1,1.24258e+06
0,0.545455,0.9,1.35421e+06
0,0.545455,1,1.26108e+06
0,0.545455,1.1,1.23966e+06
0,0.555556,0.9,1.37258e+06
0,0.555556,1,1.26907e+06
0,0.555556,1.1,1.24331e+06
0,0.565657,0.9,1.38029e+06
0,0.565657,1,1.2832e+06
0,0.565657,1.1,1.24758e+06
0,0.575758,0.9,1.43276e+06
0,0.575758,1,1.29798e+06
0,0.575758,1.1,1.23422e+06
0,0.585859,0.9,1.39168e+06
0,0.585859,1,1.27203e+06
0,0.585859,1.1,1.23441e+06
0,0.59596,0.9,1.40314e+06
0,0.59596,1,1.31068e+06
0,0.59596,1.1,1.23622e+06
0,0.606061,0.9,1.41701e+06
0,0.606061,1,1.31282e+06
0,0.606061,1.1,1.22831e+06
0,0.616162,0.9,1.42596e+06
0,0.616162,1,1.31434e+06
0,0.616162,1.1,1.24341e+06
0,0.626263,0.9,1.41951e+06
0,0.626263,1,1.33062e+06
0,0.626263,1.1,1.25955e+06
0,0.636364,0.9,1.4822e+06
0,0.636364,1,1.31575e+06
0,0.636364,1.1,1.25026e+06
0,0.646465,0.9,1.46564e+06
0,0.646465,1,1.32075e+06
0,0.646465,1.1,1.28503e+06
0,0.656566,0.9,1.45232e+06
0,0.656566,1,1.3286e+06
0,0.656566,1.1,1.24698e+06
0,0.666667,0.9,1.46435e+06
0,0.666667,1,1.33504e+06
0,0.666667,1.1,1.26204e+06
0,0.676768,0.9,1.51646e+06
0,0.676768,1,1.3446e+06
0,0.676768,1.1,1.26095e+06
0,0.686869,0.9,1.5012e+06
0,0.686869,1,1.34258e+06
0,0.686869,1.1,1.27786e+06
0,0.69697,0.9,1.47754e+06
0,0.69697,1,1.32727e+06
0,0.69697,1.1,1.27102e+06
0,0.707071,0.9,1.48791e+06
0,0.707071,1,1.34853e+06
0,0.707071,1.1,1.2805e+06
0,0.717172,0.9,1.5531e+06
0,0.717172,1,1.3414e+06
0,0.717172,1.1,1.27105e+06
0,0.727273,0.9,1.57397e+06
0,0.727273,1,1.33511e+06
0,0.727273,1.1,1.25643e+06
0,0.737374,0.9,1.59156e+06
0,0.737374,1,1.35198e+06
0,0.737374,1.1,1.29227e+06
0,0.747475,0.9,1.54346e+06
0,0.747475,1,1.34831e+06
0,0.747475,1.1,1.27917e+06
0,0.757576,0.9,1.6003e+06
0,0.757576,1,1.37535e+06
0,0.757576,1.1,1.26922e+06
0,0.767677,0.9,1.62865e+06
0,0.767677,1,1.378e+06
0,0.767677,1.1,1.28827e+06
0,0.777778,0.9,1.63125e+06
0,0.777778,1,1.3731e+06
0,0.777778,1.1,1.29916e+06
0,0.787879,0.9,1.60988e+06
0,0.787879,1,1.3989e+06
0,0.787879,1.1,1.29278e+06
0,0.79798,0.9,1.64875e+06
0,0.79798,1,1.3907e+06
0,0.79798,1.1,1.28103e+06
0,0.808081,0.9,1.64561e+06
0,0.808081,1,1.42307e+06
0,0.808081,1.1,1.31719e+06
0,0.818182,0.9,1.70038e+06
0,0.818182,1,1.44374e+06
0,0.818182,1.1,1.33175e+06
0,0.828283,0.9,1.75097e+06
0,0.828283,1,1.40175e+06
0,0.828283,1.1,1.30719e+06
0,0.838384,0.9,1.73151e+06
0,0.838384,1,1.42044e+06
0,0.838384,1.1,1.29898e+06
0,0.848485,0.9,1.75345e+06
0,0.848485,1,1.4499e+06
0,0.848485,1.1,1.29994e+06
0,0.858586,0.9,1.74118e+06
0,0.858586,1,1.46522e+06
0,0.858586,1.1,1.32629e+06
0,0.868687,0.9,1.75822e+06
0,0.868687,1,1.45212e+06
0,0.868687,1.1,1.31086e+06
0,0.878788,0.9,1.75503e+06
