omega,alpha,beta,cs
0,0.05,5e-06,0.331184
0,0.05,5.13514e-06,0.332034
0,0.05,5.27027e-06,0.332922
0,0.05,5.40541e-06,0.333049
0,0.05,5.54054e-06,0.32937
0,0.05,5.67568e-06,0.331225
0,0.05,5.81081e-06,0.33122
0,0.05,5.94595e-06,0.329218
0,0.05,6.08108e-06,0.327762
0,0.05,6.21622e-06,0.334291
0,0.05,6.35135e-06,0.330824
0,0.05,6.48649e-06,0.329616
0,0.05,6.62162e-06,0.331525
0,0.05,6.75676e-06,0.328142
0,0.05,6.89189e-06,0.33363
0,0.05,7.02703e-06,0.330464
0,0.05,7.16216e-06,0.331088
0,0.05,7.2973e-06,0.328383
0,0.05,7.43243e-06,0.330274
0,0.05,7.56757e-06,0.329991
0,0.05,7.7027e-06,0.330373
0,0.05,7.83784e-06,0.32551
0,0.05,7.97297e-06,0.3284
0,0.05,8.10811e-06,0.329982
0,0.05,8.24324e-06,0.330032
0,0.05,8.37838e-06,0.327339
0,0.05,8.51351e-06,0.330657
0,0.05,8.64865e-06,0.329684
0,0.05,8.78378e-06,0.329898
0,0.05,8.91892e-06,0.328148
0,0.05,9.05405e-06,0.325772
0,0.05,9.18919e-06,0.325848
0,0.05,9.32432e-06,0.330648
0,0.05,9.45946e-06,0.328889
0,0.05,9.59459e-06,0.326511
0,0.05,9.72973e-06,0.328456
0,0.05,9.86486e-06,0.326504
0,0.05,1e-05,0.328998
0,0.05,1.01351e-05,0.32408
0,0.05,1.02703e-05,0.325272
0,0.05,1.04054e-05,0.326236
0,0.05,1.05405e-05,0.327148
0,0.05,1.06757e-05,0.325177
0,0.05,1.08108e-05,0.328917
0,0.05,1.09459e-05,0.325775
0,0.05,1.10811e-05,0.323955
0,0.05,1.12162e-05,0.327262
0,0.05,1.13514e-05,0.327999
0,0.05,1.14865e-05,0.325636
0,0.05,1.16216e-05,0.327159
0,0.05,1.17568e-05,0.327482
0,0.05,1.18919e-05,0.329943
0,0.05,1.2027e-05,0.323116
0,0.05,1.21622e-05,0.329235
0,0.05,1.22973e-05,0.325301
0,0.05,1.24324e-05,0.32261
0,0.05,1.25676e-05,0.325309
0,0.05,1.27027e-05,0.324733
0,0.05,1.28378e-05,0.32717
0,0.05,1.2973e-05,0.327029
0,0.05,1.31081e-05,0.32675
0,0.05,1.32432e-05,0.324392
0,0.05,1.33784e-05,0.328329
0,0.05,1.35135e-05,0.325333
0,0.05,1.36486e-05,0.325354
0,0.05,1.37838e-05,0.323821
0,0.05,1.39189e-05,0.324153
0,0.05,1.40541e-05,0.323374
0,0.05,1.41892e-05,0.321627
0,0.05,1.43243e-05,0.324714
0,0.05,1.44595e-05,0.323235
0,0.05,1.45946e-05,0.326201
0,0.05,1.47297e-05,0.324921
0,0.05,1.48649e-05,0.323302
0,0.05,1.5e-05,0.32193
0,0.0527027,5e-06,0.334754
0,0.0527027,5.13514e-06,0.333085
0,0.0527027,5.27027e-06,0.331993
0,0.0527027,5.40541e-06,0.334753
0,0.0527027,5.54054e-06,0.335752
0,0.0527027,5.67568e-06,0.335225
0,0.0527027,5.81081e-06,0.331991
0,0.0527027,5.94595e-06,0.330113
0,0.0527027,6.08108e-06,0.333255
0,0.0527027,6.21622e-06,0.332695
0,0.0527027,6.35135e-06,0.327789
0,0.0527027,6.48649e-06,0.332968
0,0.0527027,6.62162e-06,0.331698
0,0.0527027,6.75676e-06,0.329761
0,0.0527027,6.89189e-06,0.332674
0,0.0527027,7.02703e-06,0.33116
0,0.0527027,7.16216e-06,0.327687
0,0.0527027,7.2973e-06,0.328797
0,0.0527027,7.43243e-06,0.330092
0,0.0527027,7.56757e-06,0.33094
0,0.0527027,7.7027e-06,0.333035
0,0.0527027,7.83784e-06,0.331163
0,0.0527027,7.97297e-06,0.329365
0,0.0527027,8.10811e-06,0.32993
0,0.0527027,8.24324e-06,0.328867
0,0.0527027,8.37838e-06,0.330771
0,0.0527027,8.51351e-06,0.330082
0,0.0527027,8.64865e-06,0.330476
0,0.0527027,8.78378e-06,0.328712
0,0.0527027,8.91892e-06,0.327861
0,0.0527027,9.05405e-06,0.331679
0,0.0527027,9.18919e-06,0.328778
0,0.0527027,9.32432e-06,0.330574
0,0.0527027,9.45946e-06,0.329135
0,0.0527027,9.59459e-06,0.328679
0,0.0527027,9.72973e-06,0.325932
0,0.0527027,9.86486e-06,0.328692
0,0.0527027,1e-05,0.329953
0,0.0527027,1.01351e-05,0.322568
0,0.0527027,1.02703e-05,0.326185
0,0.0527027,1.04054e-05,0.329383
0,0.0527027,1.05405e-05,0.327051
0,0.0527027,1.06757e-05,0.328938
0,0.0527027,1.08108e-05,0.324574
0,0.0527027,1.09459e-05,0.327918
0,0.0527027,1.10811e-05,0.330539
0,0.0527027,1.12162e-05,0.325682
0,0.0527027,1.13514e-05,0.327261
0,0.0527027,1.14865e-05,0.32974
0,0.0527027,1.16216e-05,0.325281
0,0.0527027,1.17568e-05,0.327643
0,0.0527027,1.18919e-05,0.325004
0,0.0527027,1.2027e-05,0.328322
0,0.0527027,1.21622e-05,0.327559
0,0.0527027,1.22973e-05,0.326634
0,0.0527027,1.24324e-05,0.327023
0,0.0527027,1.25676e-05,0.327093
0,0.0527027,1.27027e-05,0.326108
0,0.0527027,1.28378e-05,0.325999
0,0.0527027,1.2973e-05,0.327928
0,0.0527027,1.31081e-05,0.324434
0,0.0527027,1.32432e-05,0.324789
0,0.0527027,1.33784e-05,0.325614
0,0.0527027,1.35135e-05,0.325877
0,0.0527027,1.36486e-05,0.322918
0,0.0527027,1.37838e-05,0.323857
0,0.0527027,1.39189e-05,0.326844
0,0.0527027,1.40541e-05,0.326625
0,0.0527027,1.41892e-05,0.322912
0,0.0527027,1.43243e-05,0.328509
0,0.0527027,1.44595e-05,0.323559
0,0.0527027,1.45946e-05,0.322204
0,0.0527027,1.47297e-05,0.323443
0,0.0527027,1.48649e-05,0.32535
0,0.0527027,1.5e-05,0.323179
0,0.0554054,5e-06,0.336372
0,0.0554054,5.13514e-06,0.335681
0,0.0554054,5.27027e-06,0.335565
0,0.0554054,5.40541e-06,0.33556
0,0.0554054,5.54054e-06,0.332495
0,0.0554054,5.67568e-06,0.333947
0,0.0554054,5.81081e-06,0.335733
0,0.0554054,5.94595e-06,0.334236
0,0.0554054,6.08108e-06,0.332593
0,0.0554054,6.21622e-06,0.336141
0,0.0554054,6.35135e-06,0.334491
0,0.0554054,6.48649e-06,0.334273
0,0.0554054,6.62162e-06,0.335605
0,0.0554054,6.75676e-06,0.333329
0,0.0554054,6.89189e-06,0.333509
0,0.0554054,7.02703e-06,0.332275
0,0.0554054,7.16216e-06,0.332879
0,0.0554054,7.2973e-06,0.33508
0,0.0554054,7.43243e-06,0.330429
0,0.0554054,7.56757e-06,0.3359
0,0.0554054,7.7027e-06,0.329751
0,0.0554054,7.83784e-06,0.332657
0,0.0554054,7.97297e-06,0.333216
0,0.0554054,8.10811e-06,0.331537
0,0.0554054,8.24324e-06,0.330546
0,0.0554054,8.37838e-06,0.332762
0,0.0554054,8.51351e-06,0.329143
0,0.0554054,8.64865e-06,0.333664
0,0.0554054,8.78378e-06,0.331472
0,0.0554054,8.91892e-06,0.329903
0,0.0554054,9.05405e-06,0.335006
0,0.0554054,9.18919e-06,0.330154
0,0.0554054,9.32432e-06,0.332117
0,0.0554054,9.45946e-06,0.331452
0,0.0554054,9.59459e-06,0.328492
0,0.0554054,9.72973e-06,0.328013
0,0.0554054,9.86486e-06,0.327489
0,0.0554054,1e-05,0.329135
0,0.0554054,1.01351e-05,0.330062
0,0.0554054,1.02703e-05,0.328344
0,0.0554054,1.04054e-05,0.325323
0,0.0554054,1.05405e-05,0.33112
0,0.0554054,1.06757e-05,0.330107
0,0.0554054,1.08108e-05,0.327275
0,0.0554054,1.09459e-05,0.331074
0,0.0554054,1.10811e-05,0.327573
0,0.0554054,1.12162e-05,0.330048
0,0.0554054,1.13514e-05,0.328474
0,0.0554054,1.14865e-05,0.332171
0,0.0554054,1.16216e-05,0.328978
0,0.0554054,1.17568e-05,0.329218
0,0.0554054,1.18919e-05,0.329617
0,0.0554054,1.2027e-05,0.328698
0,0.0554054,1.21622e-05,0.329306
0,0.0554054,1.22973e-05,0.329998
0,0.0554054,1.24324e-05,0.328878
0,0.0554054,1.25676e-05,0.328641
