omega,alpha,beta,firm,profit
0,0.05,1.39189e-05,2,0.133621
0,0.05,1.40541e-05,1,0.132978
0,0.05,1.40541e-05,2,0.134508
0,0.05,1.41892e-05,1,0.133426
0,0.05,1.41892e-05,2,0.133844
0,0.05,1.43243e-05,1,0.133894
0,0.05,1.43243e-05,2,0.134244
0,0.05,1.44595e-05,1,0.132964
0,0.05,1.44595e-05,2,0.13355
0,0.05,1.45946e-05,1,0.133559
0,0.05,1.45946e-05,2,0.133741
0,0.05,1.47297e-05,1,0.133042
0,0.05,1.47297e-05,2,0.133353
0,0.05,1.48649e-05,1,0.134909
0,0.05,1.48649e-05,2,0.133189
0,0.05,1.5e-05,1,0.133585
0,0.05,1.5e-05,2,0.13473
0,0.0527027,5e-06,1,0.130008
0,0.0527027,5e-06,2,0.128651
0,0.0527027,5.13514e-06,1,0.129562
0,0.0527027,5.13514e-06,2,0.130207
0,0.0527027,5.27027e-06,1,0.129816
0,0.0527027,5.27027e-06,2,0.129477
0,0.0527027,5.40541e-06,1,0.12951
0,0.0527027,5.40541e-06,2,0.130319
0,0.0527027,5.54054e-06,1,0.129254
0,0.0527027,5.54054e-06,2,0.12857
0,0.0527027,5.67568e-06,1,0.130249
0,0.0527027,5.67568e-06,2,0.129537
0,0.0527027,5.81081e-06,1,0.128922
0,0.0527027,5.81081e-06,2,0.129702
0,0.0527027,5.94595e-06,1,0.130453
0,0.0527027,5.94595e-06,2,0.130249
0,0.0527027,6.08108e-06,1,0.131091
0,0.0527027,6.08108e-06,2,0.130549
0,0.0527027,6.21622e-06,1,0.130178
0,0.0527027,6.21622e-06,2,0.129463
0,0.0527027,6.35135e-06,1,0.130594
0,0.0527027,6.35135e-06,2,0.130826
0,0.0527027,6.48649e-06,1,0.130511
0,0.0527027,6.48649e-06,2,0.130925
0,0.0527027,6.62162e-06,1,0.130512
0,0.0527027,6.62162e-06,2,0.130358
0,0.0527027,6.75676e-06,1,0.131497
0,0.0527027,6.75676e-06,2,0.131672
0,0.0527027,6.89189e-06,1,0.131197
0,0.0527027,6.89189e-06,2,0.13072
0,0.0527027,7.02703e-06,1,0.130926
0,0.0527027,7.02703e-06,2,0.13062
0,0.0527027,7.16216e-06,1,0.131485
