omega,alpha,beta,t
0,0.0527027,1.27027e-05,854819
0,0.0527027,1.28378e-05,839844
0,0.0527027,1.2973e-05,859312
0,0.0527027,1.31081e-05,846110
0,0.0527027,1.32432e-05,831615
0,0.0527027,1.33784e-05,843169
0,0.0527027,1.35135e-05,818638
0,0.0527027,1.36486e-05,792946
0,0.0527027,1.37838e-05,830802
0,0.0527027,1.39189e-05,792642
0,0.0527027,1.40541e-05,783701
0,0.0527027,1.41892e-05,799523
0,0.0527027,1.43243e-05,769660
0,0.0527027,1.44595e-05,767726
0,0.0527027,1.45946e-05,798043
0,0.0527027,1.47297e-05,794306
0,0.0527027,1.48649e-05,773966
0,0.0527027,1.5e-05,754495
0,0.0554054,5e-06,2.19997e+06
0,0.0554054,5.13514e-06,2.09939e+06
0,0.0554054,5.27027e-06,2.07548e+06
0,0.0554054,5.40541e-06,1.98735e+06
0,0.0554054,5.54054e-06,1.95249e+06
0,0.0554054,5.67568e-06,1.9275e+06
0,0.0554054,5.81081e-06,1.85336e+06
0,0.0554054,5.94595e-06,1.82718e+06
0,0.0554054,6.08108e-06,1.80364e+06
0,0.0554054,6.21622e-06,1.76505e+06
0,0.0554054,6.35135e-06,1.70558e+06
0,0.0554054,6.48649e-06,1.68459e+06
0,0.0554054,6.62162e-06,1.6349e+06
0,0.0554054,6.75676e-06,1.6062e+06
0,0.0554054,6.89189e-06,1.57982e+06
0,0.0554054,7.02703e-06,1.52998e+06
0,0.0554054,7.16216e-06,1.49889e+06
0,0.0554054,7.2973e-06,1.51886e+06
0,0.0554054,7.43243e-06,1.45514e+06
0,0.0554054,7.56757e-06,1.41642e+06
0,0.0554054,7.7027e-06,1.39812e+06
0,0.0554054,7.83784e-06,1.36925e+06
0,0.0554054,7.97297e-06,1.36967e+06
0,0.0554054,8.10811e-06,1.34991e+06
0,0.0554054,8.24324e-06,1.32548e+06
0,0.0554054,8.37838e-06,1.29185e+06
0,0.0554054,8.51351e-06,1.2466e+06
0,0.0554054,8.64865e-06,1.26437e+06
0,0.0554054,8.78378e-06,1.25466e+06
0,0.0554054,8.91892e-06,1.23761e+06
0,0.0554054,9.05405e-06,1.20153e+06
0,0.0554054,9.18919e-06,1.16014e+06
0,0.0554054,9.32432e-06,1.16281e+06
0,0.0554054,9.45946e-06,1.15528e+06
0,0.0554054,9.59459e-06,1.15546e+06
0,0.0554054,9.72973e-06,1.10966e+06
0,0.0554054,9.86486e-06,1.07616e+06
0,0.0554054,1e-05,1.1033e+06
0,0.0554054,1.01351e-05,1.07819e+06
0,0.0554054,1.02703e-05,1.07481e+06
0,0.0554054,1.04054e-05,1.02548e+06
0,0.0554054,1.05405e-05,1.03596e+06
0,0.0554054,1.06757e-05,1.0322e+06
0,0.0554054,1.08108e-05,1.0228e+06
0,0.0554054,1.09459e-05,1.00833e+06
0,0.0554054,1.10811e-05,962593
0,0.0554054,1.12162e-05,978107
0,0.0554054,1.13514e-05,937576
0,0.0554054,1.14865e-05,940777
0,0.0554054,1.16216e-05,947618
0,0.0554054,1.17568e-05,924112
0,0.0554054,1.18919e-05,901030
0,0.0554054,1.2027e-05,904878
0,0.0554054,1.21622e-05,920312
0,0.0554054,1.22973e-05,892742
0,0.0554054,1.24324e-05,882170
0,0.0554054,1.25676e-05,863960
0,0.0554054,1.27027e-05,869366
0,0.0554054,1.28378e-05,866075
0,0.0554054,1.2973e-05,883464
0,0.0554054,1.31081e-05,842796
0,0.0554054,1.32432e-05,846821
0,0.0554054,1.33784e-05,830044
0,0.0554054,1.35135e-05,837240
0,0.0554054,1.36486e-05,817058
0,0.0554054,1.37838e-05,817097
0,0.0554054,1.39189e-05,807831
0,0.0554054,1.40541e-05,818863
0,0.0554054,1.41892e-05,812356
0,0.0554054,1.43243e-05,776616
0,0.0554054,1.44595e-05,796958
0,0.0554054,1.45946e-05,789118
0,0.0554054,1.47297e-05,778783
0,0.0554054,1.48649e-05,792044
0,0.0554054,1.5e-05,782291
0,0.0581081,5e-06,2.19753e+06
0,0.0581081,5.13514e-06,2.10691e+06
0,0.0581081,5.27027e-06,2.07691e+06
0,0.0581081,5.40541e-06,2.0441e+06
0,0.0581081,5.54054e-06,2.02536e+06
0,0.0581081,5.67568e-06,1.97021e+06
0,0.0581081,5.81081e-06,1.89247e+06
0,0.0581081,5.94595e-06,1.85947e+06
0,0.0581081,6.08108e-06,1.82702e+06
0,0.0581081,6.21622e-06,1.78345e+06
0,0.0581081,6.35135e-06,1.72666e+06
0,0.0581081,6.48649e-06,1.68895e+06
0,0.0581081,6.62162e-06,1.67449e+06
0,0.0581081,6.75676e-06,1.64199e+06
0,0.0581081,6.89189e-06,1.62174e+06
0,0.0581081,7.02703e-06,1.58245e+06
0,0.0581081,7.16216e-06,1.53717e+06
0,0.0581081,7.2973e-06,1.50779e+06
0,0.0581081,7.43243e-06,1.4889e+06
0,0.0581081,7.56757e-06,1.48829e+06
0,0.0581081,7.7027e-06,1.40981e+06
0,0.0581081,7.83784e-06,1.38872e+06
0,0.0581081,7.97297e-06,1.4027e+06
0,0.0581081,8.10811e-06,1.3863e+06
0,0.0581081,8.24324e-06,1.33834e+06
0,0.0581081,8.37838e-06,1.29133e+06
0,0.0581081,8.51351e-06,1.26055e+06
0,0.0581081,8.64865e-06,1.27545e+06
0,0.0581081,8.78378e-06,1.25035e+06
0,0.0581081,8.91892e-06,1.23925e+06
0,0.0581081,9.05405e-06,1.20281e+06
0,0.0581081,9.18919e-06,1.20366e+06
0,0.0581081,9.32432e-06,1.20043e+06
0,0.0581081,9.45946e-06,1.17321e+06
0,0.0581081,9.59459e-06,1.13361e+06
0,0.0581081,9.72973e-06,1.12465e+06
0,0.0581081,9.86486e-06,1.10202e+06
0,0.0581081,1e-05,1.10164e+06
0,0.0581081,1.01351e-05,1.09298e+06
0,0.0581081,1.02703e-05,1.1077e+06
0,0.0581081,1.04054e-05,1.06803e+06
0,0.0581081,1.05405e-05,1.03982e+06
0,0.0581081,1.06757e-05,1.02892e+06
0,0.0581081,1.08108e-05,1.03308e+06
0,0.0581081,1.09459e-05,1.0193e+06
0,0.0581081,1.10811e-05,1.001e+06
0,0.0581081,1.12162e-05,969786
0,0.0581081,1.13514e-05,966712
0,0.0581081,1.14865e-05,971231
0,0.0581081,1.16216e-05,965142
0,0.0581081,1.17568e-05,972428
0,0.0581081,1.18919e-05,925437
0,0.0581081,1.2027e-05,925263
0,0.0581081,1.21622e-05,908201
0,0.0581081,1.22973e-05,921266
0,0.0581081,1.24324e-05,877897
0,0.0581081,1.25676e-05,872812
0,0.0581081,1.27027e-05,912802
0,0.0581081,1.28378e-05,890342
0,0.0581081,1.2973e-05,848397
0,0.0581081,1.31081e-05,833641
0,0.0581081,1.32432e-05,859463
0,0.0581081,1.33784e-05,834053
0,0.0581081,1.35135e-05,835427
0,0.0581081,1.36486e-05,851509
0,0.0581081,1.37838e-05,823241
0,0.0581081,1.39189e-05,826278
0,0.0581081,1.40541e-05,787223
0,0.0581081,1.41892e-05,798581
0,0.0581081,1.43243e-05,799163
0,0.0581081,1.44595e-05,787032
0,0.0581081,1.45946e-05,794472
0,0.0581081,1.47297e-05,771611
0,0.0581081,1.48649e-05,752349
0,0.0581081,1.5e-05,781442
0,0.0608108,5e-06,2.18491e+06
0,0.0608108,5.13514e-06,2.16255e+06
0,0.0608108,5.27027e-06,2.05171e+06
0,0.0608108,5.40541e-06,2.05442e+06
0,0.0608108,5.54054e-06,2.00551e+06
0,0.0608108,5.67568e-06,1.95434e+06
0,0.0608108,5.81081e-06,1.88994e+06
0,0.0608108,5.94595e-06,1.86322e+06
0,0.0608108,6.08108e-06,1.78832e+06
0,0.0608108,6.21622e-06,1.78487e+06
0,0.0608108,6.35135e-06,1.76798e+06
0,0.0608108,6.48649e-06,1.71481e+06
0,0.0608108,6.62162e-06,1.70684e+06
0,0.0608108,6.75676e-06,1.63028e+06
0,0.0608108,6.89189e-06,1.61927e+06
0,0.0608108,7.02703e-06,1.57474e+06
0,0.0608108,7.16216e-06,1.5708e+06
0,0.0608108,7.2973e-06,1.5171e+06
0,0.0608108,7.43243e-06,1.48398e+06
0,0.0608108,7.56757e-06,1.46332e+06
0,0.0608108,7.7027e-06,1.4489e+06
0,0.0608108,7.83784e-06,1.42093e+06
0,0.0608108,7.97297e-06,1.37616e+06
0,0.0608108,8.10811e-06,1.37648e+06
0,0.0608108,8.24324e-06,1.35535e+06
0,0.0608108,8.37838e-06,1.30108e+06
0,0.0608108,8.51351e-06,1.31912e+06
0,0.0608108,8.64865e-06,1.26041e+06
0,0.0608108,8.78378e-06,1.27248e+06
0,0.0608108,8.91892e-06,1.2283e+06
0,0.0608108,9.05405e-06,1.20225e+06
0,0.0608108,9.18919e-06,1.21753e+06
0,0.0608108,9.32432e-06,1.1959e+06
0,0.0608108,9.45946e-06,1.19328e+06
0,0.0608108,9.59459e-06,1.12512e+06
0,0.0608108,9.72973e-06,1.14652e+06
0,0.0608108,9.86486e-06,1.11692e+06
0,0.0608108,1e-05,1.10248e+06
0,0.0608108,1.01351e-05,1.11705e+06
0,0.0608108,1.02703e-05,1.07954e+06
0,0.0608108,1.04054e-05,1.0608e+06
0,0.0608108,1.05405e-05,1.05124e+06
0,0.0608108,1.06757e-05,1.04306e+06
0,0.0608108,1.08108e-05,1.03015e+06
0,0.0608108,1.09459e-05,1.00576e+06
0,0.0608108,1.10811e-05,979849
0,0.0608108,1.12162e-05,984483
0,0.0608108,1.13514e-05,975253
0,0.0608108,1.14865e-05,975956
0,0.0608108,1.16216e-05,960985
0,0.0608108,1.17568e-05,941417
0,0.0608108,1.18919e-05,937587
0,0.0608108,1.2027e-05,920385
0,0.0608108,1.21622e-05,942694
0,0.0608108,1.22973e-05,937496
0,0.0608108,1.24324e-05,907453
0,0.0608108,1.25676e-05,913765
0,0.0608108,1.27027e-05,918888
0,0.0608108,1.28378e-05,874094
0,0.0608108,1.2973e-05,861804
0,0.0608108,1.31081e-05,863499
0,0.0608108,1.32432e-05,868716
0,0.0608108,1.33784e-05,865378
0,0.0608108,1.35135e-05,840714
0,0.0608108,1.36486e-05,845141
0,0.0608108,1.37838e-05,827125
0,0.0608108,1.39189e-05,809991
0,0.0608108,1.40541e-05,832550
0,0.0608108,1.41892e-05,812571
0,0.0608108,1.43243e-05,821964
0,0.0608108,1.44595e-05,786838
0,0.0608108,1.45946e-05,794268
0,0.0608108,1.47297e-05,790802
0,0.0608108,1.48649e-05,765147
0,0.0608108,1.5e-05,776590
0,0.0635135,5e-06,2.21129e+06
0,0.0635135,5.13514e-06,2.11887e+06
0,0.0635135,5.27027e-06,2.12032e+06
0,0.0635135,5.40541e-06,2.06809e+06
0,0.0635135,5.54054e-06,2.02427e+06
0,0.0635135,5.67568e-06,1.94696e+06
0,0.0635135,5.81081e-06,1.92468e+06
0,0.0635135,5.94595e-06,1.85618e+06
0,0.0635135,6.08108e-06,1.8489e+06
0,0.0635135,6.21622e-06,1.78583e+06
0,0.0635135,6.35135e-06,1.77468e+06
0,0.0635135,6.48649e-06,1.67859e+06
0,0.0635135,6.62162e-06,1.66272e+06
0,0.0635135,6.75676e-06,1.65086e+06
0,0.0635135,6.89189e-06,1.60549e+06
0,0.0635135,7.02703e-06,1.58953e+06
0,0.0635135,7.16216e-06,1.57262e+06
0,0.0635135,7.2973e-06,1.5643e+06
0,0.0635135,7.43243e-06,1.50937e+06
0,0.0635135,7.56757e-06,1.50326e+06
0,0.0635135,7.7027e-06,1.45249e+06
0,0.0635135,7.83784e-06,1.45905e+06
0,0.0635135,7.97297e-06,1.37987e+06
0,0.0635135,8.10811e-06,1.42014e+06
0,0.0635135,8.24324e-06,1.3543e+06
0,0.0635135,8.37838e-06,1.35439e+06
0,0.0635135,8.51351e-06,1.32823e+06
0,0.0635135,8.64865e-06,1.27804e+06
0,0.0635135,8.78378e-06,1.27519e+06
0,0.0635135,8.91892e-06,1.27363e+06
0,0.0635135,9.05405e-06,1.22729e+06
0,0.0635135,9.18919e-06,1.23354e+06
0,0.0635135,9.32432e-06,1.19542e+06
0,0.0635135,9.45946e-06,1.16889e+06
0,0.0635135,9.59459e-06,1.15195e+06
0,0.0635135,9.72973e-06,1.1598e+06
0,0.0635135,9.86486e-06,1.16504e+06
0,0.0635135,1e-05,1.13213e+06
0,0.0635135,1.01351e-05,1.10467e+06
0,0.0635135,1.02703e-05,1.0907e+06
0,0.0635135,1.04054e-05,1.06641e+06
0,0.0635135,1.05405e-05,1.05378e+06
0,0.0635135,1.06757e-05,1.03073e+06
0,0.0635135,1.08108e-05,1.0232e+06
0,0.0635135,1.09459e-05,1.01123e+06
0,0.0635135,1.10811e-05,1.02902e+06
0,0.0635135,1.12162e-05,993823
0,0.0635135,1.13514e-05,1.00885e+06
0,0.0635135,1.14865e-05,962367
0,0.0635135,1.16216e-05,972630
0,0.0635135,1.17568e-05,966760
0,0.0635135,1.18919e-05,947137
0,0.0635135,1.2027e-05,932107
0,0.0635135,1.21622e-05,934304
0,0.0635135,1.22973e-05,915217
0,0.0635135,1.24324e-05,905891
0,0.0635135,1.25676e-05,906859
0,0.0635135,1.27027e-05,919641
0,0.0635135,1.28378e-05,876541
0,0.0635135,1.2973e-05,898551
0,0.0635135,1.31081e-05,868457
0,0.0635135,1.32432e-05,875839
0,0.0635135,1.33784e-05,838944
0,0.0635135,1.35135e-05,865709
0,0.0635135,1.36486e-05,845112
0,0.0635135,1.37838e-05,827705
0,0.0635135,1.39189e-05,826438
0,0.0635135,1.40541e-05,795421
0,0.0635135,1.41892e-05,833148
0,0.0635135,1.43243e-05,807076
0,0.0635135,1.44595e-05,790752
0,0.0635135,1.45946e-05,787565
0,0.0635135,1.47297e-05,777000
0,0.0635135,1.48649e-05,809995
0,0.0635135,1.5e-05,760573
0,0.0662162,5e-06,2.21449e+06
0,0.0662162,5.13514e-06,2.1619e+06
0,0.0662162,5.27027e-06,2.11401e+06
0,0.0662162,5.40541e-06,2.0181e+06
0,0.0662162,5.54054e-06,2.04805e+06
0,0.0662162,5.67568e-06,1.99228e+06
0,0.0662162,5.81081e-06,1.90884e+06
0,0.0662162,5.94595e-06,1.88726e+06
0,0.0662162,6.08108e-06,1.80622e+06
0,0.0662162,6.21622e-06,1.78245e+06
0,0.0662162,6.35135e-06,1.75423e+06
0,0.0662162,6.48649e-06,1.71752e+06
0,0.0662162,6.62162e-06,1.68122e+06
0,0.0662162,6.75676e-06,1.67696e+06
0,0.0662162,6.89189e-06,1.64136e+06
0,0.0662162,7.02703e-06,1.60458e+06
0,0.0662162,7.16216e-06,1.60342e+06
0,0.0662162,7.2973e-06,1.56537e+06
0,0.0662162,7.43243e-06,1.49607e+06
0,0.0662162,7.56757e-06,1.48894e+06
0,0.0662162,7.7027e-06,1.45909e+06
0,0.0662162,7.83784e-06,1.45437e+06
0,0.0662162,7.97297e-06,1.40356e+06
0,0.0662162,8.10811e-06,1.39476e+06
0,0.0662162,8.24324e-06,1.36997e+06
0,0.0662162,8.37838e-06,1.3391e+06
0,0.0662162,8.51351e-06,1.33306e+06
0,0.0662162,8.64865e-06,1.31003e+06
0,0.0662162,8.78378e-06,1.27508e+06
0,0.0662162,8.91892e-06,1.26626e+06
0,0.0662162,9.05405e-06,1.26154e+06
0,0.0662162,9.18919e-06,1.22043e+06
0,0.0662162,9.32432e-06,1.23035e+06
0,0.0662162,9.45946e-06,1.16169e+06
0,0.0662162,9.59459e-06,1.16457e+06
0,0.0662162,9.72973e-06,1.16136e+06
0,0.0662162,9.86486e-06,1.13359e+06
0,0.0662162,1e-05,1.10875e+06
0,0.0662162,1.01351e-05,1.07999e+06
0,0.0662162,1.02703e-05,1.14235e+06
0,0.0662162,1.04054e-05,1.10868e+06
0,0.0662162,1.05405e-05,1.0844e+06
0,0.0662162,1.06757e-05,1.06103e+06
0,0.0662162,1.08108e-05,1.03792e+06
0,0.0662162,1.09459e-05,1.06053e+06
0,0.0662162,1.10811e-05,1.01809e+06
0,0.0662162,1.12162e-05,1.00442e+06
0,0.0662162,1.13514e-05,999814
0,0.0662162,1.14865e-05,999442
0,0.0662162,1.16216e-05,983023
0,0.0662162,1.17568e-05,972411
0,0.0662162,1.18919e-05,978508
0,0.0662162,1.2027e-05,946394
0,0.0662162,1.21622e-05,947217
0,0.0662162,1.22973e-05,935223
0,0.0662162,1.24324e-05,936495
0,0.0662162,1.25676e-05,909900
0,0.0662162,1.27027e-05,911453
0,0.0662162,1.28378e-05,872865
0,0.0662162,1.2973e-05,886031
0,0.0662162,1.31081e-05,911996
0,0.0662162,1.32432e-05,874787
0,0.0662162,1.33784e-05,855882
0,0.0662162,1.35135e-05,829635
0,0.0662162,1.36486e-05,876057
0,0.0662162,1.37838e-05,824114
0,0.0662162,1.39189e-05,835871
0,0.0662162,1.40541e-05,826442
0,0.0662162,1.41892e-05,818440
0,0.0662162,1.43243e-05,809621
0,0.0662162,1.44595e-05,814743
0,0.0662162,1.45946e-05,810557
0,0.0662162,1.47297e-05,805759
0,0.0662162,1.48649e-05,787449
0,0.0662162,1.5e-05,769707
0,0.0689189,5e-06,2.22983e+06
0,0.0689189,5.13514e-06,2.166e+06
0,0.0689189,5.27027e-06,2.10782e+06
0,0.0689189,5.40541e-06,2.0608e+06
0,0.0689189,5.54054e-06,2.04094e+06
0,0.0689189,5.67568e-06,1.97614e+06
0,0.0689189,5.81081e-06,1.90381e+06
0,0.0689189,5.94595e-06,1.91688e+06
0,0.0689189,6.08108e-06,1.88123e+06
0,0.0689189,6.21622e-06,1.81646e+06
0,0.0689189,6.35135e-06,1.76727e+06
0,0.0689189,6.48649e-06,1.73045e+06
0,0.0689189,6.62162e-06,1.71043e+06
0,0.0689189,6.75676e-06,1.67245e+06
0,0.0689189,6.89189e-06,1.6675e+06
0,0.0689189,7.02703e-06,1.60252e+06
0,0.0689189,7.16216e-06,1.57252e+06
0,0.0689189,7.2973e-06,1.58087e+06
0,0.0689189,7.43243e-06,1.53265e+06
0,0.0689189,7.56757e-06,1.49112e+06
0,0.0689189,7.7027e-06,1.47692e+06
0,0.0689189,7.83784e-06,1.46237e+06
0,0.0689189,7.97297e-06,1.40105e+06
0,0.0689189,8.10811e-06,1.36837e+06
0,0.0689189,8.24324e-06,1.35109e+06
0,0.0689189,8.37838e-06,1.34538e+06
0,0.0689189,8.51351e-06,1.33291e+06
0,0.0689189,8.64865e-06,1.315e+06
0,0.0689189,8.78378e-06,1.32062e+06
0,0.0689189,8.91892e-06,1.26948e+06
0,0.0689189,9.05405e-06,1.26134e+06
0,0.0689189,9.18919e-06,1.22953e+06
0,0.0689189,9.32432e-06,1.21144e+06
0,0.0689189,9.45946e-06,1.21221e+06
0,0.0689189,9.59459e-06,1.16727e+06
0,0.0689189,9.72973e-06,1.19441e+06
0,0.0689189,9.86486e-06,1.13218e+06
0,0.0689189,1e-05,1.17232e+06
0,0.0689189,1.01351e-05,1.13893e+06
0,0.0689189,1.02703e-05,1.09863e+06
0,0.0689189,1.04054e-05,1.11452e+06
0,0.0689189,1.05405e-05,1.0841e+06
0,0.0689189,1.06757e-05,1.0821e+06
0,0.0689189,1.08108e-05,1.08089e+06
0,0.0689189,1.09459e-05,1.06626e+06
0,0.0689189,1.10811e-05,1.05507e+06
0,0.0689189,1.12162e-05,1.01381e+06
0,0.0689189,1.13514e-05,965465
0,0.0689189,1.14865e-05,1.03433e+06
0,0.0689189,1.16216e-05,994207
0,0.0689189,1.17568e-05,979926
